TCGA.A6.A565	TCGA.A6.2671	TCGA.AA.A02K	TCGA.AZ.4682	TCGA.AA.3973	TCGA.A6.5664	TCGA.A6.A566	TCGA.AZ.6600	TCGA.AA.3680	TCGA.NH.A6GB	TCGA.AA.3844	TCGA.AA.3972	TCGA.CM.4748	TCGA.AA.3692
ENSG00000105383	170	46	36	23	13	173	286	48	35	56	20	26	9	91
ENSG00000105388	358440	38522	147409	151545	138588	151202	67505	99577	45793	89004	102016	110480	6161	53031
ENSG00000105392	1	0	1	0	0	1	0	0	0	0	0	0	5	1
ENSG00000105393	2174	1472	2515	2719	714	1494	1440	1480	676	1461	772	1021	67	1322
ENSG00000105397	6022	2424	4039	2979	1564	3032	3014	2355	1199	2516	1024	1497	92	1609
ENSG00000105398	0	3	1163	9	0	9	24	6	0	31	18	1	5	2
ENSG00000105401	12877	10959	16379	11197	2958	8924	7175	6499	2888	9460	3431	4386	526	4352
ENSG00000105402	3929	3024	3747	4345	1197	3212	2129	3991	1516	2551	2093	1736	183	1921
ENSG00000105404	4838	4553	4189	3935	2098	3084	2608	2991	1507	1841	993	1654	276	2388
ENSG00000105409	145	59	75	310	24	202	37	182	47	7	16	11	30	18
ENSG00000105419	484	192	112	178	114	393	859	184	42	77	65	91	20	138
ENSG00000105426	720	1236	1483	208	182	686	587	757	268	138	83	128	29	328
ENSG00000105427	86	44	96	100	38	44	33	76	45	28	62	49	5	61
ENSG00000105428	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ENSG00000105429	2736	1847	3186	1461	632	3347	1788	2947	779	1355	475	418	100	729
ENSG00000105438	17385	5940	16147	16486	6668	13997	8411	10299	6165	10901	5981	5849	534	7287
ENSG00000105443	5128	2585	4524	3364	1852	2733	2712	3080	1263	2404	1199	1229	141	1433
ENSG00000105447	2395	2173	2890	3013	972	2688	1325	2423	751	2471	809	1216	111	1465
ENSG00000105464	1400	2433	3473	1914	526	1988	884	46	825	1675	1011	631	133	488
ENSG00000105467	9	3	33	10	6	19	11	3	26	6	15	0	4	3
ENSG00000105472	693	479	295	399	235	766	1670	350	125	191	161	287	29	374
ENSG00000105479	24	18	82	8	10	23	6	7	3	3	8	23	12	15
ENSG00000105483	2482	448	505	693	331	1231	1397	695	402	468	321	300	38	480
ENSG00000105486	3110	2912	2685	2495	727	2931	1848	1691	669	2965	988	1021	133	1304
ENSG00000105492	84	9	1	4	2	31	20	31	7	3	4	7	4	7
ENSG00000105497	514	164	26	44	146	258	153	222	167	176	90	65	11	138
ENSG00000105499	302	313	91	260	77	507	790	151	53	237	77	520	22	78
ENSG00000105501	60	6	12	9	2	17	56	16	2	3	2	7	0	16
ENSG00000105507	0	0	1	1	0	1	0	0	0	1	0	0	2	0
ENSG00000105509	27	181	1	20	0	118	360	283	7	3	2	12	6	15
ENSG00000105514	2336	1738	2967	1245	466	1458	1272	586	1275	556	603	470	86	1127
ENSG00000105516	298	385	382	665	257	222	212	97	221	137	173	214	19	377
ENSG00000105518	2031	2242	2871	3323	763	1731	1845	1429	806	1740	872	928	145	1412
ENSG00000105519	906	448	730	443	586	701	318	287	519	284	65	156	23	1619
ENSG00000105520	919	457	328	490	253	641	1140	404	113	237	248	181	38	217
ENSG00000105523	7098	1380	2661	1673	545	2126	1345	4835	1635	677	853	435	53	1071
ENSG00000105538	875	340	815	540	121	660	831	945	69	129	221	291	16	156
ENSG00000105549	2	1	2	0	0	1	4	2	3	1	0	0	3	2
ENSG00000105550	0	0	0	0	0	0	0	0	0	0	0	1	3	0
ENSG00000105552	1366	1850	3243	1669	939	2648	1239	2634	869	713	964	671	74	1309
ENSG00000105556	1284	771	1399	998	547	1343	882	744	364	536	334	417	39	469
ENSG00000105559	1024	5346	3320	1006	266	2432	770	1143	433	1487	60	748	31	662
ENSG00000105568	13958	15682	19123	19743	5756	16984	9407	16479	5767	9580	6202	6541	594	11193
ENSG00000105576	4235	4214	5452	3574	1203	4443	2988	2241	1377	4082	1596	1672	121	2084
ENSG00000105583	4029	2216	5190	5364	1646	3347	2513	2946	1280	2077	1455	1437	177	2780
ENSG00000105605	3	1	2	0	0	3	1	9	0	0	0	0	2	0
ENSG00000105607	1198	1356	1097	2049	573	1069	661	1205	405	915	641	649	73	751
ENSG00000105609	666	154	73	65	9	904	337	329	29	71	74	103	6	98
ENSG00000105610	6	4	4	14	2	2	1	2	1	2	2	2	2	3
ENSG00000105612	2728	1803	3517	2427	851	2331	2223	1545	970	1384	957	1042	108	1438
ENSG00000105613	34	84	94	59	57	48	8	32	24	13	5	19	39	50
ENSG00000105617	466	317	429	605	164	388	266	332	125	241	210	128	38	226
ENSG00000105618	2225	2069	3099	2367	767	2297	1681	1818	720	1929	663	825	97	1251
ENSG00000105619	782	293	610	1650	308	577	502	506	270	488	109	188	69	363
ENSG00000105639	4322	199	377	312	191	695	1384	529	248	433	252	130	12	332
ENSG00000105640	14975	17495	23405	73243	18831	19311	9165	15480	7121	15488	15870	19702	1527	29952
ENSG00000105641	18	0	4	3	5	6	2	9	3	2	0	1	6	1
ENSG00000105642	9	7	12	0	3	13	9	12	1	2	2	3	5	4
ENSG00000105643	3304	1008	2015	1415	607	1211	1664	1302	518	1068	518	599	43	757
ENSG00000105647	34	41	147	81	12	48	63	69	20	46	29	21	0	43
ENSG00000105649	68	138	42	18	11	68	65	70	19	73	25	64	10	103
ENSG00000105650	1194	126	362	312	16	24	874	2561	265	143	50	52	41	386
ENSG00000105655	870	507	4635	276	273	2059	828	442	262	206	108	115	22	689
ENSG00000105656	1703	912	1581	1235	432	1130	869	1493	382	1043	320	376	63	470
ENSG00000105662	1036	847	1286	670	455	940	628	719	304	346	277	298	44	403
ENSG00000105664	232	2843	166	72	655	2830	2546	43	19	4	30	137	19	302
ENSG00000105668	3	3	60	5	2	3	5	1	1	1	0	0	5	4
ENSG00000105669	6777	5971	7280	10434	2307	5824	4302	5298	2258	4444	3672	3003	348	4518
ENSG00000105671	1896	3063	2655	3571	1112	2037	1398	1828	760	1817	1235	1394	102	1607
ENSG00000105672	64	78	67	94	50	45	24	78	19	70	28	69	6	41
ENSG00000105675	2	1	0	0	1	0	2	0	1	0	0	0	10	0
ENSG00000105676	1567	2254	3763	2550	535	1705	1253	1426	550	1781	1061	1046	94	1312
ENSG00000105677	3407	3245	4945	7118	2894	2875	2117	2057	1059	2449	2014	2759	190	2584
ENSG00000105679	1	0	1	0	0	1	1	0	0	0	0	0	0	0
ENSG00000105694	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000105695	1	0	2	0	0	0	0	1	1	0	0	3	3	0
ENSG00000105696	41	16	3	12	3	82	15	98	5	0	0	4	7	5
ENSG00000105697	28	27	21	4	4	10	81	3	2	6	1	0	3	30
ENSG00000105698	4453	5835	4620	4409	2213	3795	2995	2939	1413	2048	1701	1764	230	2451
ENSG00000105699	15216	18405	17187	14068	6797	11906	4581	10920	6022	9869	4109	7237	728	6182
ENSG00000105700	3246	2237	3862	3905	1365	2669	1873	1845	785	2202	1108	1289	117	1932
ENSG00000105701	9243	11420	14902	10849	4506	8799	6327	7710	3380	5826	3066	3741	336	5335
ENSG00000105705	1587	1311	1804	1456	612	1081	851	989	490	1092	423	651	40	765
ENSG00000105707	151	7	265	152	208	808	11	15	11	16	10	6	8	280
ENSG00000105708	429	85	104	319	216	138	121	183	158	62	108	195	12	234
ENSG00000105711	367	127	60	77	86	349	297	242	41	39	32	20	2	47
ENSG00000105717	338	150	492	218	30	95	184	50	59	155	99	111	2	82
ENSG00000105722	2816	3278	4069	3566	1868	3487	1541	2501	740	2746	994	1272	111	1521
ENSG00000105723	4150	2475	4220	3840	1432	3214	2187	3075	883	2621	1128	1540	126	1555
ENSG00000105726	5511	4537	4696	4825	2062	4728	2850	4048	1703	4880	1315	1874	233	1981
ENSG00000105732	899	1371	1709	1153	675	985	524	1011	447	758	389	528	77	713
ENSG00000105737	76	50	22	10	38	74	10	108	13	11	4	4	19	6
ENSG00000105738	8196	3256	3867	3039	1345	3964	2023	5982	1902	1958	1005	1324	175	1374
ENSG00000105750	260	14	150	64	11	46	159	66	98	11	72	65	9	74
ENSG00000105755	12683	3742	10659	8398	2528	3508	4681	15288	2454	2457	1489	2763	242	2575
ENSG00000105767	264	493	172	328	239	500	248	277	210	175	169	87	28	260
ENSG00000105771	2285	1169	2304	1396	494	2121	1373	1072	463	1562	655	593	57	768
ENSG00000105778	7154	2498	6943	6327	2499	4971	3573	3884	3047	4492	3086	2565	153	2753
ENSG00000105784	203	62	34	220	4	91	96	287	94	23	34	26	6	116
ENSG00000105792	293	53	346	260	40	150	232	95	91	108	91	70	2	135
ENSG00000105793	1580	388	1743	2545	413	1088	905	787	832	1015	1185	670	39	1016
ENSG00000105808	39	7	70	16	15	48	34	29	11	20	3	4	0	14
ENSG00000105810	4003	985	4059	1580	1824	5529	2128	1345	1992	1685	1383	1049	106	2392
ENSG00000105819	4443	1385	4568	7778	2069	2763	2556	2308	1601	2303	3025	1863	143	3882
ENSG00000105821	2609	554	2939	3014	560	1567	1754	1200	517	1714	759	722	55	1069
ENSG00000105825	426	22	70	245	17	195	23	257	11	26	19	276	1	50
ENSG00000105829	1310	202	905	1768	320	658	1064	508	555	614	577	511	28	737
ENSG00000105835	7000	1107	4718	8813	985	20564	5145	6366	1109	9260	6792	2500	132	3393
ENSG00000105849	1408	770	1642	2844	484	990	1090	1132	603	1137	705	586	49	952
ENSG00000105851	714	49	33	46	26	244	211	373	150	98	38	56	1	90
ENSG00000105852	198	10	311	564	93	382	54	69	116	69	74	23	8	31
ENSG00000105854	6019	1464	5941	7605	3650	4965	3601	2780	2362	4245	2884	2471	121	1510
ENSG00000105855	2270	647	264	2623	480	1754	252	491	1258	299	503	460	47	1362
ENSG00000105856	2787	1077	1508	1901	1459	1615	1330	815	992	1056	854	920	47	1962
ENSG00000105865	442	163	863	534	205	228	372	159	190	354	246	235	18	344
ENSG00000105866	498	148	329	177	131	314	153	264	193	104	94	92	8	173
ENSG00000105875	787	186	205	568	89	392	635	373	141	175	66	109	13	315
ENSG00000105877	89	19	16	4	7	34	9	17	8	7	7	4	8	15
ENSG00000105879	1803	1160	1884	1693	747	1106	1070	1270	734	1769	917	989	61	1036
ENSG00000105880	16	3	5	2	3	67	124	2	8	1	0	1	2	5
ENSG00000105887	10389	3194	9796	11275	3311	6531	7499	6496	4043	5959	4285	4173	201	4440
ENSG00000105889	36	6	5	20	1	19	44	14	1	0	5	2	2	10
ENSG00000105894	275	110	21	100	18	292	129	644	23	65	27	29	2	48
ENSG00000105926	600	244	534	894	291	80	254	107	97	297	164	150	1	284
ENSG00000105928	346	71	54	69	237	227	882	130	27	45	30	45	10	62
ENSG00000105929	31	0	2	3	0	15	1	0	8	103	0	3	3	16
ENSG00000105939	3466	1063	3644	2032	1039	2169	1900	2961	1351	2437	712	946	108	1382
ENSG00000105948	342	276	869	714	236	553	302	151	163	343	300	234	12	339
ENSG00000105953	13909	8040	11394	6388	1732	8559	6129	12101	4023	6140	6000	3268	228	3236
ENSG00000105954	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000105963	4180	2630	6661	2565	835	1513	1527	3448	1503	3522	2142	1458	124	1433
ENSG00000105967	366	40	60	49	38	137	351	70	54	61	50	25	1	116
ENSG00000105968	8087	5525	9803	10755	1937	5690	6093	5270	3329	4039	4192	2593	247	4393
ENSG00000105971	1636	443	190	567	352	1453	1923	1125	414	477	601	153	23	545
ENSG00000105974	5746	905	563	1238	458	4971	6586	3918	532	852	703	809	46	921
ENSG00000105976	5085	4490	11561	10194	6763	6002	4654	2666	2235	4206	5454	5155	294	3206
ENSG00000105982	283	79	845	498	98	168	168	79	125	166	131	104	9	149
ENSG00000105983	3009	1309	5105	4530	1582	2700	2580	1695	1393	2255	1728	1915	97	1618
ENSG00000105988	8	39	4	14	12	6	6	0	5	4	24	10	8	14
ENSG00000105989	72	227	191	372	177	248	1414	5	44	268	146	112	33	398
ENSG00000105991	116	56	99	38	63	57	40	127	50	75	27	103	4	64
ENSG00000105993	5861	3016	8651	6063	1634	3350	3783	3641	1633	3934	1469	1807	225	3133
ENSG00000105996	98	26	534	29	115	51	21	126	39	79	37	146	8	27
ENSG00000105997	582	454	1991	296	647	412	203	613	466	322	531	677	50	577
ENSG00000106003	5842	6822	5270	11229	1820	2523	3071	1567	3716	2599	1933	1787	192	5449
ENSG00000106004	413	307	579	56	285	280	79	351	131	37	112	333	15	132
ENSG00000106006	128	102	151	14	75	109	9	132	27	17	18	46	4	19
ENSG00000106009	3022	2748	5890	4244	1265	2318	2169	1978	1793	3135	1895	1620	119	2381
ENSG00000106012	3941	2189	3913	3435	543	2135	1561	1685	852	3377	992	988	81	613
ENSG00000106013	3	1	0	1	0	0	6	3	1	0	0	1	0	2
ENSG00000106018	32	23	13	44	34	147	0	56	13	2	4	8	5	24
ENSG00000106025	1184	457	4772	4178	858	1226	2121	1630	1117	1525	1921	921	75	1674
ENSG00000106028	3552	2824	5048	10850	1444	2973	2622	1865	1429	3345	3099	2333	226	3275
ENSG00000106031	2180	1002	2175	331	917	1019	908	1066	1465	512	1650	566	50	1205
ENSG00000106034	532	139	175	408	229	645	438	873	231	99	152	142	12	254
ENSG00000106038	216	15	538	456	35	457	193	24	377	299	146	32	1	68
ENSG00000106049	2475	2114	3372	7603	1526	2584	1383	1805	2204	1450	2118	1382	79	2137
ENSG00000106052	10589	2873	6775	12263	2864	5783	5916	5275	4802	5047	4256	3026	216	4044
ENSG00000106066	1042	277	1535	693	225	1886	710	720	349	179	544	155	19	748
ENSG00000106069	1411	261	648	2016	552	725	294	820	491	203	753	519	25	679
ENSG00000106070	2225	2104	2050	1498	314	2004	2169	780	1572	1582	552	383	69	891
ENSG00000106077	9082	1970	3116	7994	1016	2777	3774	3701	2287	4333	3497	1651	210	1835
ENSG00000106078	4832	2040	3062	2049	706	1466	810	2536	1089	1809	859	883	91	567
ENSG00000106080	1294	329	548	951	167	899	1239	369	243	477	281	343	10	314
ENSG00000106086	1199	650	1496	1168	555	670	751	315	437	776	426	449	40	459
ENSG00000106089	571	266	880	433	284	261	228	66	188	368	156	124	18	165
ENSG00000106100	1082	442	1560	558	230	662	672	585	234	616	199	189	20	275
ENSG00000106105	10689	5064	9405	9279	2032	6710	7733	3937	2536	6674	3743	3205	244	3668
ENSG00000106113	36	15	18	10	8	19	3	18	14	13	1	1	5	3
ENSG00000106123	502	60	26	36	126	171	95	283	37	50	19	20	17	29
ENSG00000106125	66	67	218	133	18	83	42	35	38	104	59	39	9	43
ENSG00000106128	1	0	0	1	0	0	1	0	1	0	4	0	5	7
ENSG00000106133	160	17	167	124	26	31	101	22	10	137	57	65	1	63
ENSG00000106144	3619	1727	4419	2982	1126	2635	2233	2584	1557	2060	2139	1531	91	1575
ENSG00000106153	9394	6624	16280	35144	3653	9321	7140	6933	4575	12074	9664	5383	513	11943
ENSG00000106178	4761	308	1194	4937	584	1375	235	132	275	1179	671	861	42	1565
ENSG00000106211	9855	25329	52612	15352	2358	11338	10194	10952	3175	3604	6190	3345	752	10869
ENSG00000106236	237	2251	21	1192	1010	117	143	266	24	65	17	60	19	41
ENSG00000106244	7091	4494	9208	7826	1703	5994	4924	3672	2112	7030	2511	2131	222	2793
ENSG00000106245	2723	556	2565	4346	532	1698	1562	1226	901	1629	1143	894	84	1532
ENSG00000106246	551	341	913	601	128	387	264	370	153	403	158	147	28	221
ENSG00000106258	12787	157	2342	3395	1008	2901	2181	2963	2308	3162	1852	1229	47	726
ENSG00000106261	7700	2645	6650	5508	4900	6074	4137	3403	5517	5742	3598	3741	249	4326
ENSG00000106263	14050	18124	26164	19600	5229	10572	9572	8142	5223	17755	7211	5428	460	7005
ENSG00000106266	3247	2211	2220	2344	388	1127	1520	1480	625	2126	1000	592	87	862
ENSG00000106268	655	1185	1739	1475	253	888	745	428	380	907	680	380	51	772
ENSG00000106278	34	18	0	2	2	73	4	128	4	1	1	0	2	1
ENSG00000106290	2058	1375	2680	2845	652	1815	1441	1120	720	1524	721	715	42	1056
ENSG00000106299	7495	1563	5704	5542	697	3506	3907	5233	1418	2329	1816	1060	106	2484
ENSG00000106302	1	4	5	13	1	2	7	2	3	0	0	2	0	3
ENSG00000106304	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000106305	1168	1131	2333	2237	386	1068	1005	1375	537	1127	974	625	40	754
ENSG00000106327	170	10	167	155	30	134	253	23	150	10	126	58	20	87
ENSG00000106328	4	6	2	3	1	4	0	4	0	4	0	1	3	0
ENSG00000106330	717	864	1370	1163	372	500	448	533	494	454	360	437	26	784
ENSG00000106331	7	0	0	1	0	2	0	8	22	1	0	0	2	0
ENSG00000106333	2439	2474	822	1136	503	4981	12271	2321	322	2019	401	789	91	843
ENSG00000106336	44	14	40	21	5	11	28	15	3	15	9	4	2	11
ENSG00000106341	0	0	0	0	0	1	0	2	0	1	0	0	0	0
ENSG00000106344	2412	1088	2709	2048	698	1577	1447	1111	506	2029	1017	835	85	854
ENSG00000106346	1414	701	1187	890	480	721	484	920	393	661	445	413	28	482
ENSG00000106348	3413	4089	16285	5214	862	3818	4537	1286	949	2701	1064	1738	155	2441
ENSG00000106351	2291	744	6103	3154	1020	1443	1573	2995	873	1121	1474	845	66	1481
ENSG00000106355	2331	939	3645	3791	504	1632	1948	1168	1007	1771	1782	1335	75	1517
ENSG00000106366	19905	1423	885	3230	225	5869	7643	3320	108	936	259	540	75	917
ENSG00000106367	4426	5669	14957	10584	1534	2963	3352	2353	2544	3291	4247	3250	280	3054
ENSG00000106384	2696	243	5559	1336	608	201	833	1328	410	688	802	487	20	218
ENSG00000106392	3335	322	1405	3101	668	2208	1949	1556	1397	1943	950	789	53	1399
ENSG00000106397	9157	10164	19318	9696	6804	6644	5320	4497	3258	7364	4944	4839	467	3281
ENSG00000106399	1394	827	2103	3124	453	903	952	556	527	1078	1506	573	38	1153
ENSG00000106400	4193	2120	7896	10003	1665	2679	3183	3281	2200	3159	3529	2475	296	4015
ENSG00000106404	967	409	1791	5498	360	315	370	1519	305	1176	108	540	43	448
ENSG00000106410	1	1	0	3	0	0	0	0	0	0	0	0	1	0
ENSG00000106415	1284	193	127	349	199	418	315	493	200	345	227	135	14	218
ENSG00000106436	0	0	3	2	0	0	0	1	0	0	0	0	2	1
ENSG00000106443	2405	1522	2473	2287	798	1366	1705	1083	1065	1664	838	716	58	1267
ENSG00000106459	1218	768	1435	917	348	897	602	717	315	907	367	256	30	474
ENSG00000106460	4048	693	2442	4989	1128	1942	2603	2694	2618	2071	2719	1456	56	2093
ENSG00000106462	2101	1068	2134	2427	480	1671	1377	674	509	1990	1003	925	47	982
ENSG00000106477	842	331	466	1171	274	644	268	408	329	179	165	331	32	582
ENSG00000106479	1088	297	727	436	331	396	529	268	370	225	167	157	13	191
ENSG00000106483	671	1021	553	443	1158	2740	3709	325	75	65	97	469	36	520
ENSG00000106484	2823	1671	5319	8991	2228	3667	1647	1710	1967	2241	1802	1343	105	4324
ENSG00000106511	89	46	17	15	28	170	174	30	6	8	3	15	1	5
ENSG00000106524	1243	445	966	749	356	791	722	916	965	639	378	356	27	590
ENSG00000106526	211	70	417	259	34	128	95	134	56	278	82	20	4	231
ENSG00000106536	49	346	302	5	2	177	104	1	121	0	0	0	2	334
ENSG00000106537	13588	867	6077	7532	458	4735	3991	4813	3962	2127	3830	941	262	3001
ENSG00000106538	2152	1280	1079	2371	736	2315	3343	3740	583	1218	695	665	100	2038
ENSG00000106540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000106541	122565	4514	14712	39564	1523	40804	32910	22414	31477	11032	11735	6323	1355	36870
ENSG00000106546	5087	1162	3003	4000	847	4026	3314	2676	2617	1868	2426	1605	95	2136
ENSG00000106554	4070	1998	4838	7507	1260	3129	2918	2765	1004	3339	2532	1454	166	2332
ENSG00000106560	1101	221	487	915	104	442	489	205	487	224	528	295	14	641
ENSG00000106565	19246	7747	21349	24223	7768	10749	4801	9224	5621	1393	10503	5804	587	15639
ENSG00000106571	401	208	43	37	50	482	882	317	28	131	34	35	11	40
ENSG00000106588	1004	132	1285	1858	209	676	842	587	259	737	535	378	25	471
ENSG00000106591	2351	967	2637	6789	736	1778	1630	1485	749	1577	1333	912	83	1484
ENSG00000106603	2680	975	2339	3632	647	1560	1526	863	662	1328	1160	862	61	1324
ENSG00000106605	824	361	1107	1132	300	1008	1318	434	402	126	268	132	15	317
ENSG00000106608	5544	1880	4360	3482	1079	1913	1822	4094	1379	2075	1109	940	114	1159
ENSG00000106609	11069	4680	11035	14601	4364	6705	5862	7618	5462	6568	5141	4725	289	5642
ENSG00000106610	524	49	452	616	96	249	291	215	211	181	192	92	10	158
ENSG00000106615	3455	1575	5033	7112	1178	2712	2977	1514	913	2750	2230	1684	109	1639
ENSG00000106617	1638	367	1038	2179	379	789	684	1438	992	788	814	909	29	732
ENSG00000106624	15558	9339	2984	3396	2496	22732	41946	10409	1310	4666	846	1705	326	1960
ENSG00000106628	5433	8628	10952	14788	2377	5995	4294	2993	1652	6005	3466	2119	375	4235
ENSG00000106631	0	0	0	0	0	1	1	2	0	0	0	0	1	0
ENSG00000106633	5	6	7	8	2	5	7	11	8	3	2	1	8	11
ENSG00000106635	3858	1208	3373	4251	1178	2265	2067	2825	1022	1770	1478	1046	84	1760
ENSG00000106636	7681	5400	8620	6284	1789	4029	4227	4183	2008	5556	2612	2208	190	2498
ENSG00000106638	3530	1952	6181	5052	1751	2268	1877	1834	1651	2280	1728	1059	149	2470
ENSG00000106648	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000106665	6646	3471	6977	4075	1398	3598	3789	4704	1548	2941	1891	1435	169	2007
ENSG00000106682	13801	5507	13995	14677	3000	12311	8561	10250	3521	10228	4891	3176	331	4478
ENSG00000106683	2653	2338	4760	2545	837	2225	2265	1076	997	1240	1125	616	66	1067
ENSG00000106686	468	16	142	107	57	200	44	47	136	309	125	95	8	125
ENSG00000106688	3386	307	205	440	80	479	415	642	396	669	233	231	18	332
ENSG00000106689	5	0	3	1	1	4	10	8	2	5	2	1	1	16
ENSG00000106692	1435	439	2414	1522	935	1218	920	920	628	756	930	621	35	979
ENSG00000106701	344	143	3279	314	339	299	235	223	249	124	359	227	5	244
ENSG00000106714	103	5	4	4	2	54	15	45	2	10	4	0	9	3
ENSG00000106723	5053	1789	4583	2929	2218	3578	3431	3072	1642	1965	2018	1427	117	2140
ENSG00000106733	1485	237	1104	1272	466	496	637	520	246	381	472	239	10	580
ENSG00000106771	4411	1142	5180	2753	2576	4111	2458	2193	1914	1894	1889	1301	99	2057
ENSG00000106772	5933	852	2424	945	512	2851	901	1152	1857	1632	3831	734	129	1824
ENSG00000106780	1123	457	1542	971	472	1504	739	1142	511	423	464	526	16	566
ENSG00000106785	6284	2074	7836	2522	1352	2603	2032	3642	1405	2470	2412	1152	109	1424
ENSG00000106789	5639	1063	7533	3750	1162	3951	1594	5627	1126	2706	2324	1075	62	648
ENSG00000106799	4202	1149	1567	2859	1156	4471	4370	2147	883	904	896	557	77	1455
ENSG00000106803	4454	2135	5289	6655	1741	3816	2637	2561	1094	3311	2575	1637	112	2605
ENSG00000106804	344	156	812	121	192	338	270	106	91	56	134	47	4	85
ENSG00000106809	34	85	7	38	29	2532	24	2807	82	97	21	177	6	22
ENSG00000106819	588	332	77	393	549	1969	7527	327	87	133	127	394	8	271
ENSG00000106823	199	107	45	102	86	444	1269	381	41	70	53	62	1	92
ENSG00000106829	1902	366	467	265	99	736	651	1264	350	453	197	270	21	238
ENSG00000106852	408	90	55	41	91	354	398	179	48	33	23	38	2	83
ENSG00000106853	1847	947	2939	938	367	1271	953	2322	395	2214	1110	829	37	579
ENSG00000106868	1547	694	1464	955	991	1646	973	1017	1003	544	622	312	18	765
ENSG00000106927	4	50	208	157	27	93	1	12	5	1	10	9	6	120
ENSG00000106948	6655	1649	4672	1728	746	3036	1741	2385	1024	1044	858	456	106	1357
ENSG00000106952	697	26	24	17	9	257	131	62	23	40	18	7	0	20
ENSG00000106976	1198	583	2016	180	193	1057	921	473	86	1887	242	241	26	212
ENSG00000106991	9077	2674	3315	2481	862	6457	12003	4786	809	1829	1723	1204	165	2027
ENSG00000106992	595	386	602	1175	246	301	400	196	159	286	338	235	28	329
ENSG00000106993	1376	139	752	894	470	858	553	757	379	377	395	324	19	395
ENSG00000107014	17	8	11	76	47	17	1	5	13	28	19	14	1	48
ENSG00000107018	9	2	3	15	21	2	2	2	2	8	0	2	0	14
ENSG00000107020	1680	169	1386	2839	281	930	976	1349	458	819	1169	583	37	1034
ENSG00000107021	2123	980	2150	1453	725	1482	1160	1214	599	949	801	509	68	882
ENSG00000107036	2284	271	855	636	394	1234	1073	790	384	710	407	320	24	454
ENSG00000107077	1650	301	1052	891	703	860	463	831	331	735	467	339	23	494
ENSG00000107099	5545	329	490	194	202	1508	1268	1147	558	428	243	106	28	480
ENSG00000107104	1942	3066	2380	3918	1795	4453	1474	1906	1332	1746	1576	1362	78	3586
ENSG00000107105	12	78	2	5	8	8	30	36	3	43	153	0	4	18
ENSG00000107130	1207	1718	1970	1700	358	1525	1192	719	370	953	590	319	68	562
ENSG00000107140	2542	1207	2171	1880	650	1275	1339	1643	446	1189	723	470	37	705
ENSG00000107147	15	354	45	7	315	9	8	11	13	7	9	6	16	7
ENSG00000107159	1289	930	83	3398	74	3408	5973	38	199	144	111	241	75	1468
ENSG00000107164	3877	2141	3496	2966	1201	3127	2065	2332	1043	2745	1605	937	111	1619
ENSG00000107165	47	144	16	67	70	24	60	27	28	4	11	18	1	96
ENSG00000107175	2608	1451	2793	2833	1057	1883	1611	1848	853	897	1573	642	102	1745
ENSG00000107185	4808	1670	2464	1626	583	2738	1659	3554	771	1942	1108	610	69	1044
ENSG00000107186	912	146	98	119	90	664	895	533	89	101	45	73	11	133
ENSG00000107187	1	0	5	0	0	0	0	1	0	0	1	1	5	0
ENSG00000107201	1205	775	2000	428	272	499	762	1649	338	308	263	232	31	395
ENSG00000107223	14983	8532	12528	17767	3094	8598	6624	8832	2805	6960	4455	2870	504	5259
ENSG00000107242	4300	857	2343	2733	1487	2033	914	2656	792	2687	1888	1191	69	1809
ENSG00000107249	585	283	27	89	73	776	419	311	75	68	100	54	10	140
ENSG00000107262	9057	3487	2985	5730	2345	4632	2360	6525	1970	3133	2380	1343	186	3263
ENSG00000107263	8284	2899	6001	2815	1370	5140	4675	4514	1343	2914	1700	1084	94	1860
ENSG00000107281	9572	3859	7810	3726	1278	4221	4360	3997	5150	2060	2258	2276	205	5819
ENSG00000107282	754	79	133	224	181	347	207	575	194	33	122	38	9	188
ENSG00000107290	8867	1547	4732	2539	1454	3977	3004	5061	1393	2933	1488	1071	66	1298
ENSG00000107295	5	4	0	1	1	3	1	18	2	1	1	0	0	8
ENSG00000107317	2682	777	1086	1082	97	4051	308	4272	616	95	163	130	46	703
ENSG00000107331	6040	4183	10890	1996	1139	2517	2776	2418	2051	1002	803	1008	109	1776
ENSG00000107338	1782	1048	1368	1123	493	1655	604	889	368	743	812	563	49	649
ENSG00000107341	5819	3608	5693	4968	2773	4824	3324	3304	2125	3167	3345	1828	126	2900
ENSG00000107362	2821	401	791	975	517	1102	533	1654	578	648	902	352	22	885
ENSG00000107371	1341	864	1682	2159	359	697	624	517	338	932	659	404	34	797
ENSG00000107372	11221	3415	4682	7466	2598	6798	5516	6682	2972	4986	4004	2318	157	3997
ENSG00000107404	4034	5071	7258	6081	901	2864	2016	2072	1118	4938	1335	2911	120	2191
ENSG00000107438	16783	7145	11251	16800	7564	12621	8396	15835	3211	6210	5307	6000	371	8890
ENSG00000107443	669	328	350	827	230	647	359	438	149	693	210	218	16	264
ENSG00000107447	2	0	0	0	0	0	0	0	0	0	0	0	0	1
