TCGA.EB.A6QZ	TCGA.EB.A5KH	TCGA.EB.A6QY	TCGA.EB.A553	TCGA.EB.A57M	TCGA.EB.A85J	TCGA.D3.A51H	TCGA.EB.A3Y6	TCGA.EB.A5SH	TCGA.EB.A5UL	TCGA.W3.A825	TCGA.EB.A3XC
ENSG00000131368	2326	4482	3777	2133	2110	3014	2245	11821	2709	4826	2008	3963
ENSG00000131370	398	155	1437	54	444	142	992	1965	197	1178	369	1965
ENSG00000131373	659	354	1185	322	395	1508	672	1119	685	746	627	1340
ENSG00000131374	3419	3850	2863	487	2492	2379	2597	4165	5424	2883	3386	2649
ENSG00000131375	993	769	1722	332	630	1082	956	2522	1332	1756	1250	1879
ENSG00000131378	898	314	948	557	2030	2098	9769	1000	810	1416	2542	841
ENSG00000131379	37	5	2	0	18	6	44	4	19	8	9	6
ENSG00000131381	1663	1191	1746	382	1702	1903	826	2566	2362	1450	2136	1246
ENSG00000131386	14	7	46	61	606	14	84	96	32	19	33	39
ENSG00000131389	2325	566	1994	270	14600	8898	2580	1750	3205	1666	3767	3113
ENSG00000131398	36	33	77	73	154	194	373	140	355	210	304	45
ENSG00000131400	22	4	40	27	23	58	110	37	21	96	2532	25
ENSG00000131401	52	143	96	476	185	916	6555	96	435	894	560	242
ENSG00000131408	5004	5235	4952	6043	6576	4841	4290	5233	7772	3999	2329	4883
ENSG00000131409	17	21	1792	1130	106	83	240	6	2455	72	2219	1355
ENSG00000131435	5105	2764	157	274	3163	1164	475	8760	88	2340	166	582
ENSG00000131437	782	264	1016	289	458	1501	598	1836	474	882	1081	339
ENSG00000131446	13247	11184	11581	5513	11406	15655	7579	21400	21245	8338	8228	10668
ENSG00000131459	295	351	124	503	1260	301	614	1006	1517	818	773	409
ENSG00000131462	4739	2031	5821	2452	2586	3451	1801	5848	2442	4616	2546	3523
ENSG00000131467	13183	7451	14035	2867	8576	9152	3350	14744	6471	10376	5185	8433
ENSG00000131469	28314	19440	23875	21967	13026	38182	27659	25577	19994	27214	35618	25834
ENSG00000131470	496	206	906	106	199	378	200	758	173	679	588	394
ENSG00000131471	185	346	203	407	3603	177	1035	579	350	417	506	254
ENSG00000131473	16325	7926	13542	2082	10631	9755	5360	15235	10135	15023	11009	8082
ENSG00000131475	5777	2272	4108	828	2458	4448	1083	4875	3315	3351	3354	4174
ENSG00000131477	912	580	235	1822	1362	1475	921	1262	1207	516	1144	635
ENSG00000131480	40	10	59	31	27	86	68	22	19	116	89	47
ENSG00000131482	6	0	0	0	0	10	3	0	2	1	1	1
ENSG00000131484	2	0	1	0	0	0	6	0	0	0	1	0
ENSG00000131495	3906	712	1871	3804	2274	3731	2836	3969	1655	2286	1941	1547
ENSG00000131503	275	47	188	144	126	153	310	177	86	246	199	162
ENSG00000131504	15635	3069	7783	2071	9289	7846	7316	6483	4371	6221	4861	5140
ENSG00000131507	3391	1373	4591	1905	5167	4711	4909	8059	2040	3877	4206	2679
ENSG00000131508	5816	1762	4248	1389	3946	4372	4582	4550	1939	6511	4085	2779
ENSG00000131538	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131548	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131558	9323	3038	6377	964	6196	3262	2137	6217	3581	5049	4314	5053
ENSG00000131584	2301	1465	2934	3215	1420	2093	2430	2530	6687	7040	3376	1759
ENSG00000131591	699	638	940	639	513	896	706	747	682	1485	1283	770
ENSG00000131620	487	195	332	268	1399	123	182	530	316	357	964	1050
ENSG00000131626	3155	2033	5132	1375	3651	2594	1601	6260	8816	4552	2441	5390
ENSG00000131634	909	571	648	458	1459	2130	1173	888	2984	318	3989	410
ENSG00000131650	59	78	276	525	57	364	168	251	496	624	84	536
ENSG00000131652	1879	1386	1521	1752	2373	2154	1422	1154	2114	1161	1989	2505
ENSG00000131653	6747	8093	8266	1255	10544	5138	2597	3917	8145	4242	4256	6596
ENSG00000131668	9	2	445	94	0	12	1	2	1	9	242	21
ENSG00000131669	9466	1077	6157	5755	4620	8481	2176	6581	7862	4035	2179	4456
ENSG00000131686	69	0	22	12	1000	1	63	8	2	41	3	222
ENSG00000131697	4098	2321	1763	303	1532	3392	558	2984	651	4092	1410	1499
ENSG00000131711	1124	911	392	470	2625	1322	2237	10691	435	1710	3450	299
ENSG00000131721	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131724	7406	2188	3127	1197	8938	2026	2958	8168	3918	4512	1560	4409
ENSG00000131725	432	299	946	176	407	480	482	655	411	742	796	431
ENSG00000131730	47	86	66	11	63	45	33	503	14	47	16	68
ENSG00000131732	1005	882	1826	475	390	1203	1155	2670	233	1549	823	1053
ENSG00000131737	2	0	37	0	30	0	0	1	0	0	0	24
ENSG00000131738	0	0	3	0	0	0	0	0	0	0	1	1
ENSG00000131746	409	2	2437	102	2173	27	29	151	5	19	18	847
ENSG00000131747	5860	1767	11189	1341	791	4541	4012	6362	1657	12671	9925	8041
ENSG00000131748	3738	1927	4868	1712	2832	3251	2670	4989	2918	3922	3390	1925
ENSG00000131759	4518	3460	3218	1339	3830	3555	1306	3522	3976	4351	9037	2398
ENSG00000131771	21	0	3	218	737	1	10	18	0	16	173	19
ENSG00000131773	2263	964	281	158	1524	848	314	1298	499	1070	2502	700
ENSG00000131778	8314	1597	2985	1730	2034	4653	2455	8055	2223	5449	3444	2778
ENSG00000131779	2170	1260	1686	438	2416	2884	1502	3448	2027	1738	1475	1342
ENSG00000131781	225	34	138	54	145	166	292	748	18	146	97	64
ENSG00000131788	1774	1036	1527	612	1990	2378	1097	2885	2329	1757	1797	1541
ENSG00000131791	1984	380	1683	413	764	1461	772	2505	628	1684	1576	1173
ENSG00000131797	277	25	181	33	85	156	1103	91	58	555	451	54
ENSG00000131808	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131828	3617	3278	3805	1575	2744	4037	3283	6666	3198	10986	4205	4364
ENSG00000131831	36	91	62	74	498	29	482	129	190	89	145	67
ENSG00000131844	5718	2963	3320	1234	2955	3380	2493	5177	1794	4167	1878	2319
ENSG00000131845	905	233	1094	301	607	285	462	786	785	646	925	430
ENSG00000131848	190	60	331	96	138	121	187	91	158	114	463	129
ENSG00000131849	99	50	201	46	211	236	143	107	72	155	83	168
ENSG00000131864	0	0	0	0	1	0	1	1	0	0	0	0
ENSG00000131871	2895	957	5938	1229	2726	3207	2175	5189	1107	5349	3785	4974
ENSG00000131873	2675	1566	4341	981	3388	2307	1999	4033	1759	3454	13525	2995
ENSG00000131876	1208	378	4098	586	545	1208	2174	1367	452	2812	2880	1597
ENSG00000131885	3	0	21	0	36	0	4	1	0	4	8	2
ENSG00000131899	3478	2759	2835	339	3898	3115	1109	3462	6034	2491	7815	1916
ENSG00000131910	0	2	5	0	0	2	5	1	0	7	14	0
ENSG00000131914	1	3	4	0	0	9	6	75	1	6	654	0
ENSG00000131931	237	171	377	68	136	302	350	361	144	410	416	236
ENSG00000131941	441	138	277	112	327	549	139	167	151	700	638	772
ENSG00000131943	2765	957	4356	2136	1707	3837	2786	4598	1717	6356	1310	1503
ENSG00000131944	643	41	704	93	283	329	169	551	217	318	306	394
ENSG00000131951	1	0	5	6	2	3	4	6	1	4	1	0
ENSG00000131966	1713	1260	2677	700	2649	2654	1454	2757	2086	2653	2438	3306
ENSG00000131969	46	96	229	2	135	86	5	52	31	7	28	108
ENSG00000131979	105	23	465	132	183	780	869	167	66	691	644	268
ENSG00000131981	20781	7472	13596	38757	12484	44918	14318	55446	3515	28397	3302	27634
ENSG00000131982	1	0	1	0	0	0	0	1	0	0	0	1
ENSG00000132000	226	21	202	83	600	7	85	502	12	556	159	921
ENSG00000132002	8478	5056	10100	5282	15961	8864	2704	16257	18343	59008	4518	8161
ENSG00000132003	987	1544	675	456	1773	1376	649	890	781	1096	2023	788
ENSG00000132004	1168	585	511	234	1156	1286	214	664	1177	709	664	346
ENSG00000132005	964	2469	677	525	1989	1028	990	1193	1336	1710	1485	1193
ENSG00000132010	34	4	28	13	28	15	21	42	12	32	36	13
ENSG00000132016	1148	156	462	221	232	282	115	583	52	424	611	714
ENSG00000132017	2383	1867	1110	1941	2636	2385	2632	2302	1695	3065	2582	2778
ENSG00000132024	5343	2225	2605	3531	3544	2340	2503	4441	1509	5344	1323	3095
ENSG00000132026	6	3	430	14	0	1	22	1	2	139	5	3
ENSG00000132031	44	24	20	26	99	23	14	77	52	50	117	79
ENSG00000132109	1169	303	698	394	993	1052	1259	1110	179	1060	912	1188
ENSG00000132122	1025	40	1060	295	359	571	172	1451	566	697	1408	160
ENSG00000132128	5716	7945	5826	1139	5984	3590	2636	5435	9552	12276	8149	5454
ENSG00000132141	385	139	261	76	197	186	84	490	43	265	101	191
ENSG00000132153	5675	3743	5108	3334	6448	7083	3597	7752	13188	7165	8405	7638
ENSG00000132155	4301	3623	4205	1960	5281	5925	3944	6394	8357	4500	5983	5073
ENSG00000132164	12	0	610	1	141	73	45	22	1	0	26	138
ENSG00000132170	34	101	68	117	112	75	131	320	46	126	114	91
ENSG00000132182	3151	639	8886	4912	1422	3305	8022	3787	2270	8504	3913	12887
ENSG00000132185	1440	300	5295	4082	1375	703	6049	49898	187	14855	117	4805
ENSG00000132196	371	227	438	245	342	468	429	1027	254	607	232	1288
ENSG00000132199	2114	764	3230	2491	1082	1261	1312	1975	1279	3116	863	840
ENSG00000132204	395	0	11	2	0	0	33	119	0	0	0	111
ENSG00000132205	1662	376	47575	133	2001	2606	742	1308	343	9253	1391	11037
ENSG00000132207	0	0	0	10	0	3	3	1	2	1	3	1
ENSG00000132254	4150	2135	3320	1685	2901	2094	1929	2650	1086	2932	3196	3083
ENSG00000132256	1920	34	300	167	626	241	912	1025	203	463	1967	351
ENSG00000132259	2	5	86	3	8	3	20	100	1	23	22	2
ENSG00000132274	550	85	778	631	952	960	10097	927	247	2222	1958	624
ENSG00000132275	1547	1535	902	417	1544	935	976	1797	1103	1245	1595	1205
ENSG00000132286	3284	2304	3384	453	2345	1581	1072	2915	1670	1517	1544	2027
ENSG00000132294	2223	1025	2251	944	1011	2274	2457	3811	1519	2463	1667	1433
ENSG00000132297	0	0	0	0	0	0	0	0	0	2	0	1
ENSG00000132300	2912	1525	6338	2834	992	3431	2455	6581	2331	7370	3027	2724
ENSG00000132305	6922	4150	8782	1794	3913	4667	3076	8472	4564	9150	5956	6783
ENSG00000132313	2858	1459	4229	1157	878	2257	1579	6326	1451	3844	1212	3351
ENSG00000132321	10	6	13	16	21	8	29	12	13	13	54	8
ENSG00000132323	1969	627	2726	1138	987	1662	1401	1966	1116	3348	1516	1784
ENSG00000132326	908	370	439	81	1014	751	716	348	1190	771	602	247
ENSG00000132329	26	35	1152	17	1179	193	360	1019	45	5825	167	9016
ENSG00000132330	145	88	222	73	111	154	138	154	133	397	140	156
ENSG00000132334	441	89	691	149	476	731	1167	395	130	1121	1483	531
ENSG00000132341	14641	6655	21716	3454	9166	15671	8620	12504	6281	29718	18806	21731
ENSG00000132356	1537	458	2307	870	1143	1540	2347	3337	494	1167	2445	1002
ENSG00000132357	409	25	672	255	683	157	375	926	142	226	219	416
ENSG00000132359	40	30	334	179	349	126	450	37	52	132	854	99
ENSG00000132361	8761	14584	12175	4037	9153	7949	3002	7399	14531	11837	5273	7051
ENSG00000132376	4787	3867	2885	1314	5841	4695	2041	4896	4296	2888	1934	2210
ENSG00000132382	8066	9645	6327	2455	7317	7290	3404	5831	9401	7862	7320	4526
ENSG00000132383	13597	4090	7421	1001	5500	8209	2894	7920	5661	5570	9446	6507
ENSG00000132386	24440	42012	1878	3854	11321	2211	5625	122917	83436	13138	2170	2716
ENSG00000132388	3236	2016	3293	443	2596	1827	1483	2599	2135	1992	3290	1803
ENSG00000132394	755	2575	1028	1225	2605	1792	1087	1637	2313	2821	1098	2088
ENSG00000132405	2476	3071	5111	147	3238	2486	677	4679	3326	3096	833	2409
ENSG00000132406	2278	170	1906	115	666	859	803	2266	1000	1388	1131	735
ENSG00000132423	246	213	1170	280	141	294	297	374	136	635	199	596
ENSG00000132424	1412	1124	3705	1308	455	2494	9181	2865	706	4850	6316	1162
ENSG00000132429	115	110	1329	265	82	423	347	181	0	771	222	504
ENSG00000132432	3477	2064	7245	2163	2759	2680	1363	3021	1221	5468	4073	4731
ENSG00000132434	1875	2247	1108	1020	2256	2357	856	1809	1440	2174	1210	1746
ENSG00000132436	670	454	2658	691	284	636	439	1266	284	1701	789	1868
ENSG00000132437	16	4	1	2	1	4	2	4	3	1	17	4
ENSG00000132446	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000132463	5040	5270	13631	2765	2515	4470	2558	9282	5604	6650	3588	5987
ENSG00000132464	1	2	2	0	0	1	9	47	0	18	4	0
ENSG00000132465	13	89	249	234	810	6116	10003	63	223	18491	2163	285
ENSG00000132466	6074	8429	10883	2003	2774	3330	2576	8392	7370	5985	3972	3169
ENSG00000132467	2151	1678	4399	1098	685	2391	1628	3034	1377	1864	1309	1981
ENSG00000132470	4275	923	5485	581	12844	388	1006	642	691	394	561	1666
ENSG00000132471	8306	8418	9869	3228	8321	8473	11577	15851	9141	16580	7461	5894
ENSG00000132475	36357	10199	17657	4457	17736	17753	16370	26474	15542	27047	63472	17932
ENSG00000132478	3745	2394	2291	1244	2115	2483	2313	2707	2329	4152	3421	1558
ENSG00000132481	1247	1046	788	648	4088	2234	2032	4858	801	3396	822	1618
ENSG00000132485	2340	606	5384	937	427	2031	5065	4025	324	6725	5543	1731
ENSG00000132507	36237	28336	30211	22792	21075	37595	16669	29488	32608	28237	29836	26391
ENSG00000132510	1955	5265	1861	873	3045	2778	1632	1715	4788	1934	13212	1045
ENSG00000132514	49	46	42	67	308	590	552	42	127	137	591	91
ENSG00000132517	7	0	51	1	32	3	8	10	0	6	10	45
ENSG00000132518	0	2	7	18	1	9	9	7	2	11	18	5
ENSG00000132522	344	109	305	543	146	348	526	237	152	561	341	112
ENSG00000132530	168	14	76	41	95	95	847	295	14	1158	209	129
ENSG00000132535	690	153	148	314	580	327	411	636	702	409	6217	142
ENSG00000132541	373	236	587	106	91	515	556	1130	189	718	704	238
ENSG00000132549	1786	622	1178	215	1473	1334	1382	2393	1402	1670	2006	511
ENSG00000132554	1	1	1	1	3	293	11	33	2	41	3	2
ENSG00000132561	5408	1047	495	783	5134	234	782	1197	330	1042	809	3584
ENSG00000132563	228	11	13	360	382	71	245	107	29	232	633	225
ENSG00000132570	497	523	293	179	152	169	341	407	33	232	215	220
ENSG00000132581	2630	1190	2494	553	1760	1985	1033	3832	1738	1648	2293	1514
ENSG00000132589	8649	10785	2179	2177	9052	8077	8835	6147	10869	9342	7160	4797
ENSG00000132591	4344	3767	3296	1205	2857	3533	1951	4483	1438	3507	3789	2850
ENSG00000132600	3182	4627	2833	3313	2074	1631	1870	2714	3489	3535	2513	2640
ENSG00000132603	2331	720	3944	560	1243	1282	1380	1683	1081	3287	1272	2655
ENSG00000132604	2738	1362	2078	376	2006	1035	2086	1338	1309	2410	2189	1522
ENSG00000132612	5683	4964	5780	3370	4576	3500	3377	2643	5093	5925	3893	4002
ENSG00000132613	3760	6294	226	264	3531	1872	211	1825	6186	685	1732	302
ENSG00000132622	177	110	93	347	756	174	178	255	234	124	2403	319
ENSG00000132623	7	3	363	5	127	31	144	61	13	46	330	157
ENSG00000132631	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132635	2473	980	1510	1712	2177	1515	2602	2521	801	3940	4204	870
ENSG00000132639	21	1	864	262	22	42	131	20	1	9	754	178
ENSG00000132640	3041	921	1505	481	878	3288	602	3237	1341	2677	10262	1341
ENSG00000132646	8777	1694	6712	1539	3160	8680	5602	6996	2095	9910	9022	10710
ENSG00000132661	1146	460	638	636	947	1793	828	1496	1193	1298	1936	1246
ENSG00000132664	638	155	775	206	322	970	476	983	203	1288	1214	912
ENSG00000132669	880	711	2074	151	1872	662	361	1583	487	1201	2926	1083
ENSG00000132670	19874	3794	3217	1814	8361	9556	2672	6950	10731	5958	9438	4338
ENSG00000132671	0	0	0	2	32	59	2	12	0	21	2	15
ENSG00000132676	8302	5073	11057	2431	5652	10629	4364	10082	3804	6265	5039	6802
ENSG00000132677	1	0	50	0	0	9	1	5	4	2	15	7
ENSG00000132680	1575	866	2845	998	1611	1898	3195	4034	1317	4201	4499	1120
ENSG00000132681	3	2	2	3	1	2	62	4	67	22	1	2
ENSG00000132688	16611	22077	2106	4669	30360	32730	1520	188880	8282	12612	77928	7522
ENSG00000132692	46626	5641	1368	54	1509	62708	113	3700	716	11913	316	53
ENSG00000132693	1	0	0	2	5	1250	0	0	0	0	0	1
ENSG00000132694	13306	9010	12578	3801	8087	14504	3509	27357	16110	9981	6559	6703
ENSG00000132698	89	1	3417	32	1578	12	15	126	3	4	192	1187
ENSG00000132702	15	11	7	0	1	48	8	13	2	18	55	0
ENSG00000132703	0	0	0	0	0	50	0	0	0	0	0	0
ENSG00000132704	1	7	3	9	13	70	3361	22	19	148	5	1
ENSG00000132716	4311	1593	4147	2806	2726	4012	4194	8416	1787	5077	3631	2087
ENSG00000132718	1702	91	3184	78	1571	434	437	2250	620	2418	10926	515
ENSG00000132740	1270	4768	1060	747	2732	2646	740	1490	18099	1939	1072	1314
ENSG00000132744	19	1	5	47	22	73	435	13	31	80	32	50
ENSG00000132746	2083	10851	5048	897	1969	62	1	922	29	61	3	4863
ENSG00000132749	69	298	30	44	161	143	91	78	878	59	100	80
ENSG00000132763	2484	1071	1782	297	2242	445	355	1348	397	1797	500	1918
ENSG00000132768	2577	1718	3942	624	2601	2157	1237	2275	7520	4614	1559	2659
ENSG00000132773	1665	665	1222	353	622	1154	673	870	677	1220	723	887
ENSG00000132780	6497	1906	7393	5962	2244	4301	5417	5210	1521	8655	9835	8599
ENSG00000132781	1044	977	1082	845	669	650	1047	615	789	1888	866	830
ENSG00000132792	5938	1801	4631	2452	5115	5916	3028	3106	5072	4777	6322	3989
ENSG00000132793	957	473	2065	1137	1427	1314	433	1560	696	3451	1111	687
ENSG00000132801	324	163	512	256	361	274	272	310	341	576	409	227
ENSG00000132819	826	1471	1811	936	1452	3013	5244	931	4387	4567	4573	2091
ENSG00000132821	1129	36	9	23	23	420	144	67	49	52	242	13
ENSG00000132823	1812	893	4524	1197	1905	2326	1838	2473	2281	3282	2190	2292
ENSG00000132824	11640	3332	13212	2561	10469	6133	4912	8829	3893	7589	9807	5482
ENSG00000132825	714	465	1737	320	945	690	393	943	922	1511	334	845
ENSG00000132832	17	5	1	1	142	55	28	29	3	25	31	8
ENSG00000132837	52	13	68	1	35	26	14	20	14	37	31	16
ENSG00000132840	6	4	53	9	50	15	50	22	2	24	38	18
ENSG00000132842	4263	1344	3723	600	2120	3380	2705	4701	973	3203	2169	1638
ENSG00000132846	1866	1668	687	383	1891	1308	492	1222	362	827	514	287
ENSG00000132849	294	40	918	173	401	211	604	578	22	900	640	571
ENSG00000132854	50	67	29	2	34	4	4	11	3	0	640	6
ENSG00000132855	0	0	2	0	0	19	2	3	0	9	7	2
ENSG00000132872	0	0	0	0	0	0	0	1	0	0	68	0
ENSG00000132874	1	0	4	1	20	2	7	5	4	6	3	2
ENSG00000132879	1590	987	1416	882	2177	977	2260	2068	1973	4472	1334	698
ENSG00000132881	179	86	351	56	229	97	70	243	337	321	155	227
ENSG00000132906	1168	519	1204	380	949	445	643	1083	415	2803	910	1542
ENSG00000132911	0	2	0	0	1	1	0	0	0	0	6	0
ENSG00000132912	2164	1541	3696	828	2207	3062	1829	4732	1684	2842	3485	1838
ENSG00000132915	7	4	6	2	18	3	12	5	2	5	10	17
ENSG00000132932	149	50	638	24	1133	133	76	1565	101	2299	582	886
ENSG00000132938	13	0	3	1	84	3	11	8	14	16	36	10
ENSG00000132950	481	159	450	211	233	491	887	904	147	820	1304	395
ENSG00000132952	791	267	974	672	436	907	1605	1160	298	1897	2155	559
ENSG00000132953	2052	1117	2689	497	1463	1682	1367	2252	1324	2839	2121	1293
ENSG00000132958	22	0	29	1	8	6	8	1	0	15	47	3
ENSG00000132963	5673	2194	5909	4040	4842	6145	4929	6702	2221	9116	7070	6580
ENSG00000132964	522	316	935	226	352	623	600	1129	373	1402	1205	682
ENSG00000132965	108	82	105	36	430	575	1032	287	120	337	1207	289
ENSG00000132967	686	232	420	100	316	645	698	621	230	1196	979	752
ENSG00000132970	20	32	102	304	132	853	138	1095	681	297	2097	63
ENSG00000132972	2	0	0	2	4	1	3	0	1	1	7	0
ENSG00000132975	9	0	1	21	172	2	6	3	1	0	4	3
ENSG00000133019	153	7	92	19	70	74	130	111	27	131	507	282
ENSG00000133020	3	0	32	0	30	2	9	0	0	0	2	19
ENSG00000133026	14170	17262	12469	4593	5396	3589	1457	17001	12205	9263	19627	5054
ENSG00000133027	1658	3270	1237	502	2588	1940	469	1220	4404	1425	1322	1305
ENSG00000133028	2364	954	3096	537	1047	1925	1068	2366	1068	1851	1900	1756
ENSG00000133030	17709	12903	6856	3072	13838	10434	6135	16448	17284	7750	16227	5914
ENSG00000133048	371	84	239	561	5591	5093	2773	17262	29	623	2046	1299
ENSG00000133055	1	0	0	0	1	3	11	11	0	1	26	0
ENSG00000133056	1592	270	1476	397	1927	1106	5016	1322	1485	1526	988	949
ENSG00000133059	5036	3810	4065	1311	2893	8253	946	17234	10963	4081	1897	2160
ENSG00000133063	212	13	91	540	9	1939	846	22	2658	1585	260	7
ENSG00000133065	2469	1190	1925	717	1934	2566	1535	3949	2830	2836	1784	1249
ENSG00000133067	6	4	49	19	103	16	31	16	10	17	13	41
ENSG00000133069	1279	1623	809	918	2794	4217	347	4402	4116	2552	1128	711
ENSG00000133083	2878	4465	425	186	4811	5442	452	1452	316	877	3454	1299
ENSG00000133101	63	22	36	6	12	56	305	8	8	1428	17	20
ENSG00000133103	995	112	2149	255	381	965	916	2057	227	2287	1737	791
ENSG00000133104	3346	925	4532	710	1809	2365	2060	3931	966	5619	4025	1973
ENSG00000133105	0	0	1	0	0	0	0	2	0	0	1	0
ENSG00000133106	225	76	229	76	406	749	1613	601	71	1175	983	519
ENSG00000133107	42	6	4	8	31	5	6	22	7	8	98	12
ENSG00000133110	25537	2103	4926	2017	5089	1917	908	16401	2447	3342	76960	7570
ENSG00000133111	130	30	206	28	113	135	327	244	80	575	319	73
ENSG00000133112	104771	31717	67179	74628	80255	69992	152756	81959	37285	64438	178347	72592
ENSG00000133114	887	132	917	160	497	844	1070	1556	386	1089	2484	404
ENSG00000133115	8	3	3	0	99	15	0	0	3	20	2	1
ENSG00000133116	12	12	16	4	63	6	38	18	13	31	52	17
ENSG00000133119	1681	471	1147	133	1083	1166	881	1121	373	2610	2134	1169
ENSG00000133121	4330	1763	448	126	1487	343	212	1396	125	547	5472	523
ENSG00000133124	0	0	112	2	12	16	0	1	31	62	7	0
ENSG00000133131	1316	684	2994	28	970	548	389	1308	845	1562	1082	668
ENSG00000133134	87	23	197	84	87	325	370	146	18	431	280	244
ENSG00000133135	98	0	1849	19	41	46	510	299	3	400	298	61
ENSG00000133136	0	3	3	4	1	0	3	1	1	0	1	2
ENSG00000133138	48	77	1794	131	85	183	178	762	21	795	295	51
ENSG00000133142	7868	2869	5818	3476	4355	4190	1755	7205	1933	5916	4258	4979
ENSG00000133169	4	1	9	2	21	20	16	2	0	230	2308	19
ENSG00000133193	804	335	1202	245	727	861	793	1145	520	1333	970	559
ENSG00000133195	2045	799	2452	638	1268	1758	2096	2025	899	2706	733	1109
ENSG00000133216	79	84	200	93	363	124	491	221	189	124	1948	368
ENSG00000133226	5620	4758	5913	1077	2658	3764	3659	5361	4287	8007	5128	3626
ENSG00000133243	7904	20405	3042	4865	9345	5785	3453	5643	30750	5129	12934	4896
ENSG00000133246	27	28	28	152	70	299	222	44	27	111	344	26
ENSG00000133247	642	533	534	622	433	716	471	432	1047	549	1614	314
ENSG00000133250	649	1015	280	316	1206	816	871	480	1848	841	1437	308
ENSG00000133256	38	7	10	24	9	217	609	24	42	202	251	20
ENSG00000133265	3330	3606	2816	4036	3300	4184	1914	2653	4838	4297	4860	3815
ENSG00000133275	4774	4217	3695	2693	4541	5104	4727	5188	10296	5546	8305	2948
ENSG00000133302	308	74	458	134	126	339	427	587	71	485	468	261
ENSG00000133313	15772	10887	12242	2392	16787	9515	5131	23086	6823	22720	5922	11395
ENSG00000133315	862	3905	376	485	614	1325	494	289	2159	585	737	1821
ENSG00000133316	1695	1986	1195	1081	1194	2839	1355	1580	1600	1443	2576	2854
ENSG00000133317	77	7	1	9	63	3	0	5	1	3	41	17
ENSG00000133318	4298	5155	6209	1910	3467	7945	2552	6077	4494	4101	9411	6116
ENSG00000133321	1258	62	126	298	193	2930	1884	874	243	1139	2180	247
ENSG00000133328	7	1	5	1	0	2	6	0	0	9	5	6
ENSG00000133392	368	467	560	681	9586	214	5292	1017	684	453	1230	258
ENSG00000133393	1503	562	2473	290	877	1749	1300	1880	733	1449	1305	1470
ENSG00000133398	1406	522	1431	681	672	844	1268	2394	629	1057	1859	1080
ENSG00000133401	1212	254	288	54	372	109	89	231	102	58	1460	181
ENSG00000133422	1807	3407	2872	2952	1976	1882	2101	2012	2044	3957	3093	1341
ENSG00000133424	2074	243	2426	353	2130	978	873	1759	4723	4141	1056	1150
ENSG00000133433	428	137	154	6	253	16	29	69	5	727	71	141
ENSG00000133454	10	0	12	0	0	4	10	1	1	2	96	11
ENSG00000133460	519	869	917	355	406	345	699	342	251	1137	359	213
ENSG00000133466	6051	412	794	1152	4495	1032	904	3709	2278	1977	3233	1081
ENSG00000133475	0	3	0	0	3	0	0	0	0	0	8	0
ENSG00000133477	63	2	848	14	387	92	8	361	0	31	10	226
ENSG00000133488	12	0	1	3	3	0	5	3	0	38	17	22
ENSG00000133519	8	629	3	3	22	2	7	0	1	10	37	0
ENSG00000133561	232	156	233	214	1099	1072	1602	540	351	584	1047	415
ENSG00000133574	199	166	324	423	901	1350	3989	793	506	1149	1721	474
ENSG00000133597	1723	1953	2816	890	2591	1429	1608	2220	1590	2770	1645	2605
ENSG00000133606	12051	4327	7718	2809	7201	5191	4520	6438	4591	7647	5017	6973
ENSG00000133612	5289	7925	30009	21081	7549	6040	4992	9538	9122	23739	6978	19298
ENSG00000133619	789	767	1000	590	1304	1124	603	1077	2027	1205	1305	1016
ENSG00000133624	543	108	581	615	251	298	1144	676	195	909	665	253
ENSG00000133627	687	134	1016	652	410	485	296	520	257	999	799	774
ENSG00000133636	853	1	3	0	1	0	283	0	0	22	113	0
ENSG00000133639	4702	4305	7584	2111	5756	6196	23089	9112	6405	4634	14116	3329
ENSG00000133640	4	0	49	1	0	13	7	50	0	0	3	12
ENSG00000133641	339	139	1742	249	95	489	509	590	52	1507	831	659
ENSG00000133657	1750	1339	10956	1528	1831	3361	2756	4470	2061	4010	3199	2722
ENSG00000133661	1	0	62	9	31	5	8	14	2	12	899	10
ENSG00000133665	56	2	13	73	0	87	7	3	0	13	14	0
ENSG00000133678	852	916	1269	278	930	1068	449	803	1025	969	668	796
ENSG00000133687	1247	181	1957	248	374	377	207	5044	99	918	842	187
ENSG00000133703	779	1010	3480	389	590	1462	1287	1475	907	2151	2331	1530
ENSG00000133704	2006	1938	4799	416	1526	2131	1931	3634	1590	3146	2323	1865
ENSG00000133706	3937	2310	5405	2652	5033	6361	4050	9177	2984	6260	5269	3739
ENSG00000133710	75	0	14435	175	1089	3	50	746	20	37	13	4886
ENSG00000133731	998	534	1352	298	291	1371	984	1790	486	1907	1900	527
ENSG00000133739	142	107	726	37	63	456	414	1851	46	860	1088	169
ENSG00000133740	129	124	200	126	241	437	812	994	179	660	1685	165
ENSG00000133742	0	1	1	0	0	0	0	0	0	2	2	0
ENSG00000133773	672	282	1784	412	166	865	960	1373	106	1169	1707	1145
