TCGA.3B.A9HP	TCGA.X9.A971	TCGA.3B.A9I0	TCGA.K1.A3PN	TCGA.IE.A3OV	TCGA.3B.A9HR	TCGA.DX.A8BV	TCGA.3B.A9HL	TCGA.X6.A8C4	TCGA.DX.A6YX	TCGA.DX.A3LU	TCGA.3B.A9HV	TCGA.FX.A48G	TCGA.DX.A3UC	TCGA.DX.A8BU
ENSG00000169871	5055	4772	4944	4036	3689	5102	3496	2873	5492	4673	1578	2294	1761	1980	2634
ENSG00000169876	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0
ENSG00000169877	0	4	3	1	12	0	0	4	1	0	1	1	12	0	1
ENSG00000169884	6	11	11	1	29	1	1332	2162	43	0	902	5	7	3	5
ENSG00000169885	14	11	13	16	10	6	3	9	4	14	6	4	9	6	6
ENSG00000169891	353	942	1074	428	1093	454	301	585	100	629	147	223	161	514	1908
ENSG00000169894	278	147	22	26	23	46	646	764	11	11	18	68	37	12	59
ENSG00000169895	2896	10377	2594	4307	4097	4529	2647	3034	5492	7080	2526	5680	2376	2520	4043
ENSG00000169896	1005	196	1526	325	914	117	816	1931	1217	2465	4293	104	283	295	564
ENSG00000169900	0	0	1	0	3	0	0	0	0	0	0	1	0	1	31
ENSG00000169902	1219	707	1244	531	668	1249	2777	2372	3435	1065	2560	1483	995	480	1455
ENSG00000169903	1	2	7	1	80	22	0	2	1	2	0	1	0	0	12
ENSG00000169905	3574	3083	2044	2045	3323	3184	3528	3556	4274	2698	3167	3098	3398	1328	4212
ENSG00000169906	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
ENSG00000169908	4612	2913	4301	1305	3013	4738	5407	4916	371	21081	1318	646	2246	482	1164
ENSG00000169914	931	1367	556	292	281	1181	574	975	703	353	135	1640	117	372	1126
ENSG00000169918	130	28	54	24	259	73	124	120	26	22	28	147	143	117	44
ENSG00000169919	3652	5754	5974	4952	3651	1882	4348	3488	5549	6294	5649	7589	3832	1205	2887
ENSG00000169925	1248	3074	1773	1755	1398	1754	2400	3229	1717	1817	1027	3391	381	2196	2405
ENSG00000169926	3673	6916	4626	5305	8363	8119	5885	5167	3392	6489	491	2771	1582	3128	12443
ENSG00000169933	23	33	7	133	52	12	0	5	48	200	0	482	6	13	535
ENSG00000169946	1063	90	799	236	2911	61	1159	2023	910	347	858	222	74	224	2150
ENSG00000169951	485	519	422	283	1139	477	400	775	551	521	428	710	711	282	412
ENSG00000169953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169955	849	758	1128	876	1955	1092	493	973	935	1049	792	1603	1689	712	718
ENSG00000169957	2955	2768	3813	2644	6006	3357	1952	2785	2682	2466	2792	4068	3915	2762	2465
ENSG00000169962	20	12	34	13	27	10	14	12	45	38	216	10	14	10	30
ENSG00000169964	915	1024	912	1342	785	1276	624	583	1436	1167	952	725	1016	412	803
ENSG00000169967	2218	6106	2745	2225	4618	5180	3188	2798	1552	3636	1272	3044	1372	1752	4780
ENSG00000169972	645	479	618	903	557	412	438	423	1148	1256	777	403	923	238	805
ENSG00000169976	4327	3408	4441	2539	2104	2480	3621	3997	5187	2781	7489	5319	19233	1722	3989
ENSG00000169981	426	539	307	328	859	630	435	543	283	295	383	520	512	159	286
ENSG00000169989	9	1	3	6	7	5	9	4	18	23	0	12	8	5	14
ENSG00000169991	1577	4211	2369	1500	2491	3777	1077	1329	923	1396	217	1485	629	910	689
ENSG00000169992	2425	2189	2833	2888	1997	4187	2418	2381	2865	2433	944	9037	8993	3863	6715
ENSG00000169994	56	177	51	35	135	84	65	33	12	66	25	20	47	23	809
ENSG00000170004	7987	6940	6320	4238	8663	11980	9852	10446	8644	12319	4264	40616	25230	7766	13125
ENSG00000170006	161	40	94	57	93	7	107	52	162	1539	206	86	58	59	27
ENSG00000170011	476	374	525	452	1253	2151	164	286	4	5	8	12	14	203	8
ENSG00000170017	3097	3366	3394	5036	8285	63175	1785	550	2038	22336	524	62	1851	4514	2666
ENSG00000170027	6860	10271	5862	6920	9184	10227	11142	12173	12794	24417	4726	13973	6678	3503	18204
ENSG00000170035	3027	2871	2267	2628	3850	2538	4313	2498	4282	3734	2077	3009	1586	832	2531
ENSG00000170037	1613	3842	2850	3033	2388	2641	3090	2385	1975	2512	2015	9280	8785	2555	2684
ENSG00000170043	3234	2280	3235	4761	3885	3934	3225	3208	3170	3358	8766	7823	17886	3063	2497
ENSG00000170044	25	6	7	8	381	132	2	3	1	7	0	0	0	37	73
ENSG00000170049	24	43	35	34	82	4	67	21	131	4	78	2433	806	8	365
ENSG00000170054	0	10	0	12	0	0	0	0	0	0	0	0	1	0	0
ENSG00000170074	4	1	4	2	3	1	8	11	1	2	0	3	0	17	9
ENSG00000170075	1	18	3	35	16	2	1	1	4	1	1	5	0	7	1
ENSG00000170085	597	1111	629	320	512	11	690	710	722	1296	261	1743	503	697	395
ENSG00000170088	713	178	537	479	794	625	580	489	330	1437	785	723	608	366	1843
ENSG00000170089	233	361	269	242	283	356	206	203	189	547	432	546	315	243	180
ENSG00000170091	6	2	0	4	8	8	8	2	2	0	4	1	0	2	6
ENSG00000170092	19	14	9	12	12	28	15	9	15	13	2	12	4	5	13
ENSG00000170099	70	152	294	14	127	178	27	0	3	3	0	1	12	0	5
ENSG00000170100	437	549	448	320	884	690	259	464	338	221	110	1102	266	163	458
ENSG00000170113	647	2673	1135	878	1041	2618	709	516	385	3502	164	1841	156	962	690
ENSG00000170122	28	35	7	10	25	17	5	9	67	7	1	22	17	8	1
ENSG00000170128	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0
ENSG00000170142	3348	3584	3400	3144	5703	4432	3170	3752	8812	5422	2478	3129	2967	1555	5303
ENSG00000170144	13161	25619	16630	11195	12551	21866	17515	16338	20104	12600	9948	25536	6382	7872	19216
ENSG00000170145	2429	3088	2499	2406	2378	2418	1899	6441	1667	3899	780	1240	971	1292	5545
ENSG00000170152	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0
ENSG00000170153	2006	3045	3362	2141	5193	847	107	2490	634	433	304	6010	2232	1920	3291
ENSG00000170160	1	23	0	0	3	3	41	19	54	0	0	59	4	186	1
ENSG00000170161	13	12	20	30	47	20	26	40	11	7	35	7	115	4	1
ENSG00000170162	2	0	1	0	1	0	3	6811	7	1	1224	1	0	3	544
ENSG00000170166	99	72	36	12	5	14	34	52	11	18	11	46	111	87	48
ENSG00000170175	289	271	223	276	826	279	443	181	232	183	339	634	531	202	5091
ENSG00000170178	5	1	0	0	0	0	1	7	1	27	0	0	0	60	0
ENSG00000170180	0	0	0	0	1	1	0	5	1	0	0	6	0	0	6
ENSG00000170185	1032	1633	889	1085	1803	1283	1325	2054	1184	1423	808	1681	429	612	2168
ENSG00000170190	219	217	78	264	168	138	112	140	298	715	159	20	373	28	194
ENSG00000170191	321	1136	122	218	771	329	266	560	654	1175	198	721	195	253	534
ENSG00000170209	3	18	43	12	5	28	14	9	6	12	4	5	5	8	14
ENSG00000170214	89	165	470	81	4969	92	876	333	22	24	583	9	6	31	753
ENSG00000170222	313	459	360	2005	375	2381	530	321	789	315	525	358	658	145	645
ENSG00000170231	1	12	0	1	4	5	0	0	1	1	0	2	117	1	22
ENSG00000170234	1233	1404	1305	1169	2848	1693	1195	723	709	1067	399	1060	362	550	825
ENSG00000170236	1	0	2	3	2	0	3	0	2	2	2	1	0	1	3
ENSG00000170242	3111	5327	3030	3077	4330	7468	3244	3300	3085	7509	2008	3570	1397	2097	4436
ENSG00000170248	5008	7898	5014	3909	8187	14147	6446	8835	10266	16199	3749	6101	1730	2387	6381
ENSG00000170255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170260	1108	1184	968	1170	1148	2017	693	859	1245	1049	515	997	990	437	897
ENSG00000170262	1	0	0	2	1	1	1	3	0	0	0	0	1	2	0
ENSG00000170264	272	409	238	195	423	408	161	175	578	646	63	597	33	116	407
ENSG00000170265	2321	2698	2184	3031	2715	3791	1713	2240	3005	4116	1388	3388	3283	1447	2188
ENSG00000170266	2326	1722	2365	1880	2421	2964	2506	3058	3922	7610	3559	3363	3282	1154	3254
ENSG00000170270	354	1328	335	578	545	931	555	328	1266	744	500	429	241	355	322
ENSG00000170271	3412	4548	7779	13085	11882	5265	1850	1196	94	630	839	1361	1650	6541	1411
ENSG00000170275	19641	13693	22152	13915	29569	46739	13766	21607	20540	26088	18805	19114	27230	7307	13847
ENSG00000170276	535	374	1043	1164	699	168	138	568	0	3	615	155	2557	165	259
ENSG00000170279	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
ENSG00000170289	5	2	6	7	0	1	1	30	1	5	1	1	0	4	2
ENSG00000170290	2	4	0	12	1	0	61	4	22	4	0	0	1	0	1195
ENSG00000170291	1202	1435	1225	2767	757	1412	1556	1451	3145	2088	1425	3791	4968	1038	2258
ENSG00000170293	72	22	48	72	47	62	171	159	187	1269	55	62	52	51	197
ENSG00000170296	2258	1917	2862	2301	2275	2374	3278	3063	7045	2581	5454	4454	5536	1454	2922
ENSG00000170298	23	205	63	4	49	4	3	0	1	0	12	22	4	89	0
ENSG00000170310	1160	1513	1015	10192	1271	10375	1841	1460	3243	1064	3425	2471	5404	987	1308
ENSG00000170312	368	4878	1474	2089	2066	1391	2416	2510	3419	3038	1438	9070	604	899	4454
ENSG00000170315	15649	18351	33017	91064	8972	21373	22457	31786	39899	17437	44988	40188	48272	21085	27608
ENSG00000170322	1953	1460	1950	1640	1800	2271	1238	826	1464	2453	1023	1380	1703	1049	1736
ENSG00000170323	564	174	5231	2913	1521	59	8625	78314	9	4	19597	27	26	15	136
ENSG00000170324	1	2	0	0	0	0	7	0	0	1	0	0	8	0	2
ENSG00000170325	397	602	428	289	610	794	447	469	473	976	187	427	130	227	677
ENSG00000170340	893	1724	514	405	868	877	1252	1229	272	871	649	762	803	172	407
ENSG00000170345	8526	1604	3301	3571	1708	8657	6836	9343	1209	672	1162	558	337	362	1082
ENSG00000170348	6572	16894	8262	5884	12853	13504	10231	11091	15959	27050	7145	6881	5353	3702	9021
ENSG00000170356	0	44	0	0	0	40	46	0	0	19	201	0	1	21	4
ENSG00000170364	2176	2845	5470	5717	5187	4849	1026	532	216	807	460	1980	3004	1326	813
ENSG00000170365	1108	730	429	574	823	516	3106	2050	664	2970	154	1245	124	230	1679
ENSG00000170367	0	0	0	0	0	47	0	0	0	0	0	7	0	2	0
ENSG00000170369	7	7	0	0	7	1	1	7	2	1	105	10	0	0	2
ENSG00000170370	421	16	350	44	974	356	88	485	183	3	305	2630	2866	175	382
ENSG00000170373	5	15	1	3	0	6	0	8	6	2	0	0	4	0	3
ENSG00000170374	2	5	4	6	3	3	7	2	1	3	0	0	31	1	1
ENSG00000170379	170	277	145	97	211	153	150	110	1085	372	131	68	41	56	242
ENSG00000170381	9	9	1	224	8	52	15	378	89	109	88	1	10	55	1
ENSG00000170382	374	1347	13	294	79	358	217	68	5	2	190	2841	83	393	15
ENSG00000170385	1001	1630	602	885	1872	1333	1899	1774	2126	1491	834	482	465	535	1083
ENSG00000170390	618	2573	2024	818	653	897	654	579	661	669	69	1720	457	689	1343
ENSG00000170396	42	1	330	191	316	1	86	24	2917	739	0	2	0	181	113
ENSG00000170409	9	1	0	0	2	4	14	17	1	0	0	0	6	0	2
ENSG00000170412	519	2463	1033	209	113	410	1345	532	45	51	207	84	300	412	305
ENSG00000170417	295	172	158	112	980	437	235	186	146	29	76	211	40	105	70
ENSG00000170419	0	0	0	0	1	6	0	0	1	0	0	0	0	1	32
ENSG00000170421	247	12034	14	1635	31	1674	253	223	78	2361	18	17273	707	4	109
ENSG00000170423	0	2	0	0	4	0	0	0	14	1	0	0	0	0	0
ENSG00000170425	136	998	26	659	40	107	277	591	854	1800	457	242	41	64	93
ENSG00000170426	19	3	9	0	1	10	1	21	0	3	5	5	1	0	10
ENSG00000170430	963	549	1327	1378	1255	727	1467	1094	652	84	1808	2988	2042	21	632
ENSG00000170439	68	11	121	72	25	15	291	652	1126	62	1976	249	139	58	460
ENSG00000170442	15	112	20	116	83	92	6	7	31	6	126	0	26	6	24
ENSG00000170445	3821	3763	4166	3390	4136	4489	3213	3745	6178	4241	2691	5406	3176	1535	3336
ENSG00000170448	396	520	347	263	800	567	454	471	458	1114	154	558	159	199	825
ENSG00000170454	2	504	0	1	1506	142	1	8	1	121	5	0	0	0	0
ENSG00000170456	454	637	619	466	438	1713	550	1127	2137	1562	498	663	399	388	1186
ENSG00000170458	7166	1094	11698	3244	8109	677	11021	24496	9008	19082	124629	987	8366	1933	1940
ENSG00000170464	939	287	937	557	1582	2738	703	825	1473	1095	369	1097	1250	395	1448
ENSG00000170465	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000170468	493	2971	422	894	1120	838	345	501	743	1479	288	612	309	406	383
ENSG00000170469	92	18	65	43	124	150	84	67	370	170	138	108	212	24	201
ENSG00000170471	2309	2471	2224	2019	5524	7125	2019	3155	2941	5502	1330	3155	916	1462	5842
ENSG00000170473	1067	789	1374	1178	1242	820	1029	1536	1274	639	2118	1059	2333	314	829
ENSG00000170476	84	4	19	13	543	24	23	5	10	5	17729	13	134	16	82
ENSG00000170477	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000170482	10	12	12	41	81	16	9	17	7	2	6	31	2	8	7
ENSG00000170484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170485	949	343	473	1284	128	56	995	836	3772	760	716	1190	363	843	689
ENSG00000170486	6	0	2	0	0	1	1	1	0	0	0	0	0	0	0
ENSG00000170498	0	1	0	0	0	2	6	0	0	31	1	0	0	0	67
ENSG00000170500	2495	3605	1018	1317	207	3167	131	1334	0	1	58	5036	1559	3108	2
ENSG00000170502	1112	1247	1371	1081	1005	1083	1199	1065	1134	1595	1294	2107	1266	702	2033
ENSG00000170509	335	61	125	60	199	263	39	76	25	15	22	55	28	35	132
ENSG00000170515	5829	6622	7371	7970	7640	6578	5170	6297	12037	8325	6640	8621	10169	1726	8478
ENSG00000170516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170522	442	1240	258	411	555	146	467	2220	3103	1306	1222	1931	966	178	926
ENSG00000170523	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000170525	1871	3906	2893	895	2587	2185	3166	5606	4907	6859	977	2723	2003	784	6091
ENSG00000170537	126	515	164	145	1458	281	157	157	326	468	17	77	29	106	224
ENSG00000170540	4793	25462	7878	8331	14602	9448	9436	13672	7932	9681	7841	17073	1932	5075	11360
ENSG00000170542	417	512	348	124	756	234	783	1026	163	417	443	511	62	108	359
ENSG00000170545	291	320	236	295	111	213	452	268	1847	2393	109	110	257	22	107
ENSG00000170549	1	7	1	6	1	2	458	2	0	1	5	1	0	0	492
ENSG00000170558	366	17	11	70	21	36	154	278	932	5116	0	3196	3309	640	278
ENSG00000170561	11	627	0	4	2	13	27	12	2	29	0	0	4	0	1
ENSG00000170571	472	69	687	717	528	38	895	1731	3331	779	3378	26	152	2023	1532
ENSG00000170577	104	1205	104	229	76	12	1214	484	1268	1685	1254	43	13	5	2884
ENSG00000170579	5	9	4	10	23	26	422	940	416	17	273	886	794	1	905
ENSG00000170581	7718	4049	6375	2475	4032	3744	5486	3811	5842	3411	10816	3066	3880	1179	3681
ENSG00000170584	1155	2984	2028	2613	2448	1888	1293	1430	1145	2150	1066	2013	783	937	1809
ENSG00000170604	2166	1886	1008	1304	750	2865	1297	2337	1364	1870	1558	3222	1901	1069	2803
ENSG00000170605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170606	3818	5053	3313	4183	7012	8824	4852	5483	12581	13006	4232	6852	6321	2827	9448
ENSG00000170608	1	5	0	2	0	0	2	3	0	5	1	8	3	1	2
ENSG00000170613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170615	5	4	6	0	6	7	0	7	0	6	0	4	0	4	1
ENSG00000170619	1939	945	1174	714	1421	1094	999	998	537	2361	2219	1696	2969	667	2687
ENSG00000170624	607	205	4665	2418	1899	7272	2185	3815	2295	1541	703	157	1010	1719	11692
ENSG00000170627	8	7	94	4	8	61	5	38	10	7	37	1	6	32	0
ENSG00000170629	97	539	263	162	376	978	46	89	109	345	3	477	35	313	600
ENSG00000170631	850	512	613	346	998	742	377	437	196	1393	245	526	533	177	364
ENSG00000170632	1303	1193	1162	1002	1121	1400	1011	1154	872	2505	1178	1920	1407	608	1726
ENSG00000170633	1267	1549	1186	1487	1753	1446	1422	1267	1318	3171	785	3021	892	880	1714
ENSG00000170634	409	1124	841	605	604	379	358	375	305	277	413	424	701	164	517
ENSG00000170638	1796	1894	2111	920	1910	1916	1065	2109	3185	3329	2129	1580	2536	1518	2477
ENSG00000170653	2540	2951	3342	2651	4779	3314	2877	2421	2733	1916	1516	5232	1151	731	3539
ENSG00000170667	3	7	4	3	9	1	7	2	1	1	2	0	10	0	37
ENSG00000170677	1167	1611	564	905	1043	1542	1124	1284	677	1253	348	2039	227	434	735
ENSG00000170681	30	80	21	14	5	82	94	69	754	67	26	51	23	24	859
ENSG00000170683	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170684	115	21	56	68	63	21	34	44	36	35	176	40	60	148	144
ENSG00000170688	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0
ENSG00000170689	83	75	62	183	27	15	240	317	20	192	171	10	158	73	4
ENSG00000170703	6	103	70	75	3	1	1	1	4	18	0	12	0	13	0
ENSG00000170734	505	3044	1026	526	987	1825	804	1013	739	984	273	1610	612	336	2670
ENSG00000170743	1	1	2	0	0	1	0	0	0	0	3	166	116	86	3
ENSG00000170745	766	2224	1807	1340	891	986	374	106	65	185	110	1887	40	110	1777
ENSG00000170748	2	4	0	0	4	0	2	0	3	3	0	0	1	2	2
ENSG00000170759	3990	21709	5388	15769	17905	14459	7577	14233	9494	10434	4356	8791	5580	6467	16192
ENSG00000170775	18	26	0	640	70	1	17	23	0	2	0	84	1	85	544
ENSG00000170776	5881	21597	5919	3487	7463	18884	9484	11170	11074	11889	3370	2088	1922	3386	22374
ENSG00000170777	0	0	2	0	0	2	0	0	1	0	0	0	0	1	0
ENSG00000170779	484	8105	1348	1922	978	1700	2345	1419	2665	5134	702	3238	543	896	2139
ENSG00000170782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170786	1	1	0	0	0	0	121	4	0	1	5	0	0	8	0
ENSG00000170788	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
ENSG00000170790	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000170791	1140	592	865	868	1034	1584	1088	882	3604	811	888	643	780	402	645
ENSG00000170801	1747	355	286	741	1495	185	14686	57263	9187	1113	78294	9375	100079	48	5633
ENSG00000170802	639	1033	1365	538	2679	506	1293	914	1000	1176	398	1216	163	388	879
ENSG00000170807	1	6	26	88	63	10	99	15	5	5	0	1	2	3	484
ENSG00000170819	0	4	1	5	13	0	4	0	0	1	37	2	10	0	4
ENSG00000170820	3	0	2	1	0	0	0	0	0	0	0	0	0	10	5
ENSG00000170827	0	1	1	0	0	0	1	1	0	0	1	0	4	0	2
ENSG00000170832	940	2550	973	1347	1760	1986	1423	1595	1877	4088	458	1590	870	873	1885
ENSG00000170835	36	47	27	9	2	58	32	51	16	3	61	40	43	35	12
ENSG00000170836	789	2446	1102	1217	1078	957	1645	1405	373	773	355	1540	784	658	885
ENSG00000170837	168	387	2	59	10	25	64	856	0	6	250	348	134	273	1
ENSG00000170846	933	1014	955	873	672	751	553	653	1491	721	975	1416	1605	464	1023
ENSG00000170848	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0
ENSG00000170852	2007	3056	2347	3128	2526	3928	3249	4025	3655	3941	1304	2567	1662	2802	4833
ENSG00000170854	684	56	547	270	678	152	892	933	1323	3358	441	961	876	173	1764
ENSG00000170855	1202	1216	1016	1107	1099	1120	1250	2152	1761	2013	1492	2275	2059	528	1190
ENSG00000170858	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0
ENSG00000170860	2153	3420	2607	2773	2946	4481	1811	2373	2759	3340	3013	4019	4273	931	2814
ENSG00000170871	2303	4046	1831	2129	4218	4350	1375	3699	3637	2016	1061	3422	1740	1571	2095
ENSG00000170873	2322	3474	994	310	4869	2463	3885	2968	629	1661	2292	5026	217	641	4298
ENSG00000170876	9144	10994	10874	6752	16509	11657	6028	7839	6401	23580	3059	9337	3968	4310	9277
ENSG00000170881	2112	1578	1349	1337	3848	1595	1267	1787	2076	1037	1297	1485	1078	722	1640
ENSG00000170889	43569	25024	33221	23721	24283	41218	34790	44474	41690	37340	95460	45498	120562	8735	28952
ENSG00000170890	7	1	1	2	1	3	1	6	2	3	9	7	15	1	1
ENSG00000170891	418	16	82	217	47	15	149	107	27	18	317	24	112	22	425
ENSG00000170892	3081	2983	2270	1999	1648	3734	1532	1505	1923	2846	2247	6629	2837	1902	3773
ENSG00000170893	1	3	0	0	0	0	4	9	0	0	33	0	0	0	0
ENSG00000170899	1115	357	1159	1285	1660	1393	1137	755	1611	832	1117	1852	1409	438	726
ENSG00000170903	878	834	695	1181	1112	923	741	615	875	1811	621	32	717	419	1038
ENSG00000170906	2852	1590	1951	1673	1251	2451	1394	1574	1296	1794	6473	3448	7431	1376	984
ENSG00000170909	518	83	255	102	99	20	154	57	148	338	478	97	75	67	124
ENSG00000170915	794	1469	549	393	1058	1455	919	586	834	1499	636	1468	942	375	1072
ENSG00000170917	145	125	181	342	229	142	109	145	193	238	42	116	112	125	155
ENSG00000170919	1081	435	534	492	653	927	275	488	507	209	561	1285	1090	564	321
ENSG00000170920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170921	674	249	170	652	565	272	1598	3397	4604	4444	1115	1248	734	287	4312
ENSG00000170923	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000170925	0	0	0	0	1	0	0	0	0	18	0	0	0	0	2
ENSG00000170927	5	0	2	3	8	369	0	4	0	0	0	105	3	7	14
ENSG00000170929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170935	0	1	1	0	2	5	1	0	0	1	0	0	0	0	12
ENSG00000170946	403	573	427	429	562	1481	287	343	354	433	67	418	48	385	515
ENSG00000170948	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170949	1479	3350	1037	685	1198	2966	1468	1074	1104	1234	481	1807	374	990	2736
ENSG00000170950	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000170953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170954	571	37	334	324	403	756	619	424	405	247	236	608	237	296	1105
ENSG00000170955	5101	2770	4558	9567	5028	7946	2611	1779	2206	4352	5678	2518	8412	2630	1390
ENSG00000170956	2	0	7	0	5	2	3	5	0	3	1	0	5	2	0
ENSG00000170959	25	3	17	5	13	141	3	12	4	2	4	0	0	38	21
ENSG00000170961	2675	154	169	418	54	3	630	1428	3217	10165	176	1004	1	67	1297
ENSG00000170962	517	1143	104	185	373	751	3293	9190	69	386	4141	1215	62	110	964
ENSG00000170965	1	134	3	22	8	5	7	83	14	36	1066	10	314	3	20
ENSG00000170967	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000170983	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000170989	2351	1679	2266	1076	1737	1831	4697	6833	372	605	522	596	246	316	1115
ENSG00000171004	33	2	2	5	5	3	762	771	36	1	1533	72	33	3	6154
ENSG00000171014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171016	498	606	369	449	24	147	127	526	1934	1819	181	1474	190	637	1277
ENSG00000171017	12	128	39	24	1	3	2	1	156	155	0	22	1	26	2
ENSG00000171033	1217	449	2853	1005	2507	1093	336	10	1638	1422	51	469	53	688	432
ENSG00000171044	8	262	10	39	66	35	39	9	3	3	40	99	19	75	255
ENSG00000171045	1201	482	860	578	730	1069	331	160	27	3835	279	457	564	419	329
ENSG00000171049	34	2	24	2	22	1	35	391	18	164	91	2	0	5	19
ENSG00000171051	320	74	271	84	157	7	376	2684	269	858	602	32	43	28	326
ENSG00000171053	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000171054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171055	2438	2323	1709	1966	3143	2374	3574	3238	3997	6310	2455	2078	1413	701	1664
ENSG00000171056	946	245	118	181	148	178	1738	2089	38	43	24	180	59	35	79
ENSG00000171060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171067	2872	3993	2410	3515	2592	2478	2896	4475	4493	6065	6025	1504	4685	2576	1950
ENSG00000171084	121	34	120	209	80	86	52	145	197	752	115	56	116	68	71
ENSG00000171094	23	5	1	205	38	2	7	3	1908	104	8	5	2926	4	2
ENSG00000171097	392	380	638	489	190	586	367	274	507	346	602	867	231	316	284
ENSG00000171100	435	588	421	340	654	961	662	414	310	765	237	803	60	213	944
ENSG00000171101	25	36	91	14	27	8	17	12	16	5	22	7	8	8	4
ENSG00000171102	3	1	1	0	0	0	3	63	0	0	0	0	0	0	0
ENSG00000171103	429	366	585	505	622	854	392	513	633	476	112	575	120	115	367
ENSG00000171105	7601	22058	5636	4469	5430	15420	12291	11089	705	1603	1157	3280	5192	3467	5866
ENSG00000171109	1691	1494	1595	1481	2366	3818	1524	1101	690	4405	502	2301	1112	933	3163
ENSG00000171115	1620	523	955	362	2066	592	2920	1812	186	516	2119	244	531	203	263
ENSG00000171116	4	0	0	2	2	14	2	0	0	3	0	4	0	0	0
ENSG00000171119	133	429	54	531	5	26	33	80	0	0	1	523	97	1	49
ENSG00000171121	76	43	37	54	31	79	74	65	46	81	60	87	66	89	281
ENSG00000171124	7	2	1	20	0	9	1	4	4	3	0	5	11	2	10
ENSG00000171126	3	96	22	52	5	10	11	1	0	47	0	238	6	9	9
ENSG00000171130	1840	1575	2277	3042	3339	4431	275	325	328	269	1318	6481	1666	2988	997
ENSG00000171132	463	892	569	474	858	551	989	1601	1471	2584	667	2434	222	140	565
ENSG00000171133	0	0	0	0	0	0	2	1	0	0	0	2	0	0	2
ENSG00000171135	1444	1317	1491	1344	1404	1797	1099	2093	2294	2911	2101	1637	3457	496	1306
ENSG00000171136	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000171148	5362	7537	9523	16548	10178	10583	3969	3194	6440	7384	7457	7014	15249	4142	5636
ENSG00000171150	1431	1259	1099	969	1918	1246	1432	1184	2619	2168	443	1578	786	221	1050
ENSG00000171155	1049	1469	1340	786	674	1962	835	647	475	1055	1222	1880	535	324	995
ENSG00000171159	2163	1706	1743	1587	5420	2513	1758	1192	1760	1494	13293	3268	6092	1307	1135
ENSG00000171160	246	145	133	44	189	514	134	237	1101	585	420	285	687	17	272
ENSG00000171161	2162	4002	2567	3504	2351	2207	1458	1584	639	2966	1922	3999	1838	1755	1324
ENSG00000171163	2768	846	1884	747	1124	912	549	377	522	1094	820	1445	1862	697	679
ENSG00000171169	644	507	453	553	467	499	492	456	573	451	633	735	548	144	435
ENSG00000171174	107	76	71	63	146	90	85	354	231	315	105	61	200	19	258
ENSG00000171180	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000171189	33	10	9	33	26	2	60	1149	82	19	76	5	2	15	16
ENSG00000171195	1	0	1	0	1012	1	0	0	0	0	0	0	0	0	0
ENSG00000171199	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000171201	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
ENSG00000171202	627	804	991	1164	632	653	524	730	1111	1317	823	665	1430	576	638
