TCGA.50.5066	TCGA.55.6712	TCGA.50.5068	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.55.8615	TCGA.73.A9RS	TCGA.50.5936	TCGA.53.7813	TCGA.95.A4VP
ENSG00000152402	696	142	267	1114	484	392	189	51	3169	240	1044
ENSG00000152404	2062	718	561	570	785	486	310	236	694	465	429
ENSG00000152409	5371	970	295	828	778	479	916	978	1302	931	774
ENSG00000152413	2898	490	273	256	997	242	531	343	778	403	303
ENSG00000152422	866	273	378	184	687	284	151	184	228	309	350
ENSG00000152430	4	0	0	0	11	0	7	4	0	4	3
ENSG00000152433	250	74	50	28	30	91	102	51	50	43	112
ENSG00000152439	653	195	102	102	176	217	285	143	158	38	288
ENSG00000152443	1930	478	435	306	443	443	554	449	467	469	400
ENSG00000152454	595	86	47	67	158	120	20	108	100	12	118
ENSG00000152455	1267	254	492	91	734	210	474	325	127	362	381
ENSG00000152457	1357	392	657	231	541	418	467	325	303	565	500
ENSG00000152463	26	3	0	6	52	1	1	5	12	2	14
ENSG00000152464	1180	392	764	166	741	485	710	625	340	613	615
ENSG00000152465	962	397	602	222	425	348	333	127	460	228	369
ENSG00000152467	56	1	7	0	4	10	0	0	2	0	11
ENSG00000152475	143	45	58	38	67	77	127	97	62	10	133
ENSG00000152484	3372	874	558	1783	2411	1013	1310	793	2907	655	1379
ENSG00000152492	3416	746	1729	2112	3129	2817	2056	727	4006	1358	2686
ENSG00000152495	520	206	223	198	119	353	26	59	185	108	157
ENSG00000152503	797	67	202	69	141	75	41	165	61	47	114
ENSG00000152518	20932	6842	5720	10789	8975	9139	2640	1654	9709	1421	9015
ENSG00000152520	4144	950	618	1162	2034	774	1572	985	1789	1188	2280
ENSG00000152527	2815	155	524	931	444	233	649	50	2487	541	1330
ENSG00000152556	5786	390	719	793	2682	770	3557	3367	1510	1382	1740
ENSG00000152558	34994	25096	15507	5463	15507	10549	10200	9548	10121	10623	5850
ENSG00000152578	51	3	6	3	5	4	13	0	5	1	17
ENSG00000152580	2019	17	123	822	492	60	42	39	3432	63	306
ENSG00000152582	1315	57	142	221	130	211	231	187	236	219	137
ENSG00000152583	15906	4753	4782	8672	7296	13749	1805	1937	11202	1217	17844
ENSG00000152591	2	0	0	0	1	0	0	0	0	0	0
ENSG00000152592	4	0	0	0	7	1	3	1	0	1	0
ENSG00000152595	5	9	0	2	3	7	35	1	1	3	2
ENSG00000152601	23959	6348	7335	6351	7641	7421	2497	3148	9044	3382	4719
ENSG00000152611	78	40	166	66	4	285	6	231	57	6	4
ENSG00000152620	2880	550	477	463	1211	552	2095	660	775	543	736
ENSG00000152642	12721	3114	1191	2109	1063	828	2197	1330	4676	707	2168
ENSG00000152661	19023	1169	4225	8733	12372	6581	1762	362	9675	1314	6321
ENSG00000152669	3657	128	124	16	404	164	520	4351	16	26	157
ENSG00000152670	23	2	0	0	45	1	0	12	0	0	5
ENSG00000152672	23	4	71	45	8	72	12	2	43	6	85
ENSG00000152683	5709	1148	1172	744	3240	816	2137	1236	1294	732	983
ENSG00000152684	3282	1069	641	407	1899	874	945	837	941	445	1414
ENSG00000152689	1076	444	518	509	651	890	347	1209	707	213	1400
ENSG00000152700	5954	1940	3447	1202	3150	1887	2463	2216	1896	2530	1983
ENSG00000152705	64	8	17	5	24	9	26	9	3	23	29
ENSG00000152749	4257	570	1040	291	1463	475	660	1025	402	392	445
ENSG00000152760	29	28	117	35	22	71	13	110	46	17	54
ENSG00000152763	2804	175	276	114	228	349	105	172	179	26	79
ENSG00000152766	259	905	1238	97	1191	915	262	257	59	207	170
ENSG00000152767	18663	1552	684	2222	5462	1064	4707	5131	4677	1336	3881
ENSG00000152778	2986	1091	2657	904	1525	1297	458	271	1208	918	701
ENSG00000152779	2021	135	736	39	48	67	38	3	118	19	48
ENSG00000152782	1663	95	196	178	438	88	339	178	300	210	198
ENSG00000152784	710	262	268	28	129	178	123	68	34	52	45
ENSG00000152785	3807	521	2048	560	100	1586	212	16	2158	507	307
ENSG00000152795	22480	5098	3914	4856	8673	5742	9102	5308	7245	8432	8778
ENSG00000152804	695	253	625	162	384	634	98	75	435	279	245
ENSG00000152818	18987	4321	783	6834	4337	2190	2212	1343	15755	1177	4171
ENSG00000152822	28	2	6	3	41	3	1	0	2	1	3
ENSG00000152894	10823	3360	1201	2212	3893	1893	3806	923	4305	1236	2073
ENSG00000152904	5549	1210	1737	692	2303	1021	1786	1088	972	1805	1875
ENSG00000152910	97	4	0	0	83	2	0	0	1	2	0
ENSG00000152926	10261	1451	828	549	699	2067	890	984	1252	2144	1059
ENSG00000152931	10	1	9	2	13	10	7	1	2	42	308
ENSG00000152932	398	18	35	30	34	115	2	1	16	3	39
ENSG00000152936	6	4	6	8	4	13	0	11	10	0	0
ENSG00000152939	3610	1050	424	675	2708	492	2034	514	1390	1143	824
ENSG00000152942	3048	810	820	609	1486	677	1000	625	912	982	940
ENSG00000152944	4358	910	1742	761	1635	790	881	710	1133	654	910
ENSG00000152952	9139	2284	1135	758	5256	1501	3172	2193	989	2863	1798
ENSG00000152953	75	69	27	16	114	113	44	4	84	145	1356
ENSG00000152954	30	0	0	0	3	1	0	0	3	1	2
ENSG00000152969	338	73	44	44	26	76	7	23	27	44	137
ENSG00000152977	2	0	0	1	612	0	0	0	0	5	13
ENSG00000152990	3782	1108	411	528	1722	650	1186	1274	795	2333	1149
ENSG00000153002	1301	2	24	2	5	10	6	3	3	95	219
ENSG00000153006	2409	1584	2069	826	1666	1259	911	548	1287	1287	1530
ENSG00000153012	922	193	134	82	425	777	194	38	18	2547	875
ENSG00000153015	2587	665	586	454	1658	520	597	531	704	869	893
ENSG00000153029	6059	1792	1908	2050	3133	2175	2650	879	2525	992	1177
ENSG00000153037	1968	455	765	421	1349	725	794	869	515	1112	1315
ENSG00000153044	965	334	192	93	1298	243	225	384	77	299	294
ENSG00000153046	4131	994	463	587	1520	673	1224	832	962	983	847
ENSG00000153048	6921	2637	2098	1117	4630	2313	1914	1191	2215	1687	4089
ENSG00000153060	47	7	3	5	37	38	6	7	3	5	22
ENSG00000153064	1092	886	791	754	396	2163	556	177	902	163	827
ENSG00000153066	6108	3083	2202	3578	4417	3068	11277	2207	4256	2432	14314
ENSG00000153071	9789	1945	1123	3966	2757	1791	933	489	5637	369	2398
ENSG00000153086	36	2	1	5	101	2	130	2	4	8	54
ENSG00000153093	885	26	616	296	109	124	116	14	1054	76	168
ENSG00000153094	7248	1436	622	820	1461	999	975	1999	954	810	902
ENSG00000153107	3656	438	256	343	1976	302	583	921	570	364	448
ENSG00000153113	30445	17364	5124	6179	16665	6037	8268	5110	10366	4964	5004
ENSG00000153130	6400	3023	7918	1304	3401	3582	4014	3222	1907	3137	1832
ENSG00000153132	505	53	93	13	596	94	955	1366	41	251	118
ENSG00000153140	1734	464	1332	322	976	548	440	287	492	611	391
ENSG00000153147	14726	4202	3046	5203	6675	3093	4219	3453	7105	2826	3028
ENSG00000153157	95	4	40	9	162	8	107	10	44	107	176
ENSG00000153162	588	67	43	259	424	199	1448	93	1018	2311	4482
ENSG00000153165	7	1	0	3	10	2	3	5	11	6	9
ENSG00000153179	5583	2571	1203	1945	3739	2310	4451	1422	3626	800	2091
ENSG00000153187	59438	12543	5528	8896	32364	8080	20602	9573	13747	15078	17284
ENSG00000153201	17099	2390	1565	2900	6151	2072	2764	6197	5212	3212	3584
ENSG00000153207	7949	1184	761	829	3769	887	2392	1980	1602	1744	2169
ENSG00000153208	6915	845	466	554	966	419	726	172	918	464	388
ENSG00000153214	8913	2022	1818	984	3809	1508	1549	1311	1326	1355	1392
ENSG00000153230	0	0	0	1	0	0	0	0	1	0	0
ENSG00000153233	44	115	121	48	109	249	11	0	55	10	19
ENSG00000153234	6130	187	446	3380	3183	258	665	1158	9484	812	929
ENSG00000153237	449	43	166	27	14	47	30	49	15	41	33
ENSG00000153246	1310	89	458	113	268	309	522	101	386	135	368
ENSG00000153250	15701	2729	1932	2913	5940	2084	2152	2665	4475	2375	3506
ENSG00000153253	149	9	31	9	22	36	51	0	28	680	3418
ENSG00000153266	2	0	60	1	0	0	0	0	0	1	0
ENSG00000153283	963	609	704	527	294	892	135	167	387	255	498
ENSG00000153291	630	33	53	110	62	40	291	171	85	234	386
ENSG00000153292	5920	6341	1769	192	464	2144	140	141	613	81	342
ENSG00000153294	972	719	15	2	812	24	347	194	0	62	9
ENSG00000153303	12	0	2	1	2	2	2	2	4	0	0
ENSG00000153310	18933	3614	7109	1779	3979	3414	1819	1345	2326	3493	2747
ENSG00000153317	12005	2176	533	1617	3489	1243	1892	762	2828	853	1670
ENSG00000153339	4029	1131	1640	1077	1795	1140	1964	1335	1989	1218	1278
ENSG00000153347	777	41	254	66	132	311	26	196	57	14	28
ENSG00000153363	1459	384	723	166	2267	187	366	314	211	211	508
ENSG00000153391	685	299	389	359	638	451	516	165	479	356	753
ENSG00000153395	125759	4696	14320	16959	16272	6731	23713	1674	36505	26853	24730
ENSG00000153404	5450	92	157	80	128	85	1570	446	198	203	1567
ENSG00000153406	3091	1491	1256	679	1763	1302	1349	1072	831	676	2612
ENSG00000153443	1462	398	335	489	975	444	1281	615	743	291	1811
ENSG00000153446	1793	2152	2832	6062	1686	3086	8427	77	9071	2125	5786
ENSG00000153485	1251	171	961	380	529	377	470	215	409	375	400
ENSG00000153487	3945	431	682	478	866	724	2145	720	602	635	1117
ENSG00000153495	11	5	9	1	3	10	0	3	2	3	23
ENSG00000153498	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153531	921	139	67	62	636	72	213	104	65	7	110
ENSG00000153551	3965	1557	592	1245	878	1162	949	233	985	289	1899
ENSG00000153558	999	337	386	138	263	198	500	461	308	297	342
ENSG00000153560	7314	2316	1436	2178	2883	1403	2401	1826	3337	1444	2469
ENSG00000153561	11100	1154	782	1373	5555	1001	2507	1425	2504	1171	1408
ENSG00000153563	1419	1823	1059	394	239	1452	54	314	660	647	837
ENSG00000153574	4855	487	962	615	1279	782	1620	262	716	661	1406
ENSG00000153684	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153707	182	107	128	277	229	139	73	22	735	59	349
ENSG00000153714	2419	1249	1027	562	1003	533	532	595	1418	407	623
ENSG00000153721	3101	769	215	405	782	473	1018	171	524	460	1992
ENSG00000153767	2155	282	700	257	1202	540	398	757	448	404	358
ENSG00000153774	4366	905	1064	877	1587	1202	1560	1116	1310	817	1900
ENSG00000153779	1	1	0	0	0	0	0	0	0	0	0
ENSG00000153786	5991	2669	903	2273	3702	1754	2229	1944	3463	1290	2859
ENSG00000153789	272	73	256	72	26	425	4	381	82	67	35
ENSG00000153790	303	113	90	163	607	295	137	302	232	97	129
ENSG00000153802	9	51	2	4	4	10	4	0	1	4	2
ENSG00000153814	2227	323	358	457	581	1037	482	316	743	131	651
ENSG00000153815	12970	2759	526	1908	10049	2271	3352	9783	3810	1638	3409
ENSG00000153820	1	1	2	0	0	0	0	0	75	0	2
ENSG00000153822	7	8	51	17	67	122	7	1	6	6	142
ENSG00000153823	1725	281	2450	1101	496	323	66	34	2603	59	711
ENSG00000153827	20661	6378	2538	4174	15565	3400	7412	7110	6268	2516	6078
ENSG00000153832	757	228	205	116	662	257	247	442	185	39	188
ENSG00000153879	3748	975	1019	802	5714	1289	1865	2198	1314	1574	2102
ENSG00000153885	607	154	127	320	1810	420	458	511	1065	214	959
ENSG00000153896	816	126	222	103	222	114	209	98	155	126	155
ENSG00000153898	1205	119	370	192	210	368	16	73	180	86	436
ENSG00000153902	204	43	35	63	95	98	135	29	147	11	328
ENSG00000153904	20884	6674	1338	2759	3868	1545	2454	1357	4601	1078	2360
ENSG00000153914	8569	1528	1328	1568	2996	1005	1972	1737	1954	3507	2713
ENSG00000153922	5014	1215	494	1158	2880	929	967	868	1521	1252	1326
ENSG00000153923	3	9	4	0	3	6	6	0	0	1	1
ENSG00000153930	102	9	22	36	14	68	35	4	25	17	22
ENSG00000153933	1319	74	437	235	317	178	381	122	445	277	317
ENSG00000153936	6195	1675	1849	1020	2348	1259	1516	825	1417	1024	1073
ENSG00000153944	17409	546	1223	965	3272	1511	4454	2479	938	3842	2324
ENSG00000153956	1476	238	369	136	1687	624	166	22	353	532	303
ENSG00000153975	1094	163	315	156	409	329	239	237	270	184	379
ENSG00000153976	43	23	20	26	85	72	19	4	15	12	30
ENSG00000153982	1069	89	792	189	246	133	614	157	194	216	148
ENSG00000153989	4517	983	1275	898	2368	1183	943	1042	1613	1015	860
ENSG00000153993	126	67	66	151	170	130	28	4	214	19	90
ENSG00000154001	10052	3254	1091	1354	3520	1086	2739	996	1887	2204	1509
ENSG00000154007	0	0	0	0	0	2	0	2	0	0	0
ENSG00000154016	110	41	33	46	44	186	97	6	78	5	124
ENSG00000154025	29	7	6	9	6	8	23	3	3	7	41
ENSG00000154027	15	6	37	1	32	39	549	1	21	6	9
ENSG00000154040	4070	178	71	6	2741	65	803	699	16	1051	665
ENSG00000154059	4824	1484	1623	830	2405	868	1350	664	1543	771	901
ENSG00000154065	557	139	730	1385	505	352	3354	459	2316	541	5429
ENSG00000154079	951	223	1707	171	616	421	326	235	313	355	348
ENSG00000154080	25	95	176	69	13	392	2	12	95	1	0
ENSG00000154096	6403	1924	2086	476	4947	7832	3614	893	536	1036	7706
ENSG00000154099	865	64	106	145	56	199	103	1001	85	13	134
ENSG00000154102	220	153	112	40	479	193	27	18	36	34	78
ENSG00000154114	3560	881	416	967	765	491	483	473	1494	659	848
ENSG00000154118	98	7	0	5	765	12	17	10	6	0	33
ENSG00000154122	5807	1222	756	1054	3434	2394	6613	909	1860	613	2066
ENSG00000154124	5023	2026	840	690	965	757	1371	726	782	561	897
ENSG00000154127	797	334	224	1378	929	401	197	77	1637	61	331
ENSG00000154133	1163	399	110	1496	958	846	504	179	5906	129	3976
ENSG00000154134	255	104	142	183	265	174	239	46	166	25	327
ENSG00000154143	2	1	0	0	1	0	0	0	0	0	0
ENSG00000154144	2943	993	1042	670	1006	669	919	861	962	781	1447
ENSG00000154146	323	147	1876	1437	1016	276	404	38	2595	631	3286
ENSG00000154153	422	103	408	468	1094	361	175	53	947	117	358
ENSG00000154162	62	0	5	1	16	4	7	0	2	3	0
ENSG00000154165	76	9	79	4	12	7	15	7	89	169	20
ENSG00000154174	10742	2538	1654	1134	4280	1528	2225	3018	1875	1760	2446
ENSG00000154175	2109	1329	1482	1700	1254	2588	83	105	7900	114	1453
ENSG00000154188	759	203	658	732	823	667	183	24	2794	29	586
ENSG00000154198	42	1	2	77	1	2	2	0	47	4	22
ENSG00000154217	1651	896	591	482	1865	765	11614	1169	818	2721	5112
ENSG00000154222	6217	2369	1298	1116	3087	1225	2288	1325	1865	884	2414
ENSG00000154227	4	3	0	3	70	0	2	0	0	1	2
ENSG00000154229	5751	2919	311	359	1766	446	634	109	1530	191	642
ENSG00000154237	1661	977	333	810	1319	981	777	437	1365	434	1026
ENSG00000154240	1304	958	275	403	590	364	556	209	712	255	653
ENSG00000154252	77	0	0	2	6	0	19	11	1	1	14
ENSG00000154258	1408	73	87	156	63	79	29	29	510	59	201
ENSG00000154262	990	290	221	217	162	258	98	27	722	51	267
ENSG00000154263	276	23	88	54	43	36	17	6	97	43	137
ENSG00000154265	2144	310	713	352	933	298	995	274	615	826	1076
ENSG00000154269	175	22	44	34	37	565	869	45	32	98	357
ENSG00000154274	51	151	63	247	306	155	15	486	173	511	171
ENSG00000154277	26543	1693	418	60	5571	524	290	80	96	2617	254
ENSG00000154305	12393	2274	1259	1658	4290	1288	6473	3448	3279	4339	3245
ENSG00000154309	876	529	214	342	456	200	1186	377	1851	188	778
ENSG00000154310	5583	511	297	863	502	882	466	65	2353	159	629
ENSG00000154316	15	3	3	1	8	1	1	0	2	2	35
ENSG00000154319	454	628	58	518	196	230	2680	16	1729	45	1162
ENSG00000154328	2303	773	796	271	891	588	900	170	516	566	1446
ENSG00000154330	1852	161	822	496	242	351	126	27	830	50	407
ENSG00000154342	8	6	101	201	64	6	2	5	602	0	154
ENSG00000154358	2670	497	212	588	1282	660	2609	756	1201	282	663
ENSG00000154359	1894	533	309	665	538	525	1173	161	985	455	889
ENSG00000154370	3651	530	430	590	1469	546	2474	1435	701	670	1790
ENSG00000154380	25269	2805	2322	1677	8718	2196	6412	5328	3071	5651	4215
ENSG00000154415	0	0	0	0	1	0	0	0	0	0	0
ENSG00000154429	1658	298	611	357	836	223	583	340	516	421	376
ENSG00000154438	8	0	10	1	11	1	0	1	4	4	6
ENSG00000154447	5420	2564	1093	1483	1988	762	974	865	2524	684	1103
ENSG00000154451	3371	1112	864	1781	487	818	120	301	537	756	1130
ENSG00000154473	9449	2909	3822	1115	5890	2352	2826	1550	1610	2176	3314
ENSG00000154478	4	0	0	1	2	2	0	0	0	0	1
ENSG00000154479	758	18	51	32	31	79	10	234	54	53	18
ENSG00000154485	7	1	2	1	2	0	8	1	1	3	16
ENSG00000154493	1	1	2	0	4	2	3	1	0	5	13
ENSG00000154511	1816	380	336	162	775	639	786	336	211	298	681
ENSG00000154518	11996	2659	10530	2420	10047	5131	7399	9520	3131	5372	7465
ENSG00000154529	32	11	1	8	38	3	6	2	24	1	42
ENSG00000154545	5	0	0	0	0	0	0	0	0	0	0
ENSG00000154548	124	10	17	20	178	43	148	15	8	54	100
ENSG00000154553	4240	480	1731	1410	1586	2481	394	192	1426	295	1381
ENSG00000154556	6692	172	445	845	843	865	2959	3648	1258	1844	1200
ENSG00000154582	8551	2047	4895	650	3200	2518	1580	995	844	3182	4593
ENSG00000154589	1089	550	1452	364	270	1256	311	168	253	341	501
ENSG00000154608	18	10	2	9	2	3	6	3	13	2	5
ENSG00000154611	5	2	1	0	0	7	0	0	4	6	0
ENSG00000154620	41	48	1	4	454	0	49	4	63	0	0
ENSG00000154639	6540	992	1745	1171	4225	1170	934	1076	2401	362	699
ENSG00000154640	6368	1792	2881	2335	2622	1544	1501	1063	2064	434	1421
ENSG00000154642	3640	526	1170	544	448	991	434	178	1136	182	336
ENSG00000154645	1435	23	60	14	133	145	4	4	12	9	6
ENSG00000154646	23	0	0	0	6	1	0	0	0	0	0
ENSG00000154654	562	111	173	194	319	347	80	10	512	28	188
ENSG00000154655	512	343	391	296	269	115	538	11	509	529	750
ENSG00000154678	929	31	22	130	170	93	882	2375	480	50	219
ENSG00000154710	583	109	215	114	277	307	175	151	150	40	246
ENSG00000154719	2679	418	759	312	929	570	637	383	451	222	621
ENSG00000154721	563	314	290	650	475	926	234	77	1978	89	1095
ENSG00000154723	6533	1211	4412	1147	3059	2749	2914	1791	1452	1081	3112
ENSG00000154727	5329	1047	1129	823	1601	1103	1126	403	1422	492	648
ENSG00000154734	5892	765	478	5367	3807	1431	891	469	9541	683	4521
ENSG00000154736	346	56	46	99	202	138	268	49	400	47	161
ENSG00000154743	1476	209	124	157	377	157	285	167	194	225	312
ENSG00000154760	5194	2356	572	283	2221	669	835	1681	251	2046	1782
ENSG00000154764	207	339	6	240	112	56	2	0	553	0	111
ENSG00000154767	4325	1633	380	1170	1155	840	1298	645	1849	373	966
ENSG00000154781	1716	666	415	415	758	540	694	776	573	429	900
ENSG00000154783	1265	525	292	1708	999	1058	457	163	4384	111	1571
ENSG00000154803	6931	843	717	750	1117	754	1960	434	1798	618	1356
ENSG00000154813	3171	828	1971	822	1338	980	798	903	1266	486	817
ENSG00000154814	1004	368	586	296	406	424	408	489	300	255	381
ENSG00000154822	895	632	119	464	270	504	605	38	577	98	144
ENSG00000154832	2982	871	649	801	1644	1070	2823	1104	1290	873	3890
ENSG00000154839	500	197	102	18	827	102	129	308	12	191	320
ENSG00000154845	12709	4094	3501	2827	7787	2348	5662	1230	3860	4602	4875
ENSG00000154856	1316	328	2241	449	663	565	317	62	1009	563	911
ENSG00000154864	242	233	165	633	539	395	203	52	931	69	631
ENSG00000154874	474	0	0	19	66	17	142	45	100	1	16
ENSG00000154889	1436	304	914	498	880	462	1275	639	892	400	917
ENSG00000154898	22	2	1	1	1	5	1	1	2	0	0
ENSG00000154914	1997	291	71	177	1124	146	923	326	348	140	491
ENSG00000154917	2796	80	242	111	742	252	663	300	220	458	530
ENSG00000154920	714	167	56	10	567	37	233	222	22	139	137
ENSG00000154928	683	17	12	32	48	78	32	2	36	62	71
ENSG00000154930	7198	741	702	1566	660	1201	1110	1586	2111	901	1846
ENSG00000154945	10032	2612	974	1330	2784	1071	2418	600	3084	1254	1278
ENSG00000154957	912	169	148	213	445	257	501	229	223	195	498
ENSG00000154975	102	55	24	1	0	267	1	2	11	0	0
ENSG00000154978	3769	893	1210	1343	2392	2693	669	663	1267	1226	2017
ENSG00000154997	2	0	0	0	498	0	1	0	0	0	4
ENSG00000155008	3678	910	517	565	876	433	873	755	943	751	568
ENSG00000155011	212	87	229	208	397	378	86	53	73	22	44
ENSG00000155016	1037	184	660	335	274	478	206	61	527	141	198
ENSG00000155026	96	4	6	7	35	3	4	21	4	3	10
ENSG00000155034	3096	466	26	103	400	133	357	290	153	106	148
ENSG00000155052	5	0	0	0	3	4	0	0	1	0	0
ENSG00000155066	4372	1464	393	332	4932	471	5246	548	355	681	952
ENSG00000155070	35	2	0	0	0	10	1	3	0	0	25
ENSG00000155085	888	126	297	168	376	191	131	377	226	194	263
ENSG00000155087	2	1	0	0	0	0	1	0	0	0	0
ENSG00000155090	9568	2790	1829	3747	2764	2448	1387	572	6253	1227	2164
ENSG00000155093	572	201	377	428	627	810	258	103	713	69	512
ENSG00000155096	43516	7975	9146	2316	8127	5921	5309	3076	4023	4652	4236
ENSG00000155097	15646	2726	1955	1550	4443	1800	2050	1262	2536	2971	2204
ENSG00000155099	1154	205	626	155	321	572	185	65	317	245	163
ENSG00000155100	4042	397	495	228	705	337	306	315	322	469	285
ENSG00000155111	4862	1012	436	659	848	571	587	420	1069	588	850
ENSG00000155115	2621	878	1201	658	2372	1354	1670	522	801	936	3296
ENSG00000155158	4905	557	966	1093	903	483	695	330	1276	1295	766
ENSG00000155189	2955	670	905	348	776	706	1721	252	506	823	1022
ENSG00000155229	7246	2031	1201	1463	3302	1168	5130	1288	2064	1397	3735
ENSG00000155249	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155252	3738	1331	619	1174	1238	1037	1576	824	1497	423	1837
ENSG00000155254	6274	2540	1348	1468	6093	2070	4496	1036	2553	220	2113
ENSG00000155256	2607	525	729	656	1218	760	2017	663	790	567	2257
ENSG00000155265	1467	1526	754	74	343	235	6903	8	83	455	4230
ENSG00000155269	90	8	0	3	22	4	5	12	2	1	7
ENSG00000155275	1145	239	317	221	447	264	384	493	407	286	656
ENSG00000155287	2229	579	780	748	1278	817	1648	526	925	970	2489
ENSG00000155304	5777	1130	1813	795	2896	1420	1160	1193	1409	472	884
ENSG00000155307	1380	731	1072	1000	290	1294	155	162	516	219	386
ENSG00000155313	9251	2405	1101	1602	1894	952	1236	732	2922	302	962
ENSG00000155324	2747	959	532	378	1172	828	713	395	610	703	915
ENSG00000155329	1648	312	1322	395	888	754	524	416	497	565	464
ENSG00000155330	1443	268	328	200	633	272	476	182	228	269	319
ENSG00000155363	7360	2803	955	1152	5606	1098	3083	1750	1509	1014	2997
ENSG00000155366	11512	11244	13100	2079	12388	7857	5177	1911	3789	1401	6762
ENSG00000155367	118	156	44	21	88	63	23	30	18	6	68
ENSG00000155368	5748	1377	11754	3939	8395	3989	2392	6036	4436	4527	4978
ENSG00000155380	2126	404	322	224	952	395	123	635	262	178	347
ENSG00000155393	3318	480	1002	528	1151	487	1165	667	672	958	1377
ENSG00000155428	7	5	2	2	1	2	3	2	4	0	6
ENSG00000155438	4021	731	1540	448	2343	758	970	1071	538	1274	1697
ENSG00000155463	12152	2625	1993	2277	5426	2958	4311	3331	3030	3317	6157
ENSG00000155465	2542	973	1429	1669	1781	1375	696	402	3198	417	1485
ENSG00000155495	67	0	3	0	18	2	4	4	0	0	0
ENSG00000155506	25126	7393	824	4114	17131	2980	9542	6500	5953	7659	8554
ENSG00000155508	6811	2478	4664	2572	3846	2915	2873	1302	2993	1771	3521
ENSG00000155511	13	5	12	215	30	31	1	0	1386	1	131
ENSG00000155530	233	16	14	25	17	32	7	82	10	19	52
ENSG00000155542	656	193	489	103	366	286	158	107	158	180	221
ENSG00000155545	2415	680	965	479	1370	651	693	824	714	874	501
ENSG00000155561	10095	2822	962	1092	5293	967	1706	1735	1752	1428	1324
ENSG00000155592	731	353	88	229	560	131	342	96	324	184	250
ENSG00000155621	930	147	373	198	280	209	115	224	262	115	223
ENSG00000155622	2499	3	12	103	58	11	0	0	422	9	96
ENSG00000155629	2535	1025	1660	1781	778	2005	520	321	2067	236	695
ENSG00000155636	1115	244	297	184	677	283	376	238	224	354	441
ENSG00000155657	2004	153	113	407	146	102	560	356	599	120	694
ENSG00000155659	6778	1435	1280	6908	1581	892	1049	542	9418	123	741
ENSG00000155660	34008	10661	3512	3511	24352	8851	35697	14236	4464	24784	20646
ENSG00000155666	311	138	72	98	153	180	127	43	121	68	221
ENSG00000155714	6	4	3	1	2	2	1	1	1	1	7
ENSG00000155719	11	8	56	19	13	23	12	10	21	1	32
ENSG00000155729	1536	788	967	447	1121	694	909	521	765	489	532
ENSG00000155744	2889	656	731	792	877	508	695	798	1030	642	758
ENSG00000155749	76	16	13	31	3	25	11	19	42	7	22
ENSG00000155754	420	6	24	15	43	51	257	32	26	173	53
ENSG00000155755	2895	353	1207	314	1083	501	837	719	510	461	691
ENSG00000155760	4018	319	301	557	1135	557	179	75	836	409	274
ENSG00000155761	1668	24	38	99	151	276	378	461	74	117	233
ENSG00000155792	3500	366	1304	387	496	770	732	227	461	341	359
ENSG00000155816	52	8	114	19	170	16	6	3	5	0	3
ENSG00000155827	8155	1437	711	1337	1835	1032	1585	889	2173	1143	1084
ENSG00000155833	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155846	697	88	62	376	231	94	59	56	1086	137	591
ENSG00000155849	1631	705	390	1066	731	1728	876	1188	1865	451	1969
ENSG00000155850	5801	497	336	1011	2794	629	955	1309	2194	4063	2140
ENSG00000155858	1166	98	124	144	372	165	131	102	198	174	187
ENSG00000155868	804	236	545	242	438	391	270	217	424	462	549
ENSG00000155875	1	1	3	2	5	3	3	1	2	1	0
ENSG00000155876	6838	1343	1993	1483	2683	2344	3320	1832	2598	1824	2709
ENSG00000155886	195	26	3	2	97	38	18	2	1	2	1
ENSG00000155890	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155893	1057	173	354	178	543	308	903	238	329	651	657
ENSG00000155897	4	1	1	53	2	1	0	0	221	0	4
ENSG00000155903	2983	659	580	665	718	750	661	473	818	785	580
ENSG00000155906	3481	729	674	283	804	475	758	244	524	213	580
ENSG00000155918	30	1	2	0	78	3	0	0	0	0	0
ENSG00000155926	2862	2126	768	2719	984	2073	696	479	1541	445	1193
ENSG00000155957	4193	1543	4685	1412	3435	9258	2209	1594	2083	2147	2050
ENSG00000155959	5975	1664	2864	735	2336	1324	1014	853	1053	1056	1550
ENSG00000155961	347	82	68	33	46	130	5	11	45	24	30
ENSG00000155962	2427	3344	2931	1413	685	1408	320	100	1842	273	2178
ENSG00000155966	111	13	2	74	68	50	7	10	228	7	148
ENSG00000155970	666	31	211	129	70	124	206	10	237	216	94
ENSG00000155974	160	160	69	33	478	243	22	173	42	64	20
ENSG00000155975	3347	914	1081	714	1506	617	10336	652	1210	2460	7995
ENSG00000155980	653	7	10	1	61	18	123	52	8	11	10
ENSG00000156006	34	9	7	1	13	6	11	3	8	3	5
ENSG00000156009	1	2	0	1	371	0	1	1	2	1	1
ENSG00000156011	9281	1855	321	577	1061	597	3240	653	715	1089	1134
ENSG00000156017	3131	706	470	475	1110	358	1089	469	658	490	648
ENSG00000156026	5467	1282	1567	906	1980	1090	4082	1252	1069	2667	3179
