TCGA.NH.A50U	TCGA.A6.A565	TCGA.AA.A02K	TCGA.AZ.6606	TCGA.NH.A8F8	TCGA.AZ.4682	TCGA.AA.3973	TCGA.AZ.6600	TCGA.NH.A6GB	TCGA.AA.3844	TCGA.AA.3972	TCGA.AA.3692
ENSG00000144591	3629	4042	3479	2536	2672	2220	735	1789	2334	857	1144	1262
ENSG00000144596	58	313	7	51	37	16	20	110	33	26	15	174
ENSG00000144597	2646	2444	1244	2198	1898	2129	922	1495	1406	735	1986	959
ENSG00000144619	58	305	43	55	37	70	18	795	55	43	26	69
ENSG00000144635	2099	1735	1601	1452	1590	1987	767	1181	857	772	796	1002
ENSG00000144642	175	523	49	62	148	103	63	489	43	45	50	60
ENSG00000144644	1	5	0	1	1	3	0	2	0	0	2	0
ENSG00000144645	1507	1497	1392	1538	1527	1497	778	898	1302	503	779	660
ENSG00000144647	1447	741	628	281	682	934	460	503	521	255	351	463
ENSG00000144648	59	192	10	49	19	33	8	185	24	7	8	22
ENSG00000144649	14	134	14	2	29	21	22	123	7	4	14	13
ENSG00000144655	2310	3464	1380	1288	1119	3410	546	4143	1399	704	556	2233
ENSG00000144659	4866	2204	1962	1652	1700	2317	1044	1483	1214	1275	906	1661
ENSG00000144668	2730	2017	850	1815	1394	419	1739	773	799	195	158	890
ENSG00000144671	1	7	1	3	16	2	2	1	1	6	2	1
ENSG00000144674	9811	9502	4028	5082	3759	3557	864	4510	3702	1060	1357	1570
ENSG00000144677	6751	2998	5479	3457	2237	2681	2281	4650	2726	1650	1880	2639
ENSG00000144681	8	27	4	13	8	0	6	29	11	8	7	6
ENSG00000144711	3216	3827	1104	1872	2070	1197	1520	1682	784	478	1695	1334
ENSG00000144712	68	104	14	26	67	32	40	124	38	10	28	50
ENSG00000144713	104248	36279	38531	46569	46015	136485	36509	27694	29902	27112	93427	54748
ENSG00000144724	2992	2452	3364	4497	1433	1935	833	1907	2201	924	1120	872
ENSG00000144730	377	686	423	739	151	704	521	190	104	134	153	143
ENSG00000144736	1941	1144	1099	993	459	1448	476	822	962	567	688	832
ENSG00000144741	1370	884	1131	1068	530	2319	585	799	724	544	681	882
ENSG00000144744	3115	2707	2386	2487	1333	3473	888	1561	1664	1698	1855	2193
ENSG00000144746	8307	7876	3863	5527	2698	7691	2490	3934	1988	3848	4431	4720
ENSG00000144747	4621	4687	1740	2731	1285	2451	750	2160	2185	817	910	924
ENSG00000144749	2117	3951	1820	699	4175	1586	2464	2609	1918	1257	1502	3413
ENSG00000144771	0	0	0	0	1	0	0	1	1	0	1	1
ENSG00000144785	8	2	1	1	1	3	0	0	0	1	0	2
ENSG00000144791	4330	3188	2209	2043	1254	1960	967	1668	2262	1007	1109	1452
ENSG00000144792	28	96	8	12	38	44	13	68	7	3	8	103
ENSG00000144802	2539	4581	1669	3918	993	747	439	1204	3653	1576	490	1746
ENSG00000144810	1829	2994	624	195	2165	691	627	659	297	299	544	501
ENSG00000144815	201	945	423	298	409	182	124	467	277	73	66	99
ENSG00000144820	79	634	95	1129	296	254	2	186	985	101	81	252
ENSG00000144821	206	207	23	100	18	75	2	125	95	6	20	84
ENSG00000144824	344	983	1149	207	866	282	114	810	742	81	82	172
ENSG00000144827	1447	1624	1191	1554	1004	1669	642	850	729	1231	785	1142
ENSG00000144834	0	5	2	3	15	3	1	36	0	0	2	1
ENSG00000144837	277	384	357	100	153	319	234	94	132	91	105	130
ENSG00000144840	2336	1544	989	1344	699	1758	378	1283	814	500	659	751
ENSG00000144843	416	679	206	350	305	327	179	258	168	111	167	296
ENSG00000144847	6	25	15	2	6	2	0	29	2	0	0	18
ENSG00000144848	3799	2902	2769	2823	2134	4493	1242	1974	1711	1600	1598	1727
ENSG00000144852	4141	3915	2305	2168	2743	2214	956	1246	1583	1040	1688	544
ENSG00000144857	178	679	80	55	673	133	147	720	90	45	47	81
ENSG00000144867	6078	3841	4262	3456	4069	7170	1875	2732	3650	1952	2372	3117
ENSG00000144868	43	89	7	21	18	12	6	112	10	10	5	22
ENSG00000144891	2	19	1	0	46	21	101	75	1	4	0	14
ENSG00000144893	8	33	3	2	8	3	4	20	3	1	3	8
ENSG00000144895	8650	4663	5452	6331	6015	8672	2586	2898	2861	2986	3718	4179
ENSG00000144908	7024	3095	246	3762	53	1641	5	1340	77	765	69	182
ENSG00000144909	1275	1646	1345	1241	822	939	348	1222	632	360	404	322
ENSG00000144935	64	198	19	14	60	44	108	158	14	23	15	38
ENSG00000144959	3572	2448	1570	1984	2595	3063	2698	1177	741	1095	967	1269
ENSG00000144962	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000145002	63	18	2	2	1	2	8	6	3	1	1	0
ENSG00000145012	9329	10880	6160	5820	6287	3466	1994	9017	2337	1607	2338	2311
ENSG00000145014	1839	1803	2289	965	1285	975	678	1206	645	244	426	750
ENSG00000145016	2150	2262	1198	1130	1223	755	589	1286	833	277	557	454
ENSG00000145020	1062	913	1097	251	688	832	349	1113	150	323	394	673
ENSG00000145022	3206	2313	1031	1777	827	2048	791	1894	771	1129	809	1083
ENSG00000145029	1203	772	674	316	396	475	383	568	298	280	389	511
ENSG00000145040	16	44	12	9	19	5	1	0	32	1	21	5
ENSG00000145041	4161	3436	1757	2865	1367	1808	920	1805	1820	865	837	1122
ENSG00000145050	2266	4253	3547	3443	2287	3831	1513	2198	3119	1909	1438	2292
ENSG00000145063	0	10	5	1	0	4	4	3	0	1	5	2
ENSG00000145075	202	331	39	43	100	31	28	78	61	23	29	23
ENSG00000145087	5	7	2	4	3	1	2	9	2	4	0	7
ENSG00000145088	87	271	63	115	133	156	16	191	93	33	29	76
ENSG00000145103	1203	1060	1041	579	506	609	602	820	382	243	266	625
ENSG00000145107	65	16	19	2	13	5	3	0	10	1	13	27
ENSG00000145113	14306	24718	353	7982	161	2540	356	20845	1474	1244	808	1965
ENSG00000145147	235	606	30	148	261	39	89	651	12	9	23	45
ENSG00000145191	6409	4013	3312	3433	3466	2874	953	2008	2579	1012	1442	1609
ENSG00000145192	2	8	5	3	1	4	0	0	1	1	0	5
ENSG00000145194	1776	413	893	908	711	2110	275	303	526	386	316	948
ENSG00000145198	52	26	37	114	20	8	7	75	8	3	3	15
ENSG00000145214	5436	4103	4625	4522	2561	2707	1268	2785	1748	1313	1480	1380
ENSG00000145216	2701	2502	2329	2898	1002	2136	768	1345	1648	572	578	882
ENSG00000145217	365	320	248	209	245	142	106	110	158	70	77	72
ENSG00000145220	2520	1356	1569	2110	940	3124	605	729	1487	602	590	798
ENSG00000145241	981	1436	922	969	338	646	430	619	410	333	306	405
ENSG00000145242	6	11	0	0	5	2	0	25	1	0	0	2
ENSG00000145244	112	40	55	15	58	98	33	11	9	16	54	45
ENSG00000145246	331	1154	138	720	452	422	218	630	532	294	170	494
ENSG00000145247	4178	4772	8702	5550	2437	7453	2423	1591	2937	2787	2092	3731
ENSG00000145248	60	15	3	1	5	7	8	26	2	5	1	4
ENSG00000145283	9	21	49	4	7	8	4	5	12	5	5	7
ENSG00000145284	127	241	47	336	270	874	331	278	343	141	108	179
ENSG00000145287	1809	20091	2721	1338	182	2689	42	6120	1341	161	401	927
ENSG00000145293	2887	2514	3789	2801	1361	4332	1070	1177	2309	1739	1300	2089
ENSG00000145309	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000145321	0	0	1	0	1	0	0	2	1	0	0	0
ENSG00000145331	610	591	408	505	184	468	110	263	492	189	136	203
ENSG00000145332	1305	1389	2047	1563	871	1610	590	1169	1002	565	397	662
ENSG00000145335	48	188	24	13	36	18	30	110	15	5	2	112
ENSG00000145337	155	100	107	95	27	220	15	79	60	33	25	39
ENSG00000145348	1212	1034	1329	962	461	1157	646	678	476	362	486	867
ENSG00000145349	3081	5310	2446	2867	760	2058	1963	4095	822	937	777	1949
ENSG00000145354	1633	1653	1563	1957	728	2932	491	1204	1483	791	618	1156
ENSG00000145358	21	8	1	7	55	427	16	17	4	1	0	31
ENSG00000145362	97	585	29	75	241	74	52	1173	60	14	16	54
ENSG00000145365	578	698	432	580	265	825	205	394	434	370	235	522
ENSG00000145375	723	615	691	710	256	389	169	333	305	258	195	235
ENSG00000145384	1255	2306	305	43	1	367	1	1377	203	80	15	374
ENSG00000145386	4160	1891	3908	3981	659	3112	630	819	1904	1980	963	1517
ENSG00000145388	1148	1244	1196	977	467	755	459	959	655	433	329	548
ENSG00000145390	2018	9829	2378	2662	804	2789	1130	3968	1267	1183	873	1068
ENSG00000145391	3941	4166	1542	5036	2039	3582	1640	2301	3475	1672	1594	1141
ENSG00000145414	874	654	507	610	303	858	341	539	452	276	189	444
ENSG00000145416	641	868	223	81	282	104	102	229	176	91	52	228
ENSG00000145423	3439	1018	342	22	3161	137	1293	8515	19	15	407	194
ENSG00000145425	22681	21048	12533	20323	9919	93870	18423	14785	15041	21959	12732	47245
ENSG00000145428	7	54	9	8	14	6	13	11	5	2	2	5
ENSG00000145431	460	549	123	104	528	297	228	296	233	138	144	562
ENSG00000145439	1033	1407	616	869	634	1261	269	1127	964	568	470	689
ENSG00000145451	3	1	2	0	2	0	0	4	1	0	0	0
ENSG00000145476	1247	1732	610	1059	724	1342	845	1526	277	651	529	707
ENSG00000145491	1	5	1	1	0	7	1	3	0	1	4	7
ENSG00000145494	3411	2731	4991	4615	2956	6625	1453	3139	2838	3189	2875	2870
ENSG00000145495	8333	9219	7259	6258	5855	4611	3369	5164	4155	3305	4151	3133
ENSG00000145506	410	321	1979	1403	4117	361	528	85	1108	241	734	139
ENSG00000145526	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000145536	49	36	13	3	91	22	5	118	15	5	25	28
ENSG00000145545	1748	926	1037	1310	1406	1582	318	728	737	579	763	541
ENSG00000145555	8609	6468	4001	6473	7182	4169	2692	5885	4932	3526	3061	4212
ENSG00000145569	2154	3726	4555	2503	4927	5337	6022	2626	1041	2332	2768	1770
ENSG00000145592	51560	25868	45801	39192	34024	77956	23620	18259	23885	23017	16136	32074
ENSG00000145604	1906	1373	2245	1204	838	2308	852	708	1027	1005	785	1271
ENSG00000145623	531	3820	227	407	855	554	215	1224	327	168	266	425
ENSG00000145626	1	0	0	0	0	7	0	0	0	0	0	0
ENSG00000145632	1099	2633	2695	1258	683	514	268	687	397	549	351	544
ENSG00000145642	0	0	0	1	0	4	5	1	0	1	0	6
ENSG00000145649	61	539	34	95	48	343	42	193	319	186	17	93
ENSG00000145675	2049	3651	1683	2524	3647	955	961	1937	1445	1353	1120	2604
ENSG00000145681	4	291	11	113	32	340	14	302	65	83	74	130
ENSG00000145685	3193	4892	2449	1623	2396	1553	443	2090	1606	988	915	810
ENSG00000145687	97	590	292	195	109	331	217	603	55	195	190	190
ENSG00000145692	0	64	351	0	0	40	0	4	9	1	0	7
ENSG00000145700	3	11	6	3	2	5	9	0	7	3	4	12
ENSG00000145703	3219	6399	3806	4307	1217	1674	739	6667	1023	1813	523	478
ENSG00000145708	5	16	7	4	3	1	3	19	2	2	2	5
ENSG00000145715	871	2853	3578	3795	2345	1461	1718	1289	1442	1323	1363	929
ENSG00000145721	0	8	0	0	3	0	0	7	1	0	0	6
ENSG00000145723	157	277	256	264	176	193	72	100	122	133	110	150
ENSG00000145725	1086	2920	1426	3011	1674	2560	906	2219	1013	992	1091	1340
ENSG00000145730	2369	7000	1493	9182	5104	6050	3963	4087	3663	705	1753	3687
ENSG00000145734	2404	2692	2320	2358	1470	1057	443	1340	1344	729	554	578
ENSG00000145736	5	168	19	156	131	182	52	147	55	42	16	24
ENSG00000145740	2786	3559	3582	3699	2272	4524	1460	2206	2260	1966	1535	1964
ENSG00000145741	32209	19874	23622	34846	22694	48626	13843	12622	15677	19926	13151	21705
ENSG00000145743	410	1747	1315	2159	905	1857	636	1630	758	727	729	863
ENSG00000145757	19	27	6	13	10	42	2	8	6	14	4	4
ENSG00000145777	37	48	49	57	12	56	13	40	2	6	14	15
ENSG00000145779	692	2377	791	1211	409	433	241	710	242	266	148	438
ENSG00000145780	1083	5223	1849	2677	1342	1503	875	2388	1427	1282	894	1059
ENSG00000145781	545	1058	783	1518	679	2327	541	573	487	1774	1045	1782
ENSG00000145782	1197	2754	2326	2691	2371	2251	674	1275	1386	1150	1206	1344
ENSG00000145794	7	193	5	36	10	5	5	42	7	6	5	1
ENSG00000145808	3	2	0	1	7	11	1	25	4	1	0	80
ENSG00000145817	2195	3775	2536	2990	1509	2331	810	2272	1146	1325	928	1523
ENSG00000145819	2713	7378	3235	4497	3149	2253	1515	2030	1653	1767	1474	1425
ENSG00000145824	17924	2957	2262	2999	23487	66380	5315	8544	1635	4152	1611	11302
ENSG00000145826	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000145832	111	58	3	62	19	83	3	27	18	44	16	14
ENSG00000145833	3933	5205	4484	6179	3889	3526	1374	2542	3382	1549	1439	1535
ENSG00000145835	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000145839	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000145850	64	91	30	3	5	23	0	18	2	1	0	32
ENSG00000145860	4991	7275	3800	8355	2166	4007	1105	4346	2355	3125	1916	2556
ENSG00000145861	82	123	23	71	44	67	19	180	14	24	16	45
ENSG00000145863	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000145864	9	19	8	76	2	32	0	176	33	243	9	77
ENSG00000145868	1763	2668	1720	2767	1546	1524	748	1153	1092	871	827	1118
ENSG00000145879	0	1	5	1	1	0	0	0	0	0	0	3
ENSG00000145882	445	989	467	699	356	358	381	412	570	316	252	508
ENSG00000145888	1	2	4	0	1	0	0	0	0	0	0	0
ENSG00000145901	11278	12743	8337	11496	6859	8152	2831	7893	7756	3660	2785	3936
ENSG00000145907	13313	10541	13248	15124	9392	11204	4438	7123	7623	6894	4813	6576
ENSG00000145908	34	315	362	20	26	133	23	125	13	16	18	327
ENSG00000145911	501	743	926	508	103	103	75	279	48	84	106	63
ENSG00000145912	3528	2153	2841	5087	2772	6937	1412	1554	2774	1645	2076	2349
ENSG00000145916	2409	2276	2980	2713	1712	1946	1000	1551	1099	1256	884	1217
ENSG00000145919	2684	1706	2522	2105	1092	3878	749	985	1326	1810	1385	2641
ENSG00000145920	60	49	30	78	1808	660	9	225	49	77	29	32
ENSG00000145934	5	29	3	5	9	12	16	26	1	8	4	7
ENSG00000145936	308	233	27	48	593	189	126	273	43	38	26	76
ENSG00000145945	52	99	645	183	48	287	321	189	47	243	152	73
ENSG00000145949	21	81	7	50	40	62	47	37	54	11	20	14
ENSG00000145975	6	9	5	3	5	2	1	3	3	0	0	0
ENSG00000145979	1017	776	690	1020	848	2015	312	486	662	628	740	490
ENSG00000145982	1107	710	524	871	453	1447	292	705	386	364	348	617
ENSG00000145990	1341	1003	1085	307	673	319	215	516	279	170	150	168
ENSG00000145996	1312	969	609	753	776	579	423	685	518	349	531	570
ENSG00000146001	12	25	5	2	10	5	7	21	5	3	10	2
ENSG00000146005	13	24	15	34	37	3	3	10	7	2	7	12
ENSG00000146006	12	63	16	12	13	18	6	39	10	5	5	14
ENSG00000146007	3669	4797	5066	5063	2862	4611	1375	2743	2683	1674	1579	2359
ENSG00000146013	8	32	13	6	21	12	30	206	2	7	6	69
ENSG00000146021	147	518	95	370	1071	182	160	182	55	158	212	327
ENSG00000146038	1943	279	741	558	15	11	48	17	677	172	154	78
ENSG00000146039	1117	3135	85	305	307	182	5	771	517	157	68	120
ENSG00000146047	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146049	46	9	17	12	0	1	1	0	14	2	2	2
ENSG00000146054	224	358	356	511	35	48	7	48	29	9	39	29
ENSG00000146063	2706	3026	3254	2202	1800	1001	678	1451	1645	822	858	1129
ENSG00000146066	5291	3438	3788	3779	2785	5701	1923	4112	2001	3482	1941	3223
ENSG00000146067	2879	3142	3447	1850	2951	1072	1013	800	1577	557	838	697
ENSG00000146070	253	577	482	144	197	84	51	127	181	147	116	411
ENSG00000146072	8006	12122	3747	5698	4308	8537	1593	9380	3179	2215	2333	1832
ENSG00000146083	7806	5243	4700	6895	6114	4081	3388	2971	3096	2677	2025	3611
ENSG00000146085	4096	2651	1775	1889	1008	2127	732	2639	576	1304	752	1071
ENSG00000146090	2	3	0	0	5	4	3	48	0	1	1	1
ENSG00000146094	288	956	208	135	240	76	86	272	251	101	78	217
ENSG00000146109	3778	1852	2343	1877	1584	4578	1523	1478	1521	1000	1072	1821
ENSG00000146112	2355	4038	3014	1229	2703	1049	607	1480	1446	631	668	748
ENSG00000146122	597	936	115	233	411	247	119	1112	269	106	148	198
ENSG00000146143	1681	786	1034	925	641	1622	296	419	579	462	455	657
ENSG00000146147	4	1	1	6	2	6	0	9	12	0	0	1
ENSG00000146151	4	4	2	4	3	11	2	17	3	12	2	6
ENSG00000146166	0	4	2	0	0	14	0	13	1	0	0	103
ENSG00000146192	294	1642	132	247	204	258	53	259	197	73	68	229
ENSG00000146197	374	47	41	71	167	58	101	30	17	42	14	74
ENSG00000146205	124	2148	96	96	61	142	29	507	53	165	34	499
ENSG00000146215	31	77	361	10	11	47	3	8	2	12	4	6
ENSG00000146216	334	43	417	482	40	177	37	62	106	21	6	35
ENSG00000146221	2	6	2	5	6	4	1	22	1	0	0	3
ENSG00000146223	14412	5682	6828	6530	5167	10159	2652	4062	4683	2237	2957	3245
ENSG00000146232	1188	1281	574	845	664	2165	344	727	647	433	388	756
ENSG00000146233	760	147	181	350	632	1506	427	147	162	311	441	326
ENSG00000146242	645	1974	86	2218	1046	515	299	1130	864	199	486	462
ENSG00000146243	586	167	558	161	224	878	316	142	113	271	254	378
ENSG00000146247	3291	3049	2433	2050	1749	1675	758	1511	1147	643	675	884
ENSG00000146250	71	33	1	4	8	4	11	10	2	5	2	6
ENSG00000146263	1775	1036	1499	785	531	1040	292	324	706	447	293	389
ENSG00000146267	23	26	11	1	63	19	139	37	7	29	1	45
ENSG00000146276	0	6	1	1	1	138	0	4	0	0	0	8
ENSG00000146278	4594	2906	2394	1788	1761	2672	1748	2241	979	1205	878	2174
ENSG00000146281	4845	1694	1475	1353	1862	2990	1414	1283	1131	1096	602	1265
ENSG00000146282	3378	2161	1786	1623	1303	3589	727	1419	1000	962	1004	1238
ENSG00000146285	18	690	232	27	361	97	9	91	42	19	11	71
ENSG00000146350	123	293	215	99	182	160	70	126	83	66	58	144
ENSG00000146352	0	8	1	0	2	1	4	15	0	0	0	1
ENSG00000146360	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146373	1761	601	55	764	840	69	661	350	594	28	209	136
ENSG00000146374	36	484	47	9	102	94	18	507	7	9	17	33
ENSG00000146376	6287	3153	2849	1998	1841	4168	676	2115	1670	1332	1020	1314
ENSG00000146378	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000146383	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146385	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146386	7134	3203	6554	4194	2451	9245	899	2387	2509	1507	1045	1765
ENSG00000146399	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000146409	1172	1138	624	1266	611	1210	276	685	881	422	399	563
ENSG00000146410	932	335	600	667	346	812	91	82	311	215	235	229
ENSG00000146411	246	146	6	344	793	411	253	20	191	83	312	42
ENSG00000146414	713	709	341	525	428	387	196	388	409	162	210	198
ENSG00000146416	2998	1121	2467	1025	1062	4118	963	1080	1490	1074	911	1183
ENSG00000146425	6543	5222	3903	4481	1731	10212	1235	2282	2368	2425	1858	2581
ENSG00000146426	966	315	385	272	264	320	99	181	154	131	79	222
ENSG00000146433	5961	8006	5613	4736	2697	3456	1781	3855	4236	1483	1484	1401
ENSG00000146453	10	11	13	3	5	2	0	13	3	0	3	1
ENSG00000146457	5974	5340	4054	3386	2597	6047	1472	3848	2596	1616	1565	2239
ENSG00000146463	2728	2157	2309	2666	1313	3470	597	1263	1687	887	860	1723
ENSG00000146469	27	414	3	11	220	232	103	1514	2	3	38	98
ENSG00000146476	1773	1571	1368	1696	868	2394	407	1044	775	772	782	815
ENSG00000146477	679	733	1982	706	2602	2843	582	290	1037	698	1143	407
ENSG00000146521	132	97	74	55	247	106	77	49	65	101	45	171
ENSG00000146530	5	15	12	0	3	6	0	27	1	0	0	85
ENSG00000146535	2552	3817	3537	1725	2021	2335	960	2085	2149	1032	1002	1216
ENSG00000146540	4173	2456	6505	3240	1848	4517	1112	1800	2555	2706	1747	2270
ENSG00000146555	66	1251	88	73	121	73	51	716	115	37	69	74
ENSG00000146556	426	365	440	217	324	112	50	46	200	31	38	95
ENSG00000146574	520	728	437	354	332	634	190	234	210	216	207	325
ENSG00000146576	1798	1703	2315	1173	1130	2844	817	1450	1041	775	672	1162
ENSG00000146587	1533	1564	1120	750	884	748	367	575	874	377	390	428
ENSG00000146592	107	637	181	441	295	282	90	494	230	139	195	187
ENSG00000146618	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146648	4209	5989	4093	3232	1893	2371	994	4735	1041	948	714	1208
ENSG00000146666	2	19	32	10	37	44	23	9	9	4	18	7
ENSG00000146670	3473	1661	3474	2609	1602	2228	418	696	2972	1307	818	1154
ENSG00000146674	5299	20069	2186	2513	3768	4785	5764	2678	3636	906	1894	3500
ENSG00000146676	4796	4107	4285	2471	3155	4445	1443	3329	1501	968	1287	1859
ENSG00000146677	262	122	64	138	54	290	493	60	64	313	368	486
ENSG00000146678	39	30	4	2	89	1	12	4	381	2	7	4
ENSG00000146700	73	38	96	32	31	68	12	14	34	34	21	30
ENSG00000146701	21120	14835	31232	19160	11565	33245	6483	14721	13197	14048	8881	13740
ENSG00000146707	260	173	255	412	137	617	44	119	218	46	83	46
ENSG00000146722	2	2	3	1	0	0	0	0	2	0	0	0
ENSG00000146729	3111	3098	2357	2694	1581	7168	1528	2949	1087	3828	1246	5641
ENSG00000146731	19127	11160	18236	11684	13050	21000	3828	6559	12005	6818	6314	8075
ENSG00000146733	1546	1143	1610	1012	909	2514	320	354	511	504	390	1127
ENSG00000146755	9	2	7	0	2	1	1	2	1	0	1	4
ENSG00000146757	915	591	511	542	524	612	257	253	403	259	263	285
ENSG00000146776	878	903	649	467	383	378	182	370	273	215	109	372
ENSG00000146802	2370	3394	3494	2217	2230	4558	1738	2775	1326	1295	1165	1653
ENSG00000146809	0	2	0	0	0	0	1	2	0	1	0	0
ENSG00000146826	2515	2825	2305	1240	1438	1370	453	898	1042	553	472	627
ENSG00000146828	5002	3890	6886	3160	4505	4921	1785	2463	3457	1235	1585	1956
ENSG00000146830	9576	5489	8561	2729	4341	2288	1573	1281	3741	1057	1171	1564
ENSG00000146833	3085	2540	2668	2093	1457	2711	739	1077	1189	1594	810	1363
ENSG00000146834	5032	2520	6512	3160	2975	3229	1779	2583	2966	1485	893	1932
ENSG00000146839	1	8	2	0	1	1	0	1	0	0	0	1
ENSG00000146842	1811	1374	2413	1242	1215	1385	668	811	1115	798	766	813
ENSG00000146856	127	110	113	79	73	66	31	26	56	26	28	37
ENSG00000146857	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000146858	598	487	523	319	325	594	353	61	274	315	240	271
ENSG00000146859	1073	1071	553	554	524	423	300	811	542	173	188	326
ENSG00000146872	1532	1827	1706	1640	1374	1179	700	1117	1494	419	491	688
ENSG00000146904	5357	1689	3665	2088	1721	3043	628	1047	1951	554	444	770
ENSG00000146909	2321	2260	2413	1491	1477	2092	643	1168	1575	781	832	1069
ENSG00000146910	0	0	1	8	0	0	0	0	0	0	0	1
ENSG00000146918	2745	2572	4090	2094	1005	2615	361	731	2193	1802	877	969
ENSG00000146926	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000146938	19	134	28	20	23	22	12	132	24	13	16	17
ENSG00000146950	1554	519	2126	219	192	510	443	647	537	370	193	312
ENSG00000146955	139	156	74	65	55	62	55	58	37	113	60	68
ENSG00000146963	3365	2628	2597	1823	1574	2017	752	1207	1584	951	641	1069
ENSG00000146966	405	754	184	428	118	1343	82	906	203	216	157	305
ENSG00000147003	83	19	39	3	8	113	14	29	37	2	4	32
ENSG00000147010	6688	8161	3229	3570	2081	4411	1076	5122	2250	1836	1038	1281
ENSG00000147027	455	1091	349	333	456	550	180	1350	130	98	406	240
ENSG00000147036	118	618	166	106	47	53	50	375	76	21	33	19
ENSG00000147041	4484	1502	5108	160	219	543	135	170	41	283	52	176
ENSG00000147044	8311	3546	6469	5154	3198	9983	2977	3646	3138	2603	1437	2581
ENSG00000147050	1658	2894	1285	899	659	1211	909	1083	786	766	375	1024
ENSG00000147059	13	3	9	1	8	3	3	1	2	0	2	5
ENSG00000147065	4811	20202	8193	4147	5900	5951	3074	9297	3227	2241	2174	3471
ENSG00000147081	0	0	24	0	0	0	6	1	842	1	1	1
ENSG00000147082	39	55	9	8	7	14	5	16	54	9	3	5
ENSG00000147099	1459	705	884	985	621	1542	548	549	754	560	320	493
ENSG00000147100	157	727	62	190	180	118	105	390	86	37	78	82
ENSG00000147113	481	1881	186	226	370	213	86	426	154	130	116	164
ENSG00000147117	0	6	17	1	1	4	0	3	0	1	1	0
ENSG00000147118	502	626	688	296	395	366	385	115	228	222	200	227
ENSG00000147119	294	296	103	36	41	243	86	170	31	36	35	53
ENSG00000147121	1046	433	587	194	305	688	234	225	190	238	139	248
ENSG00000147123	9245	3135	9870	3523	3023	10889	3333	3249	2345	4801	1866	4343
ENSG00000147124	948	921	782	615	529	789	434	521	315	387	257	326
ENSG00000147127	24	46	28	27	10	29	15	14	19	10	7	4
ENSG00000147130	3896	1940	2759	1910	1152	1582	1741	905	1310	944	607	1250
ENSG00000147133	4390	3427	3431	3367	1878	1914	1661	1452	2574	1040	724	1033
ENSG00000147138	2	164	1	5	4	4	6	20	9	5	1	13
ENSG00000147140	40275	17313	20131	27021	15144	30086	11230	9874	19899	12576	7398	10551
ENSG00000147144	3276	1578	3488	1432	961	1828	1010	1153	1056	482	490	598
ENSG00000147145	7	13	4	3	2	2	1	6	3	1	1	3
ENSG00000147155	6874	4184	8633	4563	4164	13543	1891	2956	3329	4496	1410	2973
ENSG00000147160	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000147162	25462	15950	14333	11633	13925	11010	8257	3489	14525	5221	5621	6502
ENSG00000147164	5138	3216	3037	4220	2023	6187	2574	2749	3411	2046	1273	1912
ENSG00000147166	94	69	99	18	47	37	18	24	24	3	8	30
ENSG00000147168	7412	8239	14657	3757	959	10267	8261	2423	832	2136	1091	1230
ENSG00000147174	81	97	200	44	103	59	36	26	106	26	41	28
ENSG00000147180	687	657	360	502	381	442	348	438	909	234	255	267
ENSG00000147183	0	0	0	0	0	1	0	0	0	1	0	0
ENSG00000147202	4521	2374	3258	3073	1631	2878	1524	2087	1547	1149	835	1107
ENSG00000147206	44	12	2	27	5	7	0	6	138	3	4	2
ENSG00000147223	6	5	6	8	10	77	0	1	2	3	14	4
ENSG00000147224	1871	1618	1526	1591	1168	3430	921	758	1988	1072	605	1177
ENSG00000147231	38	140	118	129	43	176	56	71	65	87	50	63
ENSG00000147234	477	36	0	36	12	47	2	30	57	15	0	25
ENSG00000147246	0	0	110	0	0	0	0	0	0	0	0	160
ENSG00000147251	2016	1611	545	841	995	1326	887	400	366	738	402	1209
ENSG00000147255	34	24	64	3	5	344	56	41	11	1	5	83
ENSG00000147256	0	2	0	0	1	1	1	3	0	0	0	1
ENSG00000147257	623	165	6039	91	21	286	48	781	51	870	32	116
ENSG00000147262	0	1	0	0	0	0	0	1	0	0	0	1
ENSG00000147274	14474	9444	8680	10705	6818	14389	5537	5835	6921	5549	4464	8036
ENSG00000147316	1577	1441	299	532	440	1285	376	716	368	441	551	441
ENSG00000147324	1886	3317	1057	2391	2627	4236	1560	2558	1167	2269	2539	1095
ENSG00000147364	2102	1737	541	712	710	2678	1231	1468	448	722	764	550
