TCGA.FS.A1ZE	TCGA.W3.AA1O	TCGA.EE.A185	TCGA.GN.A8LK	TCGA.EE.A2MD	TCGA.EE.A2MQ	TCGA.HR.A2OH	TCGA.EB.A5FP	TCGA.EE.A3JI	TCGA.FS.A4F0	TCGA.EE.A29Q	TCGA.EE.A29V	TCGA.EE.A2ML	TCGA.ER.A19H
ENSG00000111640	127570	247711	636311	621342	348049	216423	289735	327789	120324	121559	247475	287869	95686	533425
ENSG00000111641	3250	3342	5005	5275	4583	4408	2684	3913	5193	4313	4968	4852	2309	7563
ENSG00000111642	25212	13549	23569	13608	53227	39823	22274	24250	32599	42807	25906	25780	33916	67248
ENSG00000111644	53	51	1	5	116	57	271	20	123	43	382	12	87	221
ENSG00000111647	1251	1147	283	394	1283	1490	1078	815	1300	1652	1915	418	2694	2293
ENSG00000111652	6539	6516	6511	7925	8375	6054	7262	6865	6005	7349	7899	8774	7772	9923
ENSG00000111653	2823	887	492	470	2532	878	1195	1045	3658	3516	2664	643	1202	1634
ENSG00000111664	98	52	0	13	15	9	35	48	213	174	12	12	46	49
ENSG00000111665	530	1106	561	1625	1008	1193	891	1117	1058	705	524	1260	322	1085
ENSG00000111666	3242	3408	2386	4057	6945	4785	2338	4729	2927	4058	8132	6132	10319	8378
ENSG00000111667	7302	5604	4954	8119	11390	7729	7462	4904	8385	5780	7633	9262	7571	12455
ENSG00000111669	26895	27484	41298	51350	33198	28159	35148	35104	27566	26180	30965	65186	19676	39498
ENSG00000111670	18741	18529	7027	4942	23459	12000	9147	8932	15016	13362	28485	3085	42011	23164
ENSG00000111671	435	556	143	966	774	302	705	565	530	831	320	497	750	505
ENSG00000111674	8316	26717	12445	22200	8985	4584	13996	26752	6607	6945	9451	12590	18958	304
ENSG00000111676	9726	8252	11327	10330	9589	14330	6807	11868	23688	27248	10195	11935	20292	24639
ENSG00000111678	1782	2175	2416	4369	2112	4051	2713	2259	6259	3254	6569	3750	2905	3467
ENSG00000111679	246	391	95	100	1359	615	9429	205	1065	176	691	351	2187	2826
ENSG00000111684	859	390	348	328	1169	651	1181	446	790	1002	827	936	830	1419
ENSG00000111696	1851	5366	5392	16946	7065	3337	1731	3647	2701	1370	14734	5582	10609	8615
ENSG00000111700	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000111701	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000111704	1	1	0	1	1	0	5	0	4	3	4	1	0	25
ENSG00000111707	4168	2162	1542	3329	3746	2811	2418	2430	4363	4563	4610	2563	3135	3750
ENSG00000111711	4183	3575	1043	1250	3658	5392	3716	4688	3973	2999	3733	2342	5442	3158
ENSG00000111713	2	1	1	4	11	1	3	1	8	3	5	0	2	10
ENSG00000111716	27005	40140	43545	33146	86143	48582	25899	38437	47802	10431	36235	119192	21324	83844
ENSG00000111725	2109	1151	1240	1445	3182	1577	1370	1297	1907	2743	1793	3816	1803	1918
ENSG00000111726	2219	2280	1617	1663	3648	3039	1545	3492	4830	4114	2643	5058	2746	2785
ENSG00000111727	264	1210	229	455	646	988	721	477	635	968	858	227	942	538
ENSG00000111728	2925	4585	1101	44	1414	2158	1836	2178	177	720	78	696	2834	2114
ENSG00000111729	45	49	5	13	76	63	239	17	127	52	100	29	71	167
ENSG00000111731	2268	2034	783	893	2997	1997	2017	1902	4591	3793	3010	1416	2870	2855
ENSG00000111732	2	0	1	1	27	3	2	1	94	1	2	0	0	10
ENSG00000111737	3732	3229	2737	4923	3062	3942	3708	2841	3478	4171	2561	8714	3321	4803
ENSG00000111752	1100	601	992	901	1409	438	375	1315	1585	1177	1118	15	1103	1876
ENSG00000111775	4262	6327	5398	25545	7005	3608	3852	4157	4726	7093	5330	15988	3441	4270
ENSG00000111780	0	0	1	0	1	0	1	1	1	1	1	1	2	0
ENSG00000111783	0	1	3	4	15	3	1	5	9	101	0	9	1	37
ENSG00000111785	1792	1158	905	1138	1609	1379	856	818	2453	2502	1383	987	1118	1693
ENSG00000111786	4398	3927	3794	6307	6637	5905	4275	5517	4440	4781	3954	8803	3113	8248
ENSG00000111788	305	278	120	330	287	300	237	553	674	703	292	84	145	330
ENSG00000111790	2488	1833	668	860	2319	2340	2034	2465	4821	4321	1752	1366	2631	2468
ENSG00000111796	25	22	6	7	101	75	442	37	113	31	72	8	123	104
ENSG00000111799	8861	3692	1332	541	3862	10104	606	2542	942	875	2919	5961	1703	15183
ENSG00000111801	454	1002	1121	483	1148	1826	6620	1095	2540	3932	2993	1141	4491	3958
ENSG00000111802	3069	2060	1153	1079	3302	2446	1899	3063	3380	3316	2484	1319	2365	1672
ENSG00000111816	205	101	73	200	640	696	135	267	450	856	1274	355	601	243
ENSG00000111817	415	425	49	38	641	637	2224	234	532	211	646	172	865	3344
ENSG00000111832	2496	1262	653	2194	3575	3486	2103	3389	5146	3559	3166	943	2399	2296
ENSG00000111834	29	12	1	7	24	19	14	3	108	65	109	9	5	12
ENSG00000111837	31	9	11	20	28	26	16	22	255	85	52	6	23	27
ENSG00000111843	6487	4902	2866	5093	9092	5931	3590	12738	30614	7058	8181	9314	5403	6582
ENSG00000111845	2521	1668	755	913	2738	2951	1594	3232	11496	2153	2799	1497	1176	2001
ENSG00000111846	10729	965	3937	2907	8712	5247	2114	4632	45457	7673	2031	3481	2653	2908
ENSG00000111850	375	318	94	238	363	175	188	462	562	1206	501	145	317	414
ENSG00000111859	9401	3754	3154	2357	13986	7365	5284	8943	69913	740	2895	4927	4779	3721
ENSG00000111860	1583	683	121	236	1580	1280	860	645	1633	2471	872	154	1338	1484
ENSG00000111863	50	276	90	9	70	88	52	75	245	64	73	81	148	23
ENSG00000111875	992	415	157	419	961	1309	842	841	2078	1596	2580	403	1325	1598
ENSG00000111877	838	477	257	249	1047	872	810	394	1249	1371	1026	269	973	877
ENSG00000111879	355	15	20	265	875	421	88	108	87	754	1159	14	591	71
ENSG00000111880	1727	1962	478	762	2683	1521	1606	2137	2220	2252	2401	619	2523	2420
ENSG00000111885	979	487	46	199	1182	762	2771	159	483	744	450	186	966	1315
ENSG00000111886	26	16	2	9	11	9	13	9	55	15	11	0	14	29
ENSG00000111897	21188	6331	4924	6938	27222	17450	9245	8901	27766	26635	20842	6261	33835	10777
ENSG00000111906	4411	2139	790	3219	5315	2992	2472	2998	3656	3819	4878	4412	2196	3430
ENSG00000111907	350	74	49	679	3478	1958	298	334	30	76	991	134	43	1488
ENSG00000111911	3648	825	410	1824	4934	1579	1375	1090	5059	2857	2854	647	3044	1634
ENSG00000111912	3682	794	222	423	5458	2476	1619	1018	5032	2933	2073	675	3937	3280
ENSG00000111913	6681	626	374	1874	1119	3437	3752	4036	4355	529	1026	1886	855	1279
ENSG00000111961	16741	2364	2212	2252	8082	8848	4855	3430	18306	5448	6430	3557	7538	5214
ENSG00000111962	1236	487	355	261	1975	1988	875	311	986	2470	1369	749	1363	1356
ENSG00000111981	4	3	1	12	1	18	3	3	0	1	81	2	1	20
ENSG00000112029	897	386	195	366	561	1281	781	1061	1210	989	714	385	353	901
ENSG00000112031	884	350	327	464	840	742	508	463	881	1035	676	412	792	556
ENSG00000112033	3989	2009	5121	18844	6160	6986	3378	4833	3764	4989	2813	6214	3772	4315
ENSG00000112038	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000112039	543	777	616	1060	939	1452	366	754	827	605	622	527	716	1142
ENSG00000112041	0	0	0	22	11	0	0	1	5	6	4	6	0	7
ENSG00000112053	8	8	4	9	4	9	5	7	4	3	26	8	1	9
ENSG00000112062	5782	2524	4503	3009	8459	6092	3916	5523	7229	5724	4725	2305	4030	5384
ENSG00000112077	0	0	0	0	6	0	0	0	0	0	0	0	0	2
ENSG00000112078	44508	6740	10072	8686	16514	19327	13649	13254	15202	8736	14482	3360	22309	9902
ENSG00000112079	3264	1663	2309	2968	4772	2858	3488	3761	3714	3321	3257	1090	3563	4293
ENSG00000112081	13654	12835	5309	6287	15262	12920	11633	17230	22479	15261	22172	11277	11126	19450
ENSG00000112096	12254	4189	2996	6877	11445	9845	39260	3906	15095	11876	19514	6332	24755	14677
ENSG00000112110	2204	1379	800	4325	4059	2553	1957	1797	2575	3429	3230	2798	2459	3300
ENSG00000112115	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000112116	1	1	0	0	0	0	1	0	1	0	0	4	1	2
ENSG00000112118	9448	10211	6854	9460	12452	9880	10825	14169	14598	10722	9780	6735	5579	12944
ENSG00000112130	2158	1080	1568	1840	3070	1792	1298	2605	3223	2452	1595	913	1264	1300
ENSG00000112137	13610	4429	3405	5530	2571	4025	2985	4294	6758	5527	1724	15237	2804	2177
ENSG00000112139	392	155	101	322	706	1843	496	118	564	399	185	262	873	115
ENSG00000112144	3522	1502	1047	1902	3407	1226	1409	3860	6009	2835	1869	725	3633	3524
ENSG00000112146	4111	2748	2816	1882	3689	2710	2598	4254	7242	4154	2275	1410	2071	3697
ENSG00000112149	2731	2768	5163	1643	2422	924	1669	3766	5505	2486	3001	4971	2096	1281
ENSG00000112159	6464	3520	2194	2449	9208	6633	3971	6452	11329	6937	10287	3580	6489	10650
ENSG00000112164	4	0	1	0	4	7	2	0	1	1	55	0	6	7
ENSG00000112167	1935	609	697	1524	1007	1133	857	1237	912	1729	1453	561	653	846
ENSG00000112175	8	2	0	0	57	3	0	0	0	4	0	1	1	3
ENSG00000112182	1978	269	99	99	1255	582	236	508	1765	1429	514	76	590	277
ENSG00000112183	3	1	3	72	29	6	0	2	0	4	3	11	1	60
ENSG00000112186	92	932	1822	2079	7226	15	65	2392	6007	1522	1268	418	15	4041
ENSG00000112195	1	3	3	2	44	3	28	0	4	1	8	12	36	29
ENSG00000112200	2681	1302	1239	837	2984	2081	1805	3208	4841	3349	2054	483	2335	3030
ENSG00000112208	105	114	213	123	1900	808	260	623	818	315	786	108	469	1529
ENSG00000112210	348	486	365	126	749	775	970	1161	1090	671	660	142	755	1069
ENSG00000112212	7	23	0	0	4	2	2	1	61	5	7	0	16	6
ENSG00000112214	45	21	10	14	21	79	11	14	35	28	41	7	25	31
ENSG00000112218	20	34	1	14	69	165	19	3	4	199	295	10	530	14
ENSG00000112232	0	0	12	0	1	2	4	0	0	0	2	0	5	13
ENSG00000112234	1187	748	743	785	2827	1640	1146	3328	4267	2834	4844	1376	2901	2746
ENSG00000112237	1903	1436	486	971	3637	3411	1813	4580	4103	4297	2935	795	3109	3040
ENSG00000112238	245	8	67	124	15	272	4	487	1	367	3	2	112	2
ENSG00000112242	1903	3062	3245	2589	5314	4961	2361	6407	2958	3106	2013	3183	1625	5876
ENSG00000112245	9419	15631	12977	13184	18582	17692	15534	32288	12079	10421	11712	9323	8149	9629
ENSG00000112246	24	0	0	3	4	16	0	5	0	1	5	1	0	0
ENSG00000112249	1616	3336	1418	1343	6497	3645	3942	3311	3922	3965	4730	1351	4465	9942
ENSG00000112273	1	0	1	0	0	1	0	0	0	0	0	0	0	4
ENSG00000112276	624	22	583	1331	1995	2062	585	387	12	1519	953	566	1922	2630
ENSG00000112280	607	13	430	124	197	1	517	115	52	4	100	0	90	11
ENSG00000112282	2506	986	992	984	3530	2974	2080	1791	4562	4156	3003	1015	2252	2410
ENSG00000112290	477	420	552	352	1216	1307	287	757	2127	3336	963	556	677	674
ENSG00000112293	23	7	34	26	132	18	40	62	9	12	249	13	32	37
ENSG00000112294	324	132	1023	1614	1916	122	1458	2202	28	12	2996	423	620	444
ENSG00000112297	223	161	85	31	465	320	2404	590	255	84	232	692	506	2227
ENSG00000112299	12	22	5	2	111	48	74	0	25	15	60	13	129	41
ENSG00000112303	26	22	6	3	123	35	559	6	165	90	36	50	357	104
ENSG00000112304	1793	1956	927	1348	2302	1832	1565	2615	2004	1546	2181	872	1561	1205
ENSG00000112305	1148	469	431	485	758	833	868	773	948	972	851	348	1166	904
ENSG00000112306	73275	22114	16014	27715	61580	98515	31144	21024	177351	69298	92470	31852	33627	51888
ENSG00000112308	15844	10086	10413	6732	21521	14743	13048	27773	22832	16507	11868	6895	16257	12935
ENSG00000112309	14	80	3	8	19	21	31	33	54	56	14	0	14	19
ENSG00000112312	941	1773	809	942	2993	1960	1094	3980	1841	1288	915	1082	552	1436
ENSG00000112319	914	2164	11	330	2381	20	118	2437	4	2308	1437	4	15	948
ENSG00000112320	39	676	470	13	773	1051	143	462	2234	1969	72	56	221	487
ENSG00000112333	28	3	112	16	2	5	37	42	242	2116	4	2	19	4
ENSG00000112335	5472	3590	3400	11730	14691	9594	9935	8605	14429	10682	11191	5491	8457	10529
ENSG00000112337	1	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000112339	5166	1992	1018	1712	6411	4050	3110	3528	5941	3569	3677	2631	4594	2943
ENSG00000112343	3340	1657	1538	1062	3634	3712	3063	4028	5828	5048	3037	1904	2541	3698
ENSG00000112357	405	301	168	327	658	518	296	346	648	587	751	262	433	416
ENSG00000112365	1070	1165	441	1108	2386	2197	1386	2041	1694	2095	2141	940	3247	817
ENSG00000112367	882	1441	608	1591	4102	1732	1760	2104	2073	3037	4304	941	5016	778
ENSG00000112378	8597	4296	3571	3503	10716	8345	126	15478	8330	4724	11730	5285	11102	87
ENSG00000112379	933	1437	756	882	2633	2149	26	1334	2832	4631	3793	17	4842	82
ENSG00000112394	276	67	139	172	1971	1224	70	429	1789	5235	976	154	612	834
ENSG00000112406	2199	736	399	730	2648	2158	2100	1147	3147	2846	2339	778	3379	2073
ENSG00000112414	4692	48	4622	8539	25606	96	5877	4812	121	37	2086	961	176	15564
ENSG00000112419	4373	214	313	166	970	1559	2521	247	569	1099	2286	162	1458	962
ENSG00000112425	1320	423	341	584	1325	829	487	933	1123	1642	829	892	756	729
ENSG00000112462	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000112473	13346	9589	15367	16815	16069	20702	12285	18453	10320	14254	12108	11859	10568	13530
ENSG00000112486	1	0	0	0	9	5	4	0	2	0	11	2	13	4
ENSG00000112494	3	0	3	0	0	0	0	34	0	0	0	8	0	0
ENSG00000112499	0	1	0	0	2	16	0	1	0	0	0	0	2	10
ENSG00000112511	4487	2441	3358	6198	5026	3019	3973	3598	7386	5678	3308	2195	9409	4216
ENSG00000112514	13636	9825	6222	21028	17910	15573	8337	10001	11193	9875	11765	10780	7302	9191
ENSG00000112530	15	2	3	5	6	0	6	1	8	9	228	5	1	12
ENSG00000112531	18055	3960	1661	2468	9473	9727	8710	5071	19912	14421	9743	3475	14369	13192
ENSG00000112539	1	0	0	0	0	1	2	0	0	0	3	1	3	0
ENSG00000112541	1402	266	79	138	206	507	124	225	1236	3010	830	155	1782	116
ENSG00000112559	50	163	34	44	121	185	2035	173	3	3	227	343	22	6539
ENSG00000112561	571	569	537	1795	2940	546	2180	108	891	1081	549	1213	480	475
ENSG00000112562	402	532	156	102	709	557	375	191	462	108	675	456	500	494
ENSG00000112576	5123	2359	3183	5189	3722	7576	6693	3376	8103	4762	3203	4679	6582	3540
ENSG00000112578	3445	1870	3716	4121	3943	3232	1846	2260	3032	2462	3177	3513	1575	3906
ENSG00000112584	4183	1091	1687	1675	3584	3322	2146	1258	3618	3146	3432	1809	3590	2706
ENSG00000112592	1248	475	367	743	1264	1046	807	846	1238	2226	1008	605	1035	860
ENSG00000112599	30	80	43	28	31	16	26	5	75	85	35	9	30	7
ENSG00000112619	17	11	8	4	12	26	11	7	7	2	7	223	3	21
ENSG00000112624	4942	1799	1071	1559	2159	2611	2073	1150	2064	2370	2214	738	2524	2987
ENSG00000112640	5083	2980	5286	6524	6741	5584	4031	5012	7832	7143	5865	5731	4818	7669
ENSG00000112651	1385	2118	2053	6024	2475	2683	1731	1848	2853	3561	2508	3122	1971	2533
ENSG00000112655	7916	478	2263	4405	3608	714	1292	5294	7215	12330	5462	6083	10487	13527
ENSG00000112658	3791	2556	3584	4698	3644	6411	3777	2823	6545	4905	2899	3298	4287	5615
ENSG00000112659	1938	2403	2714	2441	2858	1997	2370	2181	2932	3207	3462	1721	2005	2892
ENSG00000112667	1635	2660	2284	2962	1324	1413	1984	2040	1802	2095	2846	884	994	2063
ENSG00000112679	6965	1849	1715	2391	8603	5180	3164	4107	4867	3059	2325	5010	2575	3635
ENSG00000112685	5002	3296	3186	4288	7275	3987	4273	4990	4823	3552	3165	5404	3738	5000
ENSG00000112695	5457	7304	3049	10945	5786	5052	3970	7063	4176	6750	6039	6419	4877	4525
ENSG00000112697	12105	8166	2308	2918	11284	16421	6780	14462	11489	15382	14406	2173	16168	19132
ENSG00000112699	1500	1079	1152	1922	1616	1466	811	1344	1351	1165	1913	4094	934	968
ENSG00000112701	5568	4030	818	1583	7007	3453	3020	5317	8079	8702	5167	906	5690	7332
ENSG00000112706	41	8	1	3	5	1	1	8	10	30	3	2	0	0
ENSG00000112715	2963	1583	3787	4748	971	3975	3031	2518	2008	3360	1646	973	3465	3790
ENSG00000112739	7754	4043	2198	3230	8564	5949	4614	8569	10723	9366	5590	3615	4392	6133
ENSG00000112742	560	1884	173	694	2005	1470	778	2069	1325	1080	715	401	381	1325
ENSG00000112759	14746	3583	6283	7282	7389	16284	3126	6015	15990	27177	3857	4929	2083	4591
ENSG00000112761	6	1	3	2	2	10	10	4	24	15	1	5	16	210
ENSG00000112763	3748	1618	1747	1179	3415	2568	1937	2891	4630	6250	3208	1630	3444	3349
ENSG00000112769	10995	4899	3356	1401	5142	31237	9231	5072	21849	23905	27256	3961	19347	21013
ENSG00000112773	1584	1870	416	518	953	1527	3135	3934	564	3428	1700	734	2526	2333
ENSG00000112782	163	130	6	15	137	1137	234	50	78	107	121	24	76	409
ENSG00000112787	4317	3105	5232	6756	3776	3244	2713	3169	3385	3559	2775	9717	2521	5548
ENSG00000112796	5	5	27	0	1302	15	42	4	14	4	2506	157	38	41
ENSG00000112799	57	182	13	18	292	243	699	30	442	38	245	87	255	274
ENSG00000112812	6	0	1	414	397	15	60	26	1	1	2	13	7	5
ENSG00000112818	1	1	0	0	6	1	65	0	3	1	0	1	6	20
ENSG00000112837	106	96	286	641	1818	1160	154	319	2113	2949	418	17	990	85
ENSG00000112851	14305	7808	1910	1499	14795	8150	6434	8117	9360	9139	14708	2197	8835	7535
ENSG00000112852	20	34	22	124	24	17	9	18	50	452	126	37	648	51
ENSG00000112855	2676	2191	1310	1372	2926	1286	1930	1622	1812	2111	4814	2154	2539	2407
ENSG00000112874	641	1402	156	155	822	317	715	909	1804	1352	2717	269	827	735
ENSG00000112877	623	731	137	158	401	213	310	415	501	435	414	469	186	755
ENSG00000112893	1546	4653	647	468	2026	3000	2656	1303	1802	3208	7838	782	5522	2090
ENSG00000112902	29527	13862	3714	4439	3214	5083	1352	13188	21145	358	33403	7216	20310	13884
ENSG00000112936	244	249	49	20	3235	221	2721	113	2143	37	224	50	4521	479
ENSG00000112941	3918	2850	766	832	1815	943	1284	2103	2279	2151	2306	2047	1678	2057
ENSG00000112964	138	1520	93	139	249	46	18	453	743	386	615	42	479	364
ENSG00000112972	3581	15285	516	1473	3141	1507	1617	3761	20747	2346	4815	1790	2823	2519
ENSG00000112977	10819	12138	3071	3993	8872	5510	6522	13650	4543	6977	9105	21179	5283	15324
ENSG00000112981	289	234	25	112	439	3	166	34	58	164	1272	2	146	58
ENSG00000112983	5507	2397	855	1419	8413	1035	2879	2404	4974	2495	7286	1741	3941	3571
ENSG00000112984	1382	1363	566	1962	3652	1258	1621	1443	2014	624	2660	2306	695	3402
ENSG00000112992	20094	27906	3240	2194	17953	5228	4911	10608	18306	7740	19446	5331	9839	11221
ENSG00000112996	4414	6892	1026	1512	4799	1670	1800	3152	5846	3567	5164	1876	2496	5524
ENSG00000113013	24033	37015	8698	15674	52249	18251	21299	13908	22100	15468	63126	20226	33609	26308
ENSG00000113048	7436	6176	2221	2188	6496	3467	3621	1819	9501	4912	12693	3784	4968	4921
ENSG00000113068	4114	2832	1136	2195	5441	1536	2882	2919	3059	2473	7017	3045	3758	2857
ENSG00000113070	1158	538	265	403	1509	755	372	256	711	758	1717	673	1207	2247
ENSG00000113073	3	22	1	7	6	5	2	7	6	10	20	4	5	8
ENSG00000113083	1240	706	537	50	616	852	587	629	407	182	1988	706	113	10302
ENSG00000113088	35	13	0	3	360	152	1610	8	101	21	61	7	883	392
ENSG00000113100	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000113108	1327	700	140	295	1035	141	598	585	1252	1168	1473	204	796	690
ENSG00000113119	780	599	290	214	1026	388	629	677	502	875	1797	576	825	915
ENSG00000113140	82651	102775	27635	44376	106509	120166	78687	46486	44431	77101	181641	94265	220953	143881
ENSG00000113141	6930	6131	1720	3953	9548	4152	5876	5210	7096	5094	11955	5553	6990	5857
ENSG00000113161	6659	8018	1302	1326	7313	9027	1977	3497	23112	3835	6930	2573	3350	3448
ENSG00000113163	10370	3720	1194	901	10079	5729	3276	2021	12535	6200	9462	1520	5207	3652
ENSG00000113194	4420	5088	3196	4030	7908	2602	3734	3805	7400	2585	6575	4472	3982	4518
ENSG00000113196	0	0	0	12	0	0	0	0	0	0	0	1	0	1
ENSG00000113205	41	18	7	226	9	18	3	2	18	8	389	28	35	72
ENSG00000113209	56	32	18	148	12	8	4	4	13	308	126	263	2192	25
ENSG00000113211	30	9	33	117	7	21	20	5	17	25	399	11	1750	49
ENSG00000113212	30	15	14	22	10	39	7	12	32	14	441	38	596	76
ENSG00000113231	934	144	58	36	273	193	177	76	482	275	848	23	242	117
ENSG00000113240	1234	693	71	326	1126	319	557	487	2365	2805	998	68	573	431
ENSG00000113248	26	51	65	18	102	65	18	81	25	17	148	21	356	313
ENSG00000113249	0	0	0	0	2	2	33	0	3	2	1	0	4	2
ENSG00000113262	0	3	0	3	2	5	1	1	0	13	3	0	1	3
ENSG00000113263	47	238	34	31	958	173	2807	50	157	9	122	361	696	497
ENSG00000113269	9575	5923	879	5160	4538	4256	7738	2720	5984	4454	6520	2287	3983	5167
ENSG00000113272	861	698	269	662	1086	531	891	353	767	750	2890	648	650	1180
ENSG00000113273	2259	1851	1152	1045	2129	5310	2621	1542	1974	1789	4153	1647	3099	4226
ENSG00000113282	6581	4790	1742	2229	6528	4183	4219	3091	4016	3259	10365	2109	5381	4737
ENSG00000113296	2177	308	23	40	312	1014	71	32	422	1137	453	111	155	8362
ENSG00000113300	4339	2522	720	1061	4287	1387	1955	1761	6175	3269	3517	1197	2688	3263
ENSG00000113302	5	5	0	0	7	5	15	4	0	0	4	0	5	5
ENSG00000113303	1	1	1	0	34	3	82	0	0	0	0	9	13	1
ENSG00000113312	2927	4043	858	3262	4843	2119	2806	2476	2511	1739	7734	1743	3161	1820
ENSG00000113318	1724	1793	379	378	2683	1299	1385	999	4300	1982	3761	327	1719	2447
ENSG00000113319	311	298	57	369	276	592	170	126	555	356	829	279	509	614
ENSG00000113327	0	0	0	1	499	0	0	0	15	551	105	0	351	26
ENSG00000113328	7507	5087	1570	1129	14352	3655	6841	3658	29595	5797	19633	1746	8530	14560
ENSG00000113356	2335	3674	458	572	2393	2429	1832	1485	4598	1740	3835	432	1783	2311
ENSG00000113360	5819	7934	2324	3065	6965	3323	3098	7016	7395	5394	13503	3664	4328	8444
ENSG00000113361	197	118	98	123	160	257	66	79	62	552	301	88	128	1901
ENSG00000113368	1811	3590	546	3535	4057	2076	4962	3409	2969	932	3100	2180	1204	7712
ENSG00000113369	7915	1851	325	373	2348	3608	2386	1175	13384	3368	3287	432	3714	5706
ENSG00000113384	7190	8121	1501	1750	6138	3203	4258	7043	7970	6288	10279	2052	5549	7085
ENSG00000113387	6589	9178	1310	2487	6730	3207	6786	8354	9451	6173	9395	2492	3866	8969
ENSG00000113389	69	8	2	17	13	22	8	43	38	111	4	7	35	51
ENSG00000113391	4034	724	333	501	1187	1281	907	763	2494	2359	6736	425	2590	2402
ENSG00000113396	2	1	4	1	1	0	0	1	1	0	0	0	0	3
ENSG00000113407	9540	12857	2282	3862	8827	7743	4657	6944	13581	12712	15596	3870	8404	9079
ENSG00000113430	12	3	1	23	2	2	0	27	0	2	0	25	2	0
ENSG00000113441	3512	3096	1515	964	3839	4327	3743	2377	6869	6720	7224	797	4946	5203
ENSG00000113448	5003	3163	620	871	3132	1487	1879	1265	187	1477	4549	747	2493	1183
ENSG00000113456	3444	3869	405	776	2774	1010	1205	2587	3938	2537	3482	1223	2034	2096
ENSG00000113460	3182	4565	408	796	3405	1582	1557	3195	4113	3148	4399	773	1899	2658
ENSG00000113492	1	2	0	0	2	0	5	3	0	11	0	0	0	1
ENSG00000113494	1236	289	1	3	167	14	48	13	29	25	282	9	1160	36
ENSG00000113504	5667	3088	752	2247	949	630	4620	2319	5286	4560	4587	5141	5147	4779
ENSG00000113520	9	1	1	0	4	4	2	1	3	8	2	1	0	4
ENSG00000113522	6846	3917	756	1324	6240	2204	3640	2552	2458	3215	10672	817	3723	6599
ENSG00000113525	1	2	0	0	0	1	2	1	1	5	0	1	3	2
ENSG00000113532	166	285	63	34	561	538	2335	89	287	74	412	60	660	921
ENSG00000113552	5539	13971	2937	5160	8284	3673	3560	6255	5076	3135	12156	8138	4111	4278
ENSG00000113555	640	700	229	289	598	1068	266	200	339	276	985	672	373	1394
ENSG00000113558	15179	8496	4076	9997	17221	7623	11634	9266	10129	7557	23710	9154	13550	16172
ENSG00000113569	5275	6561	1335	1256	8768	4063	2903	6627	6572	3761	7391	2525	3337	6318
ENSG00000113575	8147	7414	2600	6609	12855	4575	7409	7300	6297	4194	15284	5889	7424	8593
ENSG00000113578	84	196	15	7	233	257	1179	53	77	72	321	191	662	236
ENSG00000113580	6386	2460	670	516	6415	2659	5765	1937	7133	4320	8219	904	8258	6003
ENSG00000113583	4608	3468	1199	2091	5446	2772	4935	3213	4159	3664	13319	2338	9197	5140
ENSG00000113593	2405	1619	279	357	2540	1258	1658	1164	4215	2691	2309	355	1418	935
ENSG00000113594	567	90	7	34	162	193	294	24	5569	1139	223	34	899	7385
ENSG00000113595	1818	1106	190	170	1597	885	696	921	3015	2101	2247	220	2013	827
ENSG00000113597	1496	1506	162	139	1346	1839	1087	857	2153	1969	2523	275	1575	824
ENSG00000113600	5	6	0	1	3	1	0	2	11	0	5	0	6	9
ENSG00000113615	2084	3556	1330	1066	3809	3816	2880	2435	1919	1278	5036	964	2956	3149
ENSG00000113621	4261	2290	825	1596	3100	2219	3360	1644	2602	2419	10893	897	6696	4673
ENSG00000113638	1381	862	99	105	588	291	451	965	1581	984	1351	109	650	537
ENSG00000113643	4411	5688	1620	3019	5869	4218	4279	4198	5656	3131	10269	3861	4460	4438
ENSG00000113645	1021	359	85	1265	48	45	74	84	190	218	2313	140	219	61
ENSG00000113648	8104	8385	2621	10845	13509	5793	10360	7987	6784	5322	15107	8065	6708	13631
ENSG00000113649	3961	2993	1266	1167	4021	2686	2319	2471	3589	4885	5439	1806	2920	4569
ENSG00000113657	2848	1650	167	710	1743	2659	2078	1265	1497	669	2887	1344	646	13998
ENSG00000113658	5810	3802	916	2225	7107	2899	2591	2900	7529	2990	8346	1104	3708	13476
ENSG00000113712	6502	6858	1897	1805	9697	4331	4786	2916	6071	3329	11984	2517	7285	7221
ENSG00000113716	7435	7558	3813	6883	13451	3947	4664	4025	5453	3259	7805	7516	6983	4800
ENSG00000113719	10114	12463	3869	9582	24880	6349	7484	4666	11294	4004	20845	16885	7815	10688
ENSG00000113721	4889	4530	1774	1293	4206	4970	2328	1700	1392	1339	3509	4208	2153	11742
ENSG00000113722	11	13	1	0	16	20	8	13	1	3	19	15	12	11
ENSG00000113732	6212	9591	4429	13665	10226	5549	10223	6172	7282	4700	21868	8539	8725	5158
ENSG00000113734	302	760	174	598	654	295	600	215	708	433	971	514	342	429
ENSG00000113739	76	245	138	257	125	581	333	103	28	38	406	156	161	340
