TCGA.L9.A7SV	TCGA.69.7973	TCGA.55.8505	TCGA.55.8508	TCGA.91.7771	TCGA.97.8176	TCGA.64.5815	TCGA.86.A4P8	TCGA.64.5779	TCGA.50.8459	TCGA.73.4675	TCGA.73.7498	TCGA.55.8205	TCGA.55.7283	TCGA.55.A48Y	TCGA.55.A48X	TCGA.55.7576
ENSG00000033122	1750	39	23	25	33	18	6	67	48	11	28	28	49	8	18	41	74
ENSG00000033170	842	14578	1296	1314	1891	870	1581	990	1429	2794	11295	4934	3250	2175	1500	2154	3912
ENSG00000033178	1485	2758	1656	893	2179	1556	1077	2259	2048	1665	2234	2490	6328	2007	1811	2030	6638
ENSG00000033327	5984	13083	1101	762	2666	1390	849	5137	860	2437	2826	3727	4679	2020	2249	1764	4462
ENSG00000033627	9916	3746	3750	1686	2233	2206	1954	6164	1262	2521	10280	7079	4137	2540	1397	3893	5460
ENSG00000033800	2113	2206	1800	596	2464	1182	923	4049	1041	1718	1926	3115	2790	1743	1668	1556	2720
ENSG00000033867	784	2799	724	568	1426	768	564	1762	1051	1027	758	950	2664	1206	845	884	1548
ENSG00000034053	298	2140	407	1866	451	711	487	314	694	1203	369	7678	250	1811	807	2029	6793
ENSG00000034152	4552	4209	4554	2047	3050	2924	1819	2995	2318	2602	6149	5479	3368	3240	3665	3642	5946
ENSG00000034239	28	29	22	5	69	187	13	301	8	777	651	66	83	94	15	772	12
ENSG00000034510	30635	90663	34797	29086	41115	67911	64604	35540	17978	70450	88715	80653	98727	47314	45292	57245	120907
ENSG00000034533	598	548	265	201	368	286	198	456	271	349	390	582	595	403	366	555	612
ENSG00000034677	3936	5763	2489	1620	3686	1767	4905	5783	8622	2330	2296	7348	5330	5371	2184	4866	15502
ENSG00000034693	598	678	525	267	633	300	154	674	395	414	520	725	1408	416	259	529	936
ENSG00000034713	2804	4190	1991	1783	2193	2041	1767	3935	1760	2784	6463	6694	3001	2896	2553	2588	3694
ENSG00000034971	1	14	1	9	14	9	0	62	4	10	3	28	3	6	0	6	5
ENSG00000035115	4891	4992	1736	1758	3546	2230	1541	2600	1137	951	8054	9249	3916	7147	1109	2385	7586
ENSG00000035141	4174	3926	3163	1208	2062	2144	624	1542	1746	1192	2680	3329	3831	1860	2034	2255	5662
ENSG00000035403	10854	12583	8012	1878	7457	3930	4972	9449	4139	17802	11412	13776	22488	8414	7150	5652	17796
ENSG00000035499	397	1669	207	195	154	339	160	49	282	156	153	51	1366	255	104	203	1061
ENSG00000035664	3804	845	177	438	1471	182	131	4496	308	321	1763	4343	555	562	107	717	959
ENSG00000035681	1047	4129	1077	688	1391	1196	872	2358	1375	1445	1694	2659	2966	1467	1217	1707	2946
ENSG00000035687	6751	6729	2505	1983	2928	3415	2244	2860	1679	2305	6680	6747	4273	6173	6475	4110	9562
ENSG00000035720	22	43	33	143	86	14	35	43	81	110	28	107	105	18	50	415	146
ENSG00000035862	23770	15636	20857	6666	9994	8493	27145	24506	10226	80223	29464	23257	26737	8992	11937	12347	39477
ENSG00000035928	3145	3530	1418	1354	2329	2069	1990	3204	2140	1794	2666	3820	4678	2704	3348	2413	5729
ENSG00000036054	2123	3092	1245	818	1738	1371	1313	1889	1371	1462	1874	2097	4062	2270	2511	1871	3268
ENSG00000036257	4050	5588	2498	1404	2478	1859	1646	2870	1714	2037	9317	4999	5131	3506	3276	3104	9969
ENSG00000036448	49	47	66	35	140	45	33	171	85	84	114	281	17	53	35	64	36
ENSG00000036473	0	2	2	0	1	1	2	41	0	2	0	32	8	2	0	3	6
ENSG00000036530	208	34	51	17	23	41	18	89	65	41	110	163	34	9	36	122	150
ENSG00000036549	3436	2234	1416	586	1637	1577	856	2133	1041	1012	2375	2355	3381	1603	1961	1695	5055
ENSG00000036565	0	25	3	2	5	1	12	29	1	28	10	2	1	2	4	21	4
ENSG00000036672	699	567	58	12	86	56	52	213	534	215	187	156	48	201	16	440	406
ENSG00000036828	1	60	2	1	6	12	0	261	1	148	2	47	3	12	0	4	1
ENSG00000037042	3146	1172	688	491	318	284	276	1319	415	711	1260	2058	610	571	234	1278	1238
ENSG00000037241	581	1089	368	434	376	977	588	391	202	585	1222	1463	1221	647	315	572	712
ENSG00000037280	827	1630	1052	695	775	1465	933	3715	874	745	1877	3768	2911	522	983	1193	1301
ENSG00000037474	16210	10450	4185	2944	3110	4515	1617	3154	1960	1767	8720	5917	6237	3513	5806	4334	6818
ENSG00000037637	2363	1893	1080	652	721	718	666	2142	1286	1423	1819	2214	1845	1297	1271	1700	2988
ENSG00000037749	585	2159	502	469	926	578	670	590	488	583	984	1131	1627	683	841	818	1540
ENSG00000037757	1629	1131	516	760	467	411	322	1702	419	794	2218	1307	1479	571	743	1000	688
ENSG00000037897	1542	2130	683	584	862	885	370	346	727	560	2616	963	1016	824	1136	423	1927
ENSG00000037965	1	503	43	65	73	6	10	0	111	36	8	7	46	17	110	0	44
ENSG00000038002	1043	5249	1551	1072	1358	1724	787	915	645	867	3434	6105	1307	1512	2613	1719	2745
ENSG00000038210	1116	1993	567	1034	4845	1825	534	1572	1267	625	2240	3437	2690	2289	2571	1595	4368
ENSG00000038219	3141	5074	1640	1374	2589	1957	1082	3350	2741	2561	2855	5356	5381	2929	2688	3089	6011
ENSG00000038274	2095	4068	1575	1491	4329	2544	3077	4719	1707	3242	5530	6107	5967	3658	2431	3648	5426
ENSG00000038295	255	236	54	35	129	62	115	365	128	145	136	234	128	66	98	113	218
ENSG00000038358	3349	3297	1894	1460	1378	1667	929	2996	1758	1482	2692	4407	3165	2133	1192	2023	4156
ENSG00000038382	26831	18447	5109	3981	3565	3891	4158	4734	2786	7850	7039	7294	13447	4224	3191	8067	17858
ENSG00000038427	8994	36943	18232	8472	5784	6350	21092	2426	16354	57668	25478	5857	13773	1977	27778	6586	17476
ENSG00000038532	1847	4558	1894	1196	1819	1348	822	3165	1066	1974	2855	4062	3368	2584	1442	3058	2989
ENSG00000038945	1051	1258	948	474	4638	1683	4262	7661	246	3620	7268	1635	11649	1752	1073	954	7682
ENSG00000039068	22570	37568	20336	12217	16128	15453	21602	9042	10552	10927	24860	27109	29974	24966	16269	26081	76139
ENSG00000039123	2493	5447	1451	1630	3041	2515	1259	2547	1741	1572	4360	4634	4991	3750	1771	2906	9016
ENSG00000039139	858	5712	332	1177	1390	761	450	663	384	941	3096	1509	862	2955	557	3350	2666
ENSG00000039319	1647	3659	1030	1337	2495	1990	1045	3347	1684	1409	3330	3656	3315	2359	1287	2318	4445
ENSG00000039523	2658	2331	3373	1056	1590	1943	1606	7209	1566	5087	6627	5605	3958	1500	1143	2588	3654
ENSG00000039537	14	56	173	32	102	320	16	203	9	436	262	55	65	118	11	639	59
ENSG00000039560	32927	10340	6331	2321	3422	2412	5317	3971	3352	5553	11762	14820	7585	9507	4220	7389	18665
ENSG00000039600	19	10	8	15	20	25	15	17	120	20	36	24	15	4	8	146	119
ENSG00000039650	2965	3277	2106	1391	844	1201	906	2180	1141	1685	4882	2471	2050	1210	715	1696	2005
ENSG00000039987	2	2	0	4	0	0	0	3	0	0	0	1	0	0	2	0	2
ENSG00000040199	723	1196	455	276	341	180	129	725	598	430	463	523	1078	450	319	416	910
ENSG00000040275	750	1489	430	380	439	877	328	293	262	445	388	443	1321	291	316	458	793
ENSG00000040341	2487	9087	1043	1332	3373	1660	1048	1689	3069	997	4066	5414	2509	2844	3844	2760	4174
ENSG00000040487	1769	942	1091	441	296	579	412	1055	668	1049	1735	1817	739	484	564	927	2488
ENSG00000040531	1836	2114	1093	903	567	899	544	1473	605	1265	3589	2246	1659	891	735	899	2070
ENSG00000040608	400	1108	281	101	239	177	585	636	51	287	909	525	323	335	136	419	783
ENSG00000040633	2068	4129	2011	1214	975	2257	927	1271	653	2075	4663	3614	2001	2241	1600	1384	3344
ENSG00000040731	9	4	4	1	2	7	2	21	1	20	2	7	15	1	11	0	12
ENSG00000040933	3669	4133	2089	951	1894	1210	803	3008	3782	1426	3190	4525	3844	1963	1579	3203	4867
ENSG00000041353	1001	684	1207	378	1404	1625	1703	1067	124	467	3837	1918	4191	2369	4168	3361	3045
ENSG00000041357	4463	6503	4878	1952	5485	4595	2558	3655	2533	3526	8229	7486	6795	3814	5671	3097	8040
ENSG00000041515	12	66	51	49	849	97	26	43	243	47	24	106	125	8	52	80	55
ENSG00000041802	3295	3659	2377	540	1414	2312	1381	2029	2175	1312	2783	2324	3765	1321	1870	2077	3621
ENSG00000041880	750	1368	1210	712	1342	644	768	1768	337	1483	1964	3078	2355	2479	410	1583	2277
ENSG00000041982	1646	36762	5932	5474	1967	3030	34246	2835	2046	22022	2067	2529	53538	4588	7318	12805	20910
ENSG00000041988	840	739	556	281	261	240	267	716	478	612	1241	884	467	437	441	553	1052
ENSG00000042062	346	345	98	82	158	122	77	304	89	201	78	102	229	45	43	170	101
ENSG00000042088	1301	756	262	503	540	544	280	593	427	595	855	374	420	654	980	610	1309
ENSG00000042286	3275	1588	1860	562	1425	2831	612	1394	459	664	7317	4065	3303	964	2834	1031	2929
ENSG00000042304	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000042317	529	1068	223	167	348	151	343	634	236	346	252	710	381	414	299	459	867
ENSG00000042429	1943	3294	1180	851	1263	1293	473	1395	1106	980	1332	1992	2084	1523	1666	1445	3260
ENSG00000042445	2452	6609	4059	1825	4144	3211	2702	3444	1220	3367	8428	7526	7215	4204	2819	2782	2785
ENSG00000042493	4436	7603	6553	3140	6112	8789	14503	17486	1682	20316	22753	11630	26703	8913	3395	7491	9633
ENSG00000042753	2789	4962	2898	1455	1293	2476	2771	2643	1540	3868	7035	3495	5140	2263	2559	1874	5530
ENSG00000042781	7	7	5	16	14	20	8	9	7	16	10	5	4	3	18	3	2
ENSG00000042813	0	0	0	0	2	9	0	1	0	1	2	0	1	0	0	3	3
ENSG00000042832	10	40	949	34	21	20	26	34	1261	75	145	34	20	11	35	23	16
ENSG00000042980	302	1595	1087	3030	1600	1571	462	580	1566	4602	4346	445	1089	140	382	3959	1830
ENSG00000043039	979	33	78	892	50	513	71	12	31	143	337	721	31	418	4448	380	5216
ENSG00000043093	1251	2790	1338	507	1125	1333	942	1476	954	1157	1796	2128	2735	1196	2276	1352	3897
ENSG00000043143	1986	4524	1052	1490	2948	1784	1629	3096	1528	2762	5145	6605	6634	4971	639	3897	5516
ENSG00000043355	2	1	19	0	10	6	88	2	0	3	29	1	202	582	5	147	169
ENSG00000043462	977	1480	539	778	2704	814	1427	3548	1108	3020	1511	2656	7245	1440	1056	1701	3325
ENSG00000043514	2223	1761	852	1511	1073	795	458	767	11505	762	1520	1546	1066	744	694	929	1877
ENSG00000043591	1172	54	6	38	136	38	41	658	2481	18	38	285	66	173	3	95	127
ENSG00000044012	1	1	92	1	7	65	0	12	0	7	2	0	0	1	0	0	0
ENSG00000044090	12016	3942	3772	2521	2228	4144	1864	2834	2654	2557	4007	8798	4131	4964	2977	5695	4179
ENSG00000044115	17662	31667	14009	18243	32948	23093	30217	20130	11757	21290	89445	46815	35560	30291	33390	31298	48476
ENSG00000044446	3386	4945	1688	891	956	1158	477	2493	1423	1097	2343	3003	2675	1308	1235	1591	1447
ENSG00000044459	581	230	124	53	247	160	236	650	290	417	170	358	895	124	142	223	999
ENSG00000044524	103	801	75	44	2227	61	437	196	159	878	182	508	106	30	329	1795	4806
ENSG00000044574	48161	99664	29772	34467	56718	34806	30138	16372	24865	18936	57872	89400	65799	38312	71858	59254	116358
ENSG00000046604	10571	20174	17507	3089	5737	5739	13230	2737	9146	9150	8628	6390	24352	4981	7924	9744	31833
ENSG00000046647	633	2749	410	602	522	525	331	967	530	475	975	1539	411	730	494	669	829
ENSG00000046651	2136	4868	1446	1291	1495	1517	495	2768	2184	1274	2920	4553	3717	1401	1845	2311	2974
ENSG00000046653	131	1228	155	412	880	158	156	1520	531	601	668	894	321	382	1219	331	300
ENSG00000046774	96	0	377	604	0	1	0	0	817	0	1	0	180	0	0	0	1
ENSG00000046889	202	711	171	78	593	157	94	2221	313	459	162	1767	360	285	249	342	477
ENSG00000047056	2355	1147	492	682	846	763	415	1964	517	1085	1439	2044	1549	705	611	1024	1881
ENSG00000047188	1746	2244	823	880	1661	1053	726	2263	1000	1254	2832	2419	3112	1464	703	1943	3030
ENSG00000047230	1019	7855	1069	1019	1297	1672	661	1312	1149	778	2442	2847	3141	1689	1706	1768	2983
ENSG00000047249	2741	4889	1979	915	2004	2409	1461	2972	2239	1823	4627	7417	3905	2294	2511	1886	4248
ENSG00000047315	3613	7552	3935	1923	4589	4138	2068	3700	2406	3534	5525	7787	8591	5964	5524	4745	11727
ENSG00000047346	3051	2519	1563	1168	1342	1529	872	2535	1478	1964	1909	5033	1698	1987	1335	2867	4465
ENSG00000047365	710	636	997	340	1712	818	422	4428	639	1051	1724	2101	3337	1558	832	1675	3976
ENSG00000047410	10480	20136	6007	4671	6527	5747	4066	6366	6131	4978	11754	15220	8470	11478	5209	9233	8977
ENSG00000047457	207	14789	40644	10530	8890	6261	4926	409	763	7238	7611	6335	5723	10708	6006	20676	13637
ENSG00000047578	2057	2625	1306	954	1245	1354	642	1546	722	1470	2804	3011	2356	1413	949	2030	2674
ENSG00000047579	2307	1502	654	538	888	630	423	906	702	685	658	2198	1604	929	494	1266	1424
ENSG00000047597	10	1405	59	163	435	195	15	166	331	68	1395	114	541	147	250	130	1944
ENSG00000047617	24	54	12	20	35	17	9	226	28	20	35	169	25	19	12	35	35
ENSG00000047621	371	1928	622	465	709	544	655	1029	566	583	1291	814	1640	512	705	629	2657
ENSG00000047634	931	229	227	165	505	286	91	1133	567	243	119	663	986	177	166	522	230
ENSG00000047644	2322	8035	2217	2076	1984	2652	1484	7752	4617	3319	4400	9621	4489	4084	2564	3243	7984
ENSG00000047648	136	234	112	74	463	149	119	1085	164	440	208	876	432	160	151	138	262
ENSG00000047662	38	38	14	72	36	19	3	46	73	11	37	105	24	19	10	21	32
ENSG00000047849	14109	16638	13386	5461	11965	7530	8516	14342	6609	19338	20135	18523	29224	15308	18375	8677	30015
ENSG00000047932	2611	3258	1837	656	1674	871	1165	2456	1127	1818	2211	2182	3653	1975	1432	1519	4168
ENSG00000047936	1448	4357	1118	521	2226	2317	2437	6970	39	453	223	4287	10173	2086	783	8559	4136
ENSG00000048028	1868	4391	1034	1159	1284	792	366	1528	2201	827	1663	2809	1669	744	1670	1525	2226
ENSG00000048052	217	207	229	159	466	99	183	499	263	473	142	1069	1514	467	123	545	1478
ENSG00000048140	2012	4557	2204	1728	1745	2621	3049	2250	655	2032	10620	5502	6296	3216	1553	4344	6479
ENSG00000048162	914	1408	548	452	572	1150	399	489	275	496	1569	1166	1756	898	415	598	2063
ENSG00000048342	1145	819	606	319	603	741	289	1024	314	1079	1171	1400	698	1258	571	876	1495
ENSG00000048392	2796	4076	1162	662	2524	1175	1267	3169	1266	1760	4481	7223	3644	5769	2005	1880	6154
ENSG00000048405	1475	1714	911	448	914	641	434	1238	707	618	1717	1599	3378	1373	886	911	2344
ENSG00000048462	58	104	75	435	190	29	73	56	499	201	81	304	178	15	348	217	98
ENSG00000048471	930	2597	835	1000	1146	877	738	2521	771	2483	2429	4836	2968	1445	1195	1973	2699
ENSG00000048540	6654	9736	152	2103	1471	910	2901	6954	2160	458	10154	18389	2341	7938	6717	6706	25088
ENSG00000048544	2734	3173	2021	959	1592	1832	1320	1187	2075	1405	2030	3771	5533	2962	2205	2258	4796
ENSG00000048545	1	11	20	6	0	5	16	1	7	146	15	0	18	0	40	1	8
ENSG00000048649	4434	5720	1381	1194	2839	1344	1019	2856	2756	1979	2572	4879	6309	3257	2211	2793	7238
ENSG00000048707	4881	4542	3155	1207	3649	1713	1031	5283	3148	3057	6792	7351	3887	2785	3222	4296	8049
ENSG00000048740	2928	4517	1754	1779	4451	1528	1525	9736	1084	3820	3161	10700	4550	1825	3966	3876	8093
ENSG00000048828	18785	17158	10515	4226	10871	11149	7638	9006	4950	6792	16696	20408	22300	14392	13681	12818	30158
ENSG00000048991	1274	4846	1297	704	1152	1543	918	1157	1213	1176	1857	2040	3043	1869	1558	1484	5926
ENSG00000049089	4188	382	389	1473	1186	528	211	688	375	1490	419	2400	380	1904	88	1666	1710
ENSG00000049130	2135	18438	2628	1124	4997	1883	1252	5239	4385	987	3597	3671	5729	7430	8058	2853	7770
ENSG00000049167	332	678	195	208	303	296	204	355	226	279	504	552	560	417	205	351	1365
ENSG00000049192	98	101	117	47	114	53	47	152	253	526	49	164	87	8	83	146	74
ENSG00000049239	8328	7328	6799	2766	4948	4530	3162	8518	4895	7261	15494	11505	6950	4275	7386	8947	11546
ENSG00000049245	5235	4121	3481	1615	3013	2699	2938	6300	3113	5200	6256	8480	8289	4242	3840	4872	9930
ENSG00000049246	4129	507	401	495	275	310	495	1156	651	1361	376	1740	1329	850	305	3388	3839
ENSG00000049247	21	4	2	0	6	2	3	7	6	27	8	11	461	5	4	7	9
ENSG00000049249	87	164	72	139	334	93	257	132	195	231	140	156	725	92	174	369	361
ENSG00000049283	840	632	2224	367	435	2269	407	43	388	274	4339	1566	637	1296	512	919	3596
ENSG00000049323	942	5023	5036	2780	5833	1607	2399	2821	3794	9615	5467	10914	3754	2057	5505	4567	4952
ENSG00000049449	2479	10751	7836	2871	5700	7037	5382	2910	7949	4641	11594	5137	20460	7711	2772	5797	12116
ENSG00000049540	2916	7281	4486	3800	5472	2082	4180	10823	6226	7950	10343	21531	3413	2620	2182	6372	7995
ENSG00000049541	2174	2917	1303	641	531	1565	721	844	971	969	2413	1509	4951	1676	694	1245	3328
ENSG00000049618	2345	7485	3481	1939	4143	2140	1566	4877	2905	3736	3898	6468	5648	3780	2524	3661	6225
ENSG00000049656	36469	19379	5955	8407	6479	6642	7010	7061	4879	4595	23103	19497	11522	10787	15142	17690	20654
ENSG00000049759	17855	15282	1518	1964	5265	3299	1395	8463	5416	1270	31844	13178	4953	3947	8471	5345	6153
ENSG00000049768	261	331	77	192	377	118	367	224	359	485	418	377	426	145	220	318	786
ENSG00000049769	342	263	155	117	159	277	241	289	182	171	1656	884	172	205	200	271	438
ENSG00000049860	4392	8613	4019	3784	6144	4966	6039	5278	3391	6944	12523	7990	14888	5417	4063	5652	11079
ENSG00000049883	709	829	280	263	438	448	163	496	274	309	627	1041	765	498	384	516	633
ENSG00000050030	3	15	47	84	333	13	20	74	20	29	1252	83	20	136	32	118	114
ENSG00000050130	2238	3992	1928	765	3799	1027	1608	2172	1144	1753	4522	3491	2729	1842	1064	1905	4512
ENSG00000050165	10333	2823	4663	1403	4632	706	3276	6984	3019	14644	8117	9752	3359	2589	2763	2696	4459
ENSG00000050327	1567	845	1072	450	776	829	492	741	249	496	2875	1375	2548	1051	790	1306	2334
ENSG00000050344	1245	4305	640	455	2954	704	1438	1195	1319	1630	1766	1908	6078	596	2505	2093	2690
ENSG00000050393	3574	3938	1435	1044	1523	1759	832	1483	1584	1161	2849	5542	2746	3300	1769	1969	3966
ENSG00000050405	10240	11213	4220	1733	4505	1811	2910	4993	3089	4700	2430	4728	5424	3097	2865	2699	7493
ENSG00000050426	6517	3849	1711	1147	3164	2160	1325	3553	1622	1659	5400	6191	3660	2071	1400	1908	3319
ENSG00000050438	329	7557	93	241	177	116	90	381	600	467	167	163	203	335	205	424	430
ENSG00000050555	1387	1610	778	143	719	1501	738	6132	596	3340	1092	5787	1031	975	1022	415	1081
ENSG00000050628	8945	78	65	16	80	52	161	89	231	218	135	51	48	36	61	82	134
ENSG00000050730	32	68	119	25	92	631	32	163	44	25	13	73	455	41	92	66	481
ENSG00000050748	2361	5427	1120	1135	3554	2155	2420	2612	1346	1751	6983	4989	4516	2654	1473	2455	5546
ENSG00000050767	18	57	53	55	39	67	56	142	32	215	78	94	80	41	45	175	85
ENSG00000050820	2353	4549	6526	2170	1568	5079	2825	5187	1210	6127	6302	6717	4703	2944	3132	3170	6226
ENSG00000051009	2377	4198	3738	1298	1850	1497	726	3914	1204	1862	3511	4977	2399	1374	1120	2820	2399
ENSG00000051108	3731	16358	5292	7909	7047	3451	4332	9187	17979	9153	8945	13792	6349	5682	10247	9169	10116
ENSG00000051128	1668	1485	1054	890	348	1773	1460	1231	384	1543	3229	1318	1732	848	1553	1084	1593
ENSG00000051180	191	943	520	62	85	456	136	67	191	150	263	109	831	187	591	122	703
ENSG00000051341	1087	1056	371	103	93	561	65	76	355	96	120	78	1972	79	210	204	370
ENSG00000051382	2237	1212	2304	1042	4005	2161	2001	2210	883	1455	1595	2488	3883	2122	2208	1461	3084
ENSG00000051523	3987	7071	6172	10563	4576	14725	4240	8919	3497	9024	4955	14993	8632	3624	2364	5300	10801
ENSG00000051596	582	729	163	215	196	503	392	343	110	164	603	563	812	396	322	456	1237
ENSG00000051620	1988	3088	3462	1191	2091	2394	1701	1829	1499	2903	4532	3049	3569	1925	2173	2311	3916
ENSG00000051825	1642	3175	559	212	551	594	307	675	1051	440	698	731	1590	498	526	536	1415
ENSG00000052126	1918	6402	2092	1229	2637	1555	831	1949	2266	1978	2145	2173	1631	2362	1705	1533	8162
ENSG00000052344	18113	12208	5899	8770	14884	8598	9014	7125	2304	4974	38960	22347	3386	13444	12704	15703	34375
ENSG00000052723	3258	2180	1035	696	1494	1323	534	1475	1148	1243	2189	1888	2257	1167	1038	2162	5353
ENSG00000052749	6547	5739	2221	1301	2258	3005	758	1366	1532	1296	5298	3386	8945	4799	3252	1507	9028
ENSG00000052795	5352	3443	1526	716	2515	1081	1249	4564	901	2318	982	6027	2785	9870	771	4455	8035
ENSG00000052802	1835	2908	3806	1042	2692	2302	3352	2568	1468	1515	4544	4723	2360	4679	3198	4336	4671
ENSG00000052841	5422	9393	2069	2531	8786	4003	1592	5347	3570	2365	4365	8303	4118	3653	3240	4239	7189
ENSG00000052850	5	2	0	1	7	0	5	4	47	1	1	0	4	1	2	11	2
ENSG00000053108	126	4377	117	2314	334	5802	1616	239	3264	38	4980	1596	31	1169	1382	253	181
ENSG00000053254	3644	3111	1249	1444	3601	1076	1916	4823	1985	3902	2451	5127	3385	2523	1821	3431	5670
ENSG00000053328	16	55	30	7	38	10	8	36	20	44	34	47	24	19	93	24	40
ENSG00000053371	3118	2861	1195	727	807	836	1051	1531	1332	1571	5226	4165	2034	2121	1984	1996	3211
ENSG00000053372	3286	2492	1198	854	906	1588	672	941	2282	1233	3097	2494	3346	2068	1880	1476	3849
ENSG00000053438	41	41	27	41	51	37	9	93	44	37	34	135	51	21	23	54	38
ENSG00000053501	890	1166	456	581	488	659	565	1210	371	698	2230	1143	608	836	913	617	911
ENSG00000053524	158	250	119	46	61	81	36	105	57	47	22	68	222	19	16	66	60
ENSG00000053702	103	194	123	106	307	96	51	419	153	180	308	417	141	95	76	206	271
ENSG00000053747	5272	1826	13779	979	3302	3146	2462	9284	2540	17396	8102	4110	9848	916	848	1955	2282
ENSG00000053770	1882	5055	1589	569	2856	705	1080	1839	1375	1151	2094	2986	2597	1080	1201	2087	3791
ENSG00000053900	2348	1573	752	876	2497	1041	287	2248	943	933	1835	2754	2244	1215	1084	1799	2620
ENSG00000053918	185	7861	855	3068	7432	1879	675	2741	2403	1613	4723	11951	1195	1273	4506	2216	1801
ENSG00000054116	4514	2937	2782	1643	1539	2651	1260	2328	1349	2115	4259	4057	4065	2152	2795	2793	5252
ENSG00000054118	10948	12304	7603	4201	6762	6167	4213	6774	4942	6073	9197	14293	12932	7398	7184	7583	19251
ENSG00000054148	4461	4292	2794	2624	2136	3132	2053	2573	1844	1867	8800	11056	1909	2561	2418	3482	6226
ENSG00000054179	323	400	375	42	143	63	113	27	233	301	566	80	66	52	12	129	652
ENSG00000054219	908	734	228	239	617	305	247	772	1061	903	866	388	2104	417	142	1208	919
ENSG00000054267	3284	7217	1294	1803	3043	1859	1144	3047	2083	2068	3350	5401	3099	3985	2407	3351	6631
ENSG00000054277	244	1569	2522	499	482	1729	537	861	649	609	880	3800	453	325	596	960	2001
ENSG00000054282	1515	3197	728	561	1014	994	727	1913	648	1337	2589	3256	1441	1670	790	1369	2506
ENSG00000054356	3	80	193	117	0	597	130	0	22	275	76	1	44	1	153	27	21
ENSG00000054392	895	1600	477	394	724	508	409	448	63	389	1776	1709	171	828	854	1148	1240
ENSG00000054523	5664	4671	3458	1249	3368	1999	1411	3669	2973	2911	5227	6101	4694	2917	3319	4481	11621
ENSG00000054598	173	202	522	247	152	153	492	152	360	451	305	298	729	409	205	2127	3436
ENSG00000054611	2116	3268	2115	995	1367	1584	1529	2773	1363	2082	3705	4065	2460	1691	833	2684	2436
ENSG00000054654	39568	23595	7064	3181	5728	2887	3052	11482	3688	3728	8208	22601	6213	6101	2626	11718	18212
ENSG00000054690	103	213	749	284	195	382	62	653	356	357	369	258	596	47	103	313	286
ENSG00000054793	9576	10943	5508	2114	6897	2855	2958	3180	1171	3369	4314	7138	4952	7730	4992	8503	13682
ENSG00000054796	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000054803	24	269	5	3	151	8	40	31	39	22	35	51	78	23	16	66	62
ENSG00000054938	19	241	342	447	682	82	55	26	1628	118	221	910	81	78	414	594	405
ENSG00000054965	8691	5059	2839	1649	2846	1247	2354	3277	3018	3425	3086	4653	6952	2610	2511	3158	5796
ENSG00000054967	485	669	495	344	384	478	379	1438	412	766	573	568	2389	253	257	913	853
ENSG00000054983	1459	3043	1413	625	1873	817	1415	4432	891	2228	2987	2643	2974	1692	1146	1917	4300
ENSG00000055044	5688	5812	2743	1721	2602	4469	1275	2294	2434	1816	4546	4488	6013	5759	3390	2579	4939
ENSG00000055070	9109	7316	4593	2648	2964	3746	2809	5028	4474	6564	8115	9650	9388	5269	4489	7529	14068
ENSG00000055118	174	2449	76	99	172	682	34	257	327	54	190	1509	49	649	100	198	1307
ENSG00000055130	3405	4914	3070	1817	2248	3110	1572	3331	1741	2313	5723	5812	10970	3336	2561	2914	5457
ENSG00000055147	1073	1406	516	528	877	694	836	1108	418	720	1944	1738	1549	974	674	1048	1412
ENSG00000055163	1501	6505	890	1759	3171	3087	1586	3182	1023	1683	9336	3519	2902	4433	1625	3426	3617
ENSG00000055208	3262	5160	2600	2106	4274	1845	3065	4372	3122	3451	4216	5071	7046	3827	3034	3293	7285
ENSG00000055211	1999	2357	1896	636	2081	758	1591	2738	1554	2353	2996	2592	3310	1340	1393	1450	5210
ENSG00000055332	10630	9800	2721	1617	4515	2168	2186	4500	2047	2826	5155	5165	9189	5061	2186	3471	11968
ENSG00000055483	12226	5507	2757	1707	2359	3274	1502	3612	1042	1980	3872	4253	4929	3175	2159	2653	9313
ENSG00000055609	12918	10483	2450	2607	4787	2736	1714	6648	4951	2863	7134	9149	11521	4718	3213	4679	10693
ENSG00000055732	1809	65	16	28	108	65	152	599	139	40	65	180	398	138	21	185	921
ENSG00000055813	50	329	15	18	43	19	24	242	28	26	25	105	69	76	18	44	284
ENSG00000055917	18915	15309	3446	3502	8275	4601	4021	7966	4555	4792	10293	12673	11726	8521	8448	6926	18351
ENSG00000055950	3989	3421	1807	1032	2204	2256	1338	2324	1074	2051	6302	4851	4389	2604	2530	1676	4114
ENSG00000055955	70	100	9	52	22	112	13	95	36	27	36	34	50	50	7	48	16
ENSG00000055957	11	4	6	3	7	0	3	11	1	25	1	12	8	2	0	16	9
ENSG00000056050	519	729	582	293	468	723	309	678	367	593	1001	1097	885	783	544	630	918
ENSG00000056097	11143	9965	3055	1744	4428	3061	2419	3609	2775	2699	5606	5867	6895	4544	4778	3331	8991
ENSG00000056277	415	930	195	160	330	312	193	294	481	145	894	568	632	333	369	315	571
ENSG00000056291	2	0	1	0	3	18	0	1	52	2	1	4	0	1	0	4	28
ENSG00000056487	3	3	31	0	1	0	2	4	1	5	44	12	10	2	5	3	1
