TCGA.86.7954	TCGA.55.5899	TCGA.97.8547	TCGA.50.6590	TCGA.55.7281	TCGA.49.AAR4	TCGA.55.8301	TCGA.86.8054	TCGA.55.7994	TCGA.50.5933	TCGA.50.5051	TCGA.55.7995	TCGA.55.1596	TCGA.49.AAR2
ENSG00000077009	0	0	0	2	3	0	1	0	6	1	1	1	0	1
ENSG00000077044	2644	1122	1465	2039	2148	3082	2625	7423	8935	4727	1423	4356	817	1682
ENSG00000077063	329	27	74	8	123	235	64	343	38	20	88	228	14	29
ENSG00000077080	2	680	3	0	0	1	1	4	4	0	0	1	1	7
ENSG00000077092	569	251	126	79	261	269	282	1330	102	250	174	1085	121	145
ENSG00000077097	9262	7497	3255	4569	5779	3363	8305	10702	8664	6892	2561	6772	2374	2023
ENSG00000077147	25258	10496	6012	7442	5644	4436	10315	29233	12729	15842	8553	18376	16895	6701
ENSG00000077150	6225	1385	1614	3992	3277	2823	6087	1792	3987	1974	1485	5905	4163	5911
ENSG00000077152	1342	2174	325	967	271	581	1258	5169	709	544	979	1590	2328	1024
ENSG00000077157	2877	931	1810	761	2388	2159	11431	3020	1723	592	4005	6133	849	813
ENSG00000077232	14999	8172	3473	8686	4951	5099	4986	13215	11136	8431	4305	15787	6393	3691
ENSG00000077235	14702	4014	3416	4216	5334	3262	5716	5187	6497	5575	3022	16262	3294	3947
ENSG00000077238	7984	1002	3570	3218	4599	3221	5469	4444	6269	5362	1331	8277	3405	2974
ENSG00000077254	5971	999	934	1734	2098	2016	2455	4418	4588	2908	1343	4128	2198	2274
ENSG00000077264	45	38	52	27	22	16	25	5474	21	55	448	38	50	24
ENSG00000077274	44	6	15	6	48	7	8	57	10	5	61	603	7	55
ENSG00000077279	0	5	0	0	1	0	0	6	1	0	7	4	1	2
ENSG00000077312	4145	1769	1215	2437	3119	2922	3408	4165	3343	1649	2215	5872	1832	4254
ENSG00000077327	529	2	0	7	212	453	123	9	16	5	42	51	100	2
ENSG00000077348	954	770	324	1012	980	562	1194	1129	813	1166	706	2025	719	1030
ENSG00000077380	6965	3734	2134	4683	5577	2498	2782	6043	5671	4228	2243	5632	3730	1220
ENSG00000077420	3152	436	296	1470	1333	929	1594	390	1450	1047	230	2855	263	931
ENSG00000077454	2256	516	678	776	1178	1254	1712	1949	3295	524	801	2060	567	1015
ENSG00000077458	1506	369	540	464	391	715	788	1080	1408	714	457	731	1159	315
ENSG00000077463	1331	794	938	736	1299	1055	941	1375	971	598	712	1630	600	1282
ENSG00000077498	1	1	0	0	0	3	1	2	1	2	3	1	0	1
ENSG00000077514	2439	967	442	1789	719	716	1227	2217	2736	1280	698	3456	3628	703
ENSG00000077522	17	3	18	16	14	29	34	15	8	6	28	20	12	13
ENSG00000077549	23652	7496	8865	9859	23786	11846	13324	13984	14426	10920	5185	16216	8668	10014
ENSG00000077585	2677	1424	525	860	912	491	1621	1297	1206	1505	846	3166	335	231
ENSG00000077616	90	31	53	19	34	44	45	28	49	26	34	81	17	29
ENSG00000077684	1804	1769	626	1387	1198	1113	1668	8513	3646	1521	1838	1572	598	5311
ENSG00000077713	2576	825	809	990	1819	970	1680	692	3133	2031	1257	2776	1063	638
ENSG00000077721	7531	3557	1695	2478	3620	2695	4100	6142	3882	3894	2565	7389	3828	1657
ENSG00000077782	6269	9958	6163	2822	1288	1465	2954	1457	1155	5075	5453	20660	550	628
ENSG00000077800	2	5	2	0	1	5	4	4	1	2	2	12	1	9
ENSG00000077935	105	299	16	207	3	23	405	66	848	6	13	151	688	8
ENSG00000077942	5566	6930	16741	2982	5918	6289	7193	8757	1112	7241	1975	9669	4063	2332
ENSG00000077943	682	250	201	141	498	465	1283	469	227	495	190	292	200	175
ENSG00000077984	729	279	170	432	264	2028	871	143	992	1214	70	1906	216	3251
ENSG00000078018	1435	8197	249	537	796	833	3220	1496	354	730	2183	5895	351	1932
ENSG00000078043	1306	683	402	907	504	699	1208	1982	1299	658	615	1932	649	1351
ENSG00000078053	643	46	328	18	30	38	91	120	17	62	16	21	20	13
ENSG00000078061	8494	2224	2691	3827	1966	3070	6064	2913	3473	2198	2523	9107	4563	3320
ENSG00000078070	2720	1125	569	868	657	754	2873	1986	4929	617	1062	6508	1833	1340
ENSG00000078081	11929	223	457	1037	1675	504	8287	4850	14976	439	7792	2772	3280	1734
ENSG00000078098	865	663	1805	3564	1380	939	927	1325	576	3212	251	1106	311	204
ENSG00000078114	2558	4322	1446	574	1470	2473	922	1172	8885	3582	1029	6983	367	173
ENSG00000078124	3183	1333	737	1268	1565	1388	1242	1049	3163	1531	917	2933	1761	768
ENSG00000078140	8269	4685	2031	2843	2999	2236	4326	10870	8145	5427	2537	3855	5957	3241
ENSG00000078142	1337	1128	621	1191	824	727	1279	2060	1563	1407	646	1511	741	1246
ENSG00000078177	1357	958	377	500	320	357	693	3078	2692	1766	287	769	1297	463
ENSG00000078237	1169	470	358	1735	436	305	736	1859	1019	583	304	1277	854	213
ENSG00000078246	3052	553	753	1116	1154	796	1428	2536	1614	1294	522	3626	1243	1000
ENSG00000078269	3616	1769	725	1421	762	1225	1496	1924	1820	1981	901	3624	1507	807
ENSG00000078295	48	290	69	6	23	42	53	48	9	16	17	15	11	11
ENSG00000078304	7847	6127	2740	9343	4730	6439	7787	8628	10900	3368	3478	14973	3342	4306
ENSG00000078319	507	344	186	419	292	204	438	362	647	246	183	505	468	232
ENSG00000078328	0	24	0	1	0	3	0	414	7	0	0	7	0	20
ENSG00000078369	39135	24954	8058	15818	24426	14044	21388	25130	28741	18406	8562	28676	13426	12720
ENSG00000078399	26	7	8	15	3	39	10	195	3	13	5	43	3	5
ENSG00000078401	485	35	1439	126	1612	965	769	373	789	411	279	473	1075	142
ENSG00000078403	2040	1037	574	1137	581	944	1536	2208	2146	1462	663	2046	525	1547
ENSG00000078487	683	191	102	122	234	264	499	78	425	180	81	388	173	292
ENSG00000078549	11	10	17	16	19	8	65	66	13	83	19	6	2	2
ENSG00000078579	2	1	1	0	78	1	8	28	1	0	2	8	0	0
ENSG00000078589	323	74	20	252	67	168	374	90	409	77	27	531	82	54
ENSG00000078596	1015	300	188	545	535	1206	1593	334	911	204	225	1708	427	286
ENSG00000078618	16661	4635	4052	6695	5755	5434	8570	10515	8058	6949	3072	10128	6870	5925
ENSG00000078668	7429	8697	1414	2257	3251	3027	5921	5204	3755	5798	5172	6825	2940	3617
ENSG00000078674	5319	3447	2030	3334	5903	2958	5892	11279	8630	2869	5695	5419	5734	3225
ENSG00000078687	2020	501	450	481	829	791	987	1389	601	667	665	1939	154	458
ENSG00000078699	4249	3511	782	1548	1040	1668	1735	4740	2525	871	1108	5507	1196	2417
ENSG00000078725	164	387	1218	1	398	976	2	6	3	948	2	4	6	1
ENSG00000078747	6176	2540	1490	4318	1884	1691	2812	7334	6274	6406	1041	5589	2861	1605
ENSG00000078795	30	7	8	5	3	9	10	8	35	1	13	22	1	8
ENSG00000078804	11066	2677	1315	1497	1646	1992	2260	4461	4234	1183	1100	3371	3989	973
ENSG00000078808	15720	8261	4140	5188	7635	6491	8084	5360	9381	4816	4383	9433	9252	14665
ENSG00000078814	106	158	86	57	31	132	80	111	305	19	72	418	57	185
ENSG00000078898	1959	46	70	0	6	1	0	6181	103	0	153	6	165	0
ENSG00000078900	509	303	136	165	182	428	180	337	239	196	52	1584	267	398
ENSG00000078902	6044	1948	2127	1631	3867	4065	2981	2272	3890	1789	2234	5650	2566	2717
ENSG00000078967	1590	1459	1136	822	1167	632	1336	2343	1156	1180	890	1354	1054	844
ENSG00000079101	162	10	40	3	117	14	83	97	7	7	25	163	34	6
ENSG00000079102	270	172	242	59	135	154	234	459	94	142	107	253	42	25
ENSG00000079112	3372	89	107	3	30	32	29	27	31	85	141	46	90	60
ENSG00000079134	1687	396	760	1178	523	1371	1057	3899	1807	603	966	1755	573	1286
ENSG00000079150	751	465	583	346	621	346	669	518	655	443	385	401	396	409
ENSG00000079156	613	405	112	61	472	326	198	453	64	106	136	653	58	48
ENSG00000079215	2206	369	640	1340	739	372	1615	404	1641	1385	56	2793	125	385
ENSG00000079246	18654	15623	6746	9404	16227	8822	15841	29968	20615	13228	8271	22734	7640	6964
ENSG00000079257	961	227	314	475	577	696	491	897	437	650	253	2897	722	410
ENSG00000079263	806	119	66	445	276	524	904	136	806	197	156	1904	104	812
ENSG00000079277	3369	846	1392	1393	1505	2043	1704	1176	2619	1504	971	2701	981	1495
ENSG00000079308	14387	3324	5895	3365	12895	4980	19774	6705	4421	7313	6580	30204	1510	3714
ENSG00000079313	2046	1268	1446	2389	1405	1973	1683	2685	2201	1249	1059	2619	844	2181
ENSG00000079332	8694	2303	3659	3848	3501	2754	8829	8733	6348	5733	4639	5252	5966	4508
ENSG00000079335	387	182	86	237	157	230	330	654	591	192	144	450	427	179
ENSG00000079337	2868	178	583	148	380	504	559	308	409	358	255	522	614	1022
ENSG00000079385	11416	5145	652	117	2778	4753	2030	1733	2362	1441	1592	5939	4302	1834
ENSG00000079387	3239	759	524	1304	563	453	1114	2750	2055	1301	558	2640	1371	628
ENSG00000079393	333	51	69	3	6	134	7	9	328	448	412	130	765	1748
ENSG00000079432	8983	2062	2544	4688	3204	3727	4922	4512	8002	3932	2316	14214	2039	2119
ENSG00000079435	151	272	44	199	272	261	120	1479	141	23	217	992	74	288
ENSG00000079459	3207	3438	2945	3286	7721	3460	7553	3643	9823	1993	6680	14654	7598	4383
ENSG00000079462	2052	1271	797	1127	2396	1566	1532	3834	770	1086	1952	3073	1656	1461
ENSG00000079482	2544	198	315	152	291	275	359	1428	612	334	256	4228	1405	290
ENSG00000079557	13	4	0	0	0	0	0	4	1	0	0	0	0	1
ENSG00000079616	3897	1985	1311	2535	2153	1929	4414	3986	4156	1593	2962	6274	3070	3633
ENSG00000079689	17	914	0	0	1	4	120	9	0	1	0	0	1	0
ENSG00000079691	2293	1463	571	1842	763	803	993	1918	5491	1243	418	3000	1813	1194
ENSG00000079739	6575	1633	3871	5454	5128	2770	5308	2964	8308	5804	1041	5876	4001	981
ENSG00000079785	8366	5190	2946	3811	4946	2570	5087	17009	5488	4939	3178	6503	4714	2115
ENSG00000079805	14808	7801	6581	8694	7264	7107	12830	8364	13777	6475	3713	15440	4067	5458
ENSG00000079819	4463	1271	1416	2723	1783	998	3353	2239	2078	3238	476	3521	524	591
ENSG00000079841	11	7	2	0	17	58	7	90	164	19	30	37	6	1
ENSG00000079931	2292	427	551	734	1359	579	1828	2370	622	3206	361	3874	504	383
ENSG00000079950	5525	2031	1258	1614	2761	1693	2873	3339	3350	2923	1164	4371	1773	1512
ENSG00000079974	1748	426	720	439	779	1035	817	934	935	368	544	1868	956	273
ENSG00000079999	5701	5426	2737	3699	3289	1763	5213	2859	3413	2355	2991	10796	3531	3443
ENSG00000080007	23	10	2	307	16	22	886	30	16	36	4	18	531	292
ENSG00000080031	293	498	266	201	1106	1060	198	38	1413	636	29	1130	788	456
ENSG00000080166	8	3	10	1	0	15	21	7	0	4	1	7	0	44
ENSG00000080189	8159	2403	1497	2359	2483	2266	3415	4526	4020	2062	1780	5294	3549	4841
ENSG00000080200	1607	414	860	717	399	429	664	1916	4050	2215	202	2950	665	127
ENSG00000080224	1	2	0	41	1	3	73	342	452	45	4	42	2	2
ENSG00000080293	1097	3	128	2	2001	576	66	214	9	5	436	171	12	177
ENSG00000080298	1287	336	91	212	234	545	686	2383	475	184	401	994	272	232
ENSG00000080345	5316	1927	1241	5254	1748	1446	2632	5429	4824	3765	1316	7373	1764	1106
ENSG00000080371	4488	1910	1867	2494	3314	1695	3038	4285	4308	2991	2785	5806	2630	2137
ENSG00000080493	2813	66	1664	89	173	459	1140	3684	3233	3219	277	522	106	241
ENSG00000080503	7587	1807	1981	3037	2615	1837	5526	2785	6778	3088	1767	11172	938	797
ENSG00000080511	1	0	0	11	1	1	1	0	0	0	0	0	67	0
ENSG00000080546	1232	637	496	342	730	627	839	1684	554	527	294	996	506	923
ENSG00000080561	1443	204	166	338	508	343	346	270	635	498	72	1719	441	64
ENSG00000080572	27	0	0	0	6	52	0	0	4	0	8	1	27	1
ENSG00000080573	1895	1788	2540	1221	941	773	1403	893	492	2769	471	627	500	361
ENSG00000080603	21275	3560	5024	9273	5793	7926	10964	8418	16715	11155	6319	27467	6624	7926
ENSG00000080608	2171	1038	540	1619	596	600	3075	2882	3560	1640	1024	2255	495	549
ENSG00000080618	36	1327	141	6	16	5	4	81	4	22	12	11	38	833
ENSG00000080644	15	22	23	7	21	12	20	387	19	10	40	44	5	36
ENSG00000080709	236	201	82	19	82	28	70	48	21	77	34	12	17	17
ENSG00000080802	2546	651	538	1457	795	758	1247	1294	2907	1086	609	1588	1093	713
ENSG00000080815	6452	3399	2502	6028	3023	4263	4261	5111	8865	4997	2506	7027	3174	3184
ENSG00000080819	2103	657	666	1455	791	1044	1381	1830	5385	875	449	4090	1379	808
ENSG00000080822	3480	1487	1359	1843	2743	4722	2966	4385	6683	2866	2428	5573	2582	1662
ENSG00000080823	892	511	235	769	151	978	292	282	1143	178	291	946	429	1697
ENSG00000080824	105620	80009	20144	117982	25446	31069	64096	153306	84426	34592	46395	171204	31703	14822
ENSG00000080839	1420	593	333	1302	371	535	605	2276	1080	886	187	1508	494	537
ENSG00000080845	11088	6155	4823	7177	5744	3736	5220	8608	7302	5024	3160	8059	4471	3132
ENSG00000080854	374	176	456	21	55	73	67	321	425	50	19	36	77	7
ENSG00000080910	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000080947	557	53	176	78	79	258	122	224	313	43	145	427	42	204
ENSG00000080986	747	913	201	960	252	548	691	3222	2542	617	463	957	518	447
ENSG00000081014	1329	385	411	783	418	427	705	1483	783	898	332	1007	436	397
ENSG00000081019	2158	356	430	685	1038	688	1154	1479	2527	1288	425	942	723	551
ENSG00000081026	4456	202	663	505	4071	1951	2760	1747	6350	2983	594	1630	597	562
ENSG00000081041	750	121	351	399	3381	1404	351	457	918	168	1927	155	141	1410
ENSG00000081051	406	5	0	0	1	1	1	0	0	0	0	2	1	1
ENSG00000081052	1046	1484	433	148	1907	981	1802	545	1476	974	553	1395	35	808
ENSG00000081059	1613	609	265	801	283	935	1372	389	1369	604	282	2086	503	1310
ENSG00000081087	2587	2014	796	1361	1638	1072	1931	1271	2587	2084	787	2023	1278	591
ENSG00000081138	2	220	0	0	1	4	0	253	0	29	1	29	0	3
ENSG00000081148	39	5	15	22	8	25	13	15	32	19	10	22	9	14
ENSG00000081154	7533	3127	2690	4485	4071	3285	6156	12460	11313	6025	3251	8849	6457	2513
ENSG00000081177	2064	3068	881	2967	862	1508	1136	1836	2143	1195	913	2264	1587	839
ENSG00000081181	789	3081	58	175	128	152	225	3682	94	193	368	131	445	413
ENSG00000081189	2773	715	1727	1105	2031	770	2982	703	2923	2830	647	989	449	682
ENSG00000081237	12031	2382	1330	4881	2396	4490	8550	1975	12713	5340	638	13203	1178	1043
ENSG00000081248	3	4	1	0	4	2	0	1	0	0	2	11	3	3
ENSG00000081277	199	22	131	5163	72	3344	939	98	13	2958	3499	46	14	3034
ENSG00000081307	2182	869	970	1572	939	1078	1975	3284	3505	1728	769	4098	2592	1490
ENSG00000081320	4732	1461	2852	2887	5154	3098	4223	4646	6207	3454	1278	4403	1147	1365
ENSG00000081377	2211	787	365	1093	529	487	932	2304	1814	1002	332	2021	601	990
ENSG00000081386	1005	315	214	701	273	276	414	1414	771	369	274	1054	241	203
ENSG00000081479	1059	57	104	18	39	2	4867	6721	3752	22	542	1418	7	43
ENSG00000081665	1350	261	590	595	498	452	549	492	347	475	288	1057	458	262
ENSG00000081692	1812	558	632	922	698	647	1311	824	416	713	818	1132	1570	824
ENSG00000081721	1579	705	463	832	506	589	936	1340	884	955	460	869	522	497
ENSG00000081760	4626	3871	1269	1885	1192	1435	1980	4227	3219	1349	2550	5295	2826	1656
ENSG00000081791	5858	1368	1795	1289	1400	1473	2081	3449	4644	1363	2132	3560	1468	1595
ENSG00000081800	1	0	0	1	0	0	0	1	0	0	1	1	1	1
ENSG00000081803	10758	2061	1868	907	4084	874	3739	11000	6739	2473	1727	4606	804	1181
ENSG00000081818	124	56	101	57	64	39	93	175	51	61	114	103	31	35
ENSG00000081842	138	1188	3	152	4	2	15	11	5	5	98	12	1	12
ENSG00000081853	682	42	48	407	20	150	94	131	56	220	33	45	26	61
ENSG00000081870	1905	390	689	583	845	941	959	918	857	638	340	1146	719	646
ENSG00000081913	939	749	213	571	492	535	679	1467	1558	1356	556	2151	612	841
ENSG00000081923	2421	5899	733	1424	1252	998	1048	8077	4930	2575	3313	9955	5533	1903
ENSG00000081985	536	30	17	49	11	71	143	182	54	31	9	53	26	16
ENSG00000082014	2105	241	938	357	716	1236	1157	1480	257	239	1608	2791	477	1109
ENSG00000082068	3156	911	1365	1184	1143	1218	2486	3176	1872	878	725	1408	764	1034
ENSG00000082074	6236	945	577	2862	1438	1757	2669	692	4871	2251	196	5900	544	541
ENSG00000082126	9	2	5	0	0	2	4	3	2	1	8	1	14	12
ENSG00000082146	857	398	499	487	635	779	1168	836	2202	1028	391	1084	1480	531
ENSG00000082153	8280	6387	3379	6780	5558	6419	5130	11686	16706	7718	4808	9029	8665	2028
ENSG00000082175	118	29	93	53	70	35	176	48	29	142	24	50	13	14
ENSG00000082196	497	35267	886	51	365	477	468	220	124	417	256	134	72	248
ENSG00000082212	2935	2005	803	2416	1906	1289	2804	4287	2706	2234	270	2215	1205	1676
ENSG00000082213	3890	1514	867	1346	876	1044	2894	5632	3657	2332	739	1825	1936	1008
ENSG00000082258	4377	1170	1305	1461	1787	1861	2026	2806	3259	1247	1287	3996	1544	2052
ENSG00000082269	3624	1350	330	521	629	1582	1382	1466	2071	1232	302	1755	1698	453
ENSG00000082293	7	5	0	5	0	28	9	17	20	3	1	39	1	13
ENSG00000082397	3298	4770	370	1086	991	403	1673	13865	1857	5312	235	4110	415	405
ENSG00000082438	9198	1238	767	768	2429	809	1717	2105	3194	1306	1046	2698	1603	2010
ENSG00000082458	12433	1681	1369	1507	3415	2546	4359	7245	5316	1280	3555	8468	3489	2027
ENSG00000082482	11	66	8	7	5	8	4	14	5	10	5	22	3	3
ENSG00000082497	3149	477	706	710	1072	850	1709	1157	330	431	845	2182	33	41
ENSG00000082512	2710	2151	1715	1023	671	1991	1212	1468	1518	772	1077	3531	1391	3100
ENSG00000082515	1686	822	537	1865	745	570	1142	2656	1050	874	1151	1112	1182	1089
ENSG00000082516	3378	821	773	4235	872	573	1112	2102	2584	2219	754	1646	644	340
ENSG00000082556	184	179	4	0	16	1	3	266	0	2	13	243	0	4
ENSG00000082641	41950	13154	11339	10453	16151	9671	12283	18423	20403	14283	5821	26416	14696	7922
ENSG00000082684	327	81	110	522	122	443	327	470	68	177	83	155	78	39
ENSG00000082701	5404	2638	1779	3956	2211	1817	2662	4746	6944	2941	1595	9405	2955	1699
ENSG00000082781	8495	4376	14617	6548	8754	4081	7480	4736	12645	12361	3001	15957	17848	5800
ENSG00000082805	6079	1421	1384	4428	1637	1209	2487	3411	7480	3125	963	12053	1835	1015
ENSG00000082898	18017	6902	4027	8308	6055	5487	9759	23676	23170	9856	3747	20901	7847	6657
ENSG00000082929	45	2	4	3	1	33	2	18	0	4	7	6	83	35
ENSG00000082996	4133	2305	1592	2075	2112	1598	2514	3084	7355	3319	1684	4600	4552	1401
ENSG00000083067	16	35	8	0	5	6	3	50	6	5	10	94	0	6
ENSG00000083093	1824	362	413	722	565	312	738	875	1369	1093	306	2170	905	404
ENSG00000083097	2438	705	420	401	477	900	836	1325	1063	537	416	2036	534	463
ENSG00000083099	3820	2051	606	1251	1363	984	1325	2042	1909	1036	853	2561	1683	1424
ENSG00000083123	1596	1194	304	284	482	406	725	1351	1962	369	333	1121	978	233
ENSG00000083168	10579	2589	1034	2550	1928	1890	3414	4371	5776	7035	2596	5874	960	1205
ENSG00000083223	2509	666	680	1582	1122	957	1470	2072	2123	1582	737	3744	656	589
ENSG00000083290	1604	653	588	1061	757	501	1195	4201	311	821	498	1055	373	992
ENSG00000083307	5431	1172	1103	1720	1255	1434	1846	5455	4762	2460	3122	9732	4107	2099
ENSG00000083312	11874	5623	4119	5615	2974	2113	4437	13181	9152	7362	2842	9118	3114	1347
ENSG00000083444	18127	10841	8565	9284	9349	4942	11255	8991	8819	8962	3684	11378	8842	13852
ENSG00000083454	126	339	5	145	15	239	274	17	118	175	156	266	21	128
ENSG00000083457	1021	1512	336	802	466	877	1478	1106	1888	375	452	2216	474	902
ENSG00000083520	2903	998	933	1782	2518	1066	1790	2899	3141	2591	754	2920	1041	1160
ENSG00000083535	1446	533	498	349	1328	523	588	1194	1239	865	408	840	444	444
ENSG00000083544	1054	516	584	806	920	460	742	1732	565	717	383	562	266	866
ENSG00000083622	2186	0	0	0	2	0	0	0	3	0	1	4	0	1
ENSG00000083635	617	383	192	500	447	227	336	670	767	513	184	721	295	325
ENSG00000083642	2313	1081	668	1659	1078	740	1612	3573	1479	1474	676	3478	754	620
ENSG00000083720	1896	783	1192	716	797	1102	848	4372	1550	675	230	5495	111	213
ENSG00000083750	590	602	346	460	369	411	688	462	367	329	370	1387	513	491
ENSG00000083782	56	6	14	20	50	67	66	11	8	297	2	7	6	2
ENSG00000083799	6238	1561	1464	3454	2401	1968	4100	1885	5482	3612	982	5177	1441	1543
ENSG00000083807	129	257	142	337	111	149	471	159	277	88	291	256	225	816
ENSG00000083812	654	221	163	461	346	385	496	489	552	276	257	599	164	367
ENSG00000083814	769	182	185	291	261	416	551	118	587	202	66	402	48	158
ENSG00000083817	381	93	103	431	202	191	297	213	332	196	103	372	74	93
ENSG00000083828	595	185	146	326	357	328	410	697	363	203	103	392	167	178
ENSG00000083838	775	357	187	273	359	565	475	637	326	154	232	665	227	703
ENSG00000083844	2204	574	671	1573	1561	1203	1844	1217	2268	1115	285	2230	361	956
ENSG00000083845	19136	11307	8014	23494	24833	15707	42165	52046	25811	13061	11065	16012	16457	18220
ENSG00000083857	14572	3559	5762	3380	3109	3226	5358	33832	4199	14506	7133	12539	2410	4034
ENSG00000083896	6645	2451	1906	3659	2779	2649	3516	6029	5529	3384	1904	6632	2260	3250
ENSG00000083937	2933	3528	1393	1861	2287	1568	2574	2877	5907	2964	1646	1896	1997	650
ENSG00000084070	6868	2060	1687	2893	3489	2769	5904	2405	4881	2607	1247	5757	1619	4092
ENSG00000084072	3643	1615	1090	1297	2752	2082	2598	2679	842	1928	1244	2826	1529	4385
ENSG00000084073	10161	3326	2272	2750	2299	2201	3518	4813	4487	3980	1819	4781	3573	1361
ENSG00000084090	11874	6219	3656	7647	7930	4669	11443	11597	10190	5620	4655	17571	6514	5240
ENSG00000084092	2124	1356	788	5462	884	609	1116	3474	2594	1211	818	1877	1227	750
ENSG00000084093	3574	435	1224	4128	1186	1042	2010	3667	4050	2104	732	3731	1804	795
ENSG00000084110	521	3	62	4	40	255	45	981	157	5	1332	216	876	449
ENSG00000084112	7160	1494	2137	4851	1670	1628	3599	3199	6429	3859	1944	5905	1591	1377
ENSG00000084207	49492	33310	12668	23132	25045	26157	24384	25679	26648	2461	38552	64848	61905	86883
ENSG00000084234	114111	16129	39495	31965	77015	32738	36290	28385	107939	73129	27814	78909	39306	12683
ENSG00000084444	1301	444	290	620	355	294	514	1063	2132	352	128	4039	474	96
ENSG00000084453	28	120	0	0	1	4	0	113	0	0	0	79	6	267
ENSG00000084463	7666	3113	2600	7332	3540	2596	4518	9673	8694	3628	1734	10793	5041	2042
ENSG00000084623	18663	5922	5483	7468	11662	7527	10037	10111	10593	8531	4322	8942	7709	10305
ENSG00000084628	34	852	37	26	15	3	19	55	104	7	4	15	43	21
ENSG00000084636	3826	2401	4095	2104	3553	3172	3846	6392	561	2012	764	3506	516	4179
ENSG00000084652	10293	2718	3685	3378	4786	4388	6334	6082	5309	5399	2603	7611	4106	3863
ENSG00000084674	8	1	5	6	3	0	1	4	0	7	4	107	2	5
ENSG00000084676	7183	1964	945	2512	1981	1950	2165	4756	5152	1428	1258	8075	1903	1522
ENSG00000084693	4116	1535	752	1689	1000	702	1488	5826	3199	1177	1024	4370	2289	1226
ENSG00000084710	381	670	103	40	456	566	868	2199	69	109	147	199	20	33
ENSG00000084731	1914	658	457	1168	2179	1309	939	1003	260	1123	316	3430	1960	816
ENSG00000084733	19490	6824	3539	8332	7243	4752	7162	21612	13207	8017	5388	15438	12773	4633
ENSG00000084734	4	251	73	3	23	84	13	7	5	17	7	71	2	179
ENSG00000084754	12700	9313	4632	9286	9619	4951	10870	17126	14443	9310	7173	19668	7567	6796
ENSG00000084764	3440	1261	903	514	1004	1074	813	1157	1019	552	1267	2768	1123	1339
ENSG00000084774	5843	3737	2253	7140	1844	2670	3819	8772	6593	2309	1693	8685	3064	2162
ENSG00000085063	21865	6108	23782	11783	17007	9670	12738	9816	19274	16057	10760	20448	5116	13430
ENSG00000085117	7718	1727	2180	2806	4371	2195	4037	1163	2705	1959	907	15701	1083	2355
ENSG00000085185	4077	796	656	1307	705	734	1310	1955	1764	1688	814	3539	924	622
ENSG00000085224	8592	3833	1904	3017	4594	2160	4257	7486	8363	3301	2138	7331	1450	1161
ENSG00000085231	1409	616	405	538	383	311	672	1021	683	710	626	615	471	291
ENSG00000085265	716	208	747	142	1454	250	1646	360	442	838	121	3707	252	121
ENSG00000085274	1085	653	401	722	487	460	839	1198	1636	513	556	2152	1283	493
ENSG00000085276	4221	248	1587	557	689	1022	4624	2835	3580	1350	5040	10401	1343	4737
ENSG00000085365	4401	1482	2873	1732	1584	748	1652	7026	3075	3912	1728	1782	1840	598
ENSG00000085377	3253	2186	728	1427	1366	1169	1841	5620	2116	1284	758	3625	1441	1314
ENSG00000085382	1011	452	239	350	295	277	416	1011	551	295	196	1124	454	181
ENSG00000085415	1704	2347	813	2808	1120	1028	1967	7289	2123	1989	1614	2393	992	885
ENSG00000085433	1051	484	282	503	752	497	564	1255	1226	910	271	646	426	226
ENSG00000085449	5753	1816	1186	2291	2960	1514	7144	4153	5158	3038	1076	6117	1199	1089
ENSG00000085465	536	125	67	6	247	160	122	153	250	54	136	96	197	310
ENSG00000085491	4690	514	677	2147	1584	1430	1526	5558	4901	2274	604	1745	1723	337
ENSG00000085511	1885	667	483	1111	611	813	1185	2204	1643	973	694	1133	625	984
ENSG00000085514	1487	349	441	986	809	319	1107	347	1429	1073	89	1688	249	189
ENSG00000085552	7737	410	663	522	1006	1988	1823	2037	1030	997	821	2532	1271	575
ENSG00000085563	335	2041	32	97	114	89	283	347	306	79	49	357	41	79
ENSG00000085644	2602	782	945	739	1553	718	1296	1045	905	991	1221	4179	836	1725
ENSG00000085662	5878	11468	2646	11741	2748	3480	5857	4551	2052	1687	17885	5723	3180	1937
ENSG00000085719	11896	4384	1634	6045	3920	2562	6179	8922	10433	8950	4389	5466	7615	2008
ENSG00000085721	4679	1403	1328	1612	2294	864	1877	2846	3393	3028	1223	4709	1625	1178
ENSG00000085733	32901	10176	10830	4515	15589	13327	19867	15932	34860	16492	13608	30463	16508	14931
ENSG00000085741	42	265	13	42	64	16	48	224	84	33	14	54	9	451
ENSG00000085760	3639	2057	869	2135	1237	1275	1905	3948	2927	1510	821	2690	1734	2328
ENSG00000085788	2956	3258	760	1344	1026	1201	1888	3258	1705	1263	1934	3239	605	1320
ENSG00000085831	8740	5076	1266	355	2979	733	448	1487	822	946	500	3186	3702	4488
ENSG00000085832	6690	2152	1973	2953	3937	2848	3905	3334	5373	4832	1356	6530	1717	2552
ENSG00000085840	664	430	184	451	114	267	316	1191	842	404	148	512	578	381
ENSG00000085871	2523	1917	1318	603	1584	992	1256	1669	1539	768	954	1894	1495	2884
ENSG00000085872	3849	1479	1916	2446	1993	1541	2135	2486	3802	1807	1118	4546	1337	951
