TCGA.95.A4VK	TCGA.50.5055	TCGA.NJ.A7XG	TCGA.55.8615	TCGA.73.A9RS	TCGA.55.7914	TCGA.53.7624	TCGA.55.7281	TCGA.55.A48Z	TCGA.69.7974	TCGA.69.A59K
ENSG00000143224	1146	458	1478	978	618	910	705	516	922	746	660
ENSG00000143226	768	1298	1071	1704	394	1625	991	5051	4162	11874	2779
ENSG00000143228	441	153	76	396	889	320	1850	192	558	849	380
ENSG00000143248	4610	9057	1183	4028	1268	3550	394	3611	4543	10784	2619
ENSG00000143252	4193	1877	5264	4834	2925	5292	4066	2779	3187	5045	4114
ENSG00000143256	1871	1235	3010	3108	2155	2250	2663	2674	1989	3103	2030
ENSG00000143257	8	5	16	24	21	39	17	19	52	17	58
ENSG00000143258	1844	554	2583	2225	1592	1723	1246	999	1603	1786	2217
ENSG00000143278	0	0	0	2	0	0	0	0	0	1	0
ENSG00000143294	3857	1585	3499	2948	2594	3321	4283	2877	3910	4449	5326
ENSG00000143297	623	871	20	54	137	1390	246	48	1378	539	3386
ENSG00000143303	1963	764	2979	2093	664	902	1618	1151	2537	1291	1831
ENSG00000143314	2586	1304	3876	2741	1844	2887	1642	2316	2283	2214	2229
ENSG00000143315	2154	578	1718	1506	1015	1860	1416	1155	1200	1393	1484
ENSG00000143318	22	15	5	1	1	17	108	21	32	23	33
ENSG00000143319	2007	1071	1766	1896	1651	3083	3004	1556	2528	2606	2151
ENSG00000143320	481	4013	9351	2955	19	147	1177	18204	41976	677	95203
ENSG00000143321	21766	5239	19888	15543	17539	19966	29389	16630	10590	25872	13252
ENSG00000143322	2292	1103	1847	2096	1535	2356	2813	2041	2062	4378	3144
ENSG00000143324	7997	1627	8968	5473	869	37744	6392	10774	14605	59916	8008
ENSG00000143333	453	1228	817	157	135	615	528	2166	2312	2161	1847
ENSG00000143337	3752	2722	2812	3047	1890	5193	3323	2575	3656	5941	3218
ENSG00000143340	9	54	2	15	5	13	1	2	11	20	1
ENSG00000143341	1500	878	321	560	101	973	187	1832	835	5096	1213
ENSG00000143344	2369	1190	2775	1187	253	2165	481	2328	1751	2555	2807
ENSG00000143353	1255	492	754	695	539	909	690	817	1072	1030	1131
ENSG00000143355	7	8	118	6	3	140	22	14	1257	103	64
ENSG00000143363	1255	767	1727	2181	1239	3261	2144	1317	1590	2794	1623
ENSG00000143365	10452	738	2177	4354	2761	1019	193	1642	1880	2746	1158
ENSG00000143367	2901	319	1832	1548	2396	1798	4955	1567	1751	2974	1785
ENSG00000143368	5712	2042	4859	5703	3114	5264	7944	5065	6565	6182	4938
ENSG00000143369	955	805	270	3476	168	773	1440	8281	3418	5920	1236
ENSG00000143373	2599	722	2752	2799	1575	1520	2932	1618	2740	2940	3307
ENSG00000143374	1883	636	2092	2123	1806	1791	1745	1182	1495	1755	2269
ENSG00000143375	37812	1491	14655	6570	5950	13632	13483	14207	4662	26648	4028
ENSG00000143376	3196	719	3763	2743	2036	4474	3107	2452	2761	5951	2226
ENSG00000143379	3384	709	2613	2718	1500	2252	3148	1439	2203	2980	2445
ENSG00000143382	1179	355	584	727	148	165	12389	894	1065	1930	1177
ENSG00000143384	33004	13557	42852	14333	12804	23114	23887	29998	16426	43797	23799
ENSG00000143387	1515	10741	559	1588	528	2388	1483	4817	8114	3969	1266
ENSG00000143390	4463	1631	2709	2080	2328	4145	2114	2899	3400	4509	3119
ENSG00000143393	4433	2212	4961	4269	3325	4450	3137	3251	4626	5645	6270
ENSG00000143398	5388	1499	3419	3656	3893	3039	5874	2252	3034	4658	7851
ENSG00000143401	10527	2014	3210	1923	5320	20709	8799	4537	9684	12380	6458
ENSG00000143409	1499	366	2294	1560	2022	2221	1287	1016	1094	1665	1871
ENSG00000143412	295	119	498	289	397	527	1041	587	406	408	696
ENSG00000143416	11371	1104	23838	9731	4856	9634	610	5766	5987	7540	4321
ENSG00000143418	8930	3965	11464	11236	4364	7289	6250	8709	6576	20959	5063
ENSG00000143420	12194	4646	11494	8356	5543	7640	7994	11893	10050	9905	8508
ENSG00000143429	25	56	90	40	53	40	186	111	540	46	170
ENSG00000143434	327	128	284	1553	139	328	118	342	586	849	328
ENSG00000143436	4180	1092	2260	2185	1880	2434	2918	1593	2415	3045	1709
ENSG00000143437	4049	1135	2992	5392	1781	4657	4048	2478	3184	6120	2984
ENSG00000143442	8590	1184	6075	5266	3663	5653	4709	2846	5337	5058	5303
ENSG00000143443	474	158	531	1103	332	300	515	351	505	291	492
ENSG00000143450	1022	89	273	241	304	241	103	165	209	332	241
ENSG00000143452	746	89	0	2	354	5	9	408	452	11	11
ENSG00000143457	3081	1040	2358	2447	2230	2586	2945	2566	2275	3137	2146
ENSG00000143458	1003	343	1174	724	482	555	601	600	945	687	1005
ENSG00000143469	89	23	0	1	0	2	109	37	12	1	177
ENSG00000143473	5	2	2	3	1	2	13	4	4	3	32
ENSG00000143476	744	197	197	416	782	461	2206	299	991	1305	1099
ENSG00000143479	101	247	735	413	239	675	86	266	338	337	428
ENSG00000143486	3981	1858	3391	2977	2144	2634	1691	2228	2265	2706	2030
ENSG00000143493	1898	466	1089	1432	1538	2246	1990	1007	1293	2561	1498
ENSG00000143494	423	122	42	213	102	413	74	122	143	252	195
ENSG00000143498	292	107	198	225	154	270	364	142	232	535	468
ENSG00000143499	1766	957	2755	2589	745	2699	3430	1340	1922	3909	1924
ENSG00000143502	414	213	1744	1407	1	2207	23	665	1085	141	2081
ENSG00000143507	336	573	869	2113	454	1090	191	1689	847	687	824
ENSG00000143512	429	3	161	1191	4	1	87	13	15	15	1950
ENSG00000143514	2915	969	2986	3444	1569	2989	2400	2411	2469	6133	2381
ENSG00000143515	1492	1541	1625	4941	614	2656	1022	655	2125	1488	4403
ENSG00000143520	0	0	0	0	1	1	1	0	1	0	0
ENSG00000143536	0	0	1	0	0	0	0	0	10	0	0
ENSG00000143537	4678	3749	9129	11056	3244	4379	6616	16372	19186	10681	9882
ENSG00000143543	5994	5810	9592	9992	6666	6641	6292	5405	7624	6577	5661
ENSG00000143545	4734	2664	5853	4137	2809	5506	2517	5142	4065	4850	3118
ENSG00000143546	408	501	397	188	244	80	420	559	312	1157	253
ENSG00000143549	17785	11050	14697	16329	8186	17981	32741	21544	17870	31708	15470
ENSG00000143552	200	4	98	109	10	19	7	40	28	162	183
ENSG00000143553	2168	1080	1934	1450	817	1448	1310	1632	1407	2322	1514
ENSG00000143554	992	815	1433	2707	285	840	932	955	1831	1850	1044
ENSG00000143556	0	0	48	1	6	0	8	0	14	1	4
ENSG00000143569	8982	2921	10959	9616	6551	7395	10058	8995	8151	15976	11367
ENSG00000143570	12778	4394	9969	7306	3545	7632	11880	7888	9265	14538	4896
ENSG00000143575	3549	2780	4246	4790	4148	3688	3819	2690	3299	3707	5519
ENSG00000143578	2818	542	1497	1652	1002	1368	661	627	1584	709	507
ENSG00000143590	370	68	370	117	107	136	229	281	686	318	304
ENSG00000143595	0	27	2	1	2	5	0	0	3	5	1
ENSG00000143603	130	331	30	123	58	1834	90	144	604	457	1040
ENSG00000143612	15891	7384	12827	13176	11284	12956	9160	7990	8793	13696	12735
ENSG00000143614	2504	859	2815	2376	1180	3476	2544	1889	1984	2549	2162
ENSG00000143621	10149	5579	6995	9565	9983	8849	12428	7011	7893	10965	7611
ENSG00000143622	2285	962	3046	1491	801	2338	3528	1463	2453	4497	3867
ENSG00000143624	6874	771	5181	4121	3916	2313	3536	1805	5712	4716	5047
ENSG00000143627	3	1	1	4	0	0	39	0	2	1	2
ENSG00000143630	752	62	667	405	271	133	439	230	618	687	500
ENSG00000143631	18	4	3	22	2	16	20	2	22	16	35
ENSG00000143632	27	11	12	9	5	11	21	16	43	18	71
ENSG00000143633	810	319	765	705	494	860	713	435	830	811	580
ENSG00000143641	4688	2239	8572	5712	3085	5697	6156	3941	6405	7885	4631
ENSG00000143643	990	425	1298	1944	1139	1303	1339	694	1602	1141	1049
ENSG00000143653	9892	1268	2175	2223	1206	3203	1994	1881	2171	4692	2428
ENSG00000143669	930	666	2165	986	346	1217	850	1056	4086	3778	1639
ENSG00000143674	767	88	830	658	193	2270	705	496	1629	1260	1046
ENSG00000143702	1173	844	960	1555	782	1216	549	1213	1139	3684	1721
ENSG00000143727	6018	2207	3139	4174	4529	4025	5719	3271	3632	5530	4932
ENSG00000143740	1481	618	1674	1909	849	2116	1724	1076	1838	2178	2790
ENSG00000143742	8789	3473	5766	6560	4590	7051	5884	5429	7649	8633	9294
ENSG00000143748	1592	383	1825	1499	1055	1497	6435	941	1270	1520	1730
ENSG00000143751	1347	724	1335	1509	1610	2107	1485	1140	1293	2568	2495
ENSG00000143753	1643	2346	2117	3742	1435	2414	15123	3004	3576	6403	6555
ENSG00000143756	2626	860	2459	2371	1541	2701	3883	2075	2529	7686	3409
ENSG00000143761	32312	11769	33736	36182	24843	26502	24533	31694	32959	35583	33443
ENSG00000143768	18	42	80	20	2	1455	10	13	25	54	32
ENSG00000143771	4194	1242	3453	2113	861	3591	3184	3978	3343	5033	3312
ENSG00000143772	3314	1352	3035	12427	211	4257	772	1773	2031	1661	2438
ENSG00000143774	7726	5855	11195	9987	4006	7715	6347	10834	12627	11657	13771
ENSG00000143776	7311	660	7599	2490	1868	3248	2887	3252	4459	7435	2033
ENSG00000143786	204	131	169	191	34	155	48	285	425	159	1573
ENSG00000143793	1301	389	1889	1501	817	593	1214	1270	1765	1217	1537
ENSG00000143797	3880	873	4519	111	285	3282	971	4728	3033	26253	2096
ENSG00000143799	8889	3830	8058	10776	4866	10513	10376	6696	8118	18372	11168
ENSG00000143801	1975	613	1886	1741	858	490	1481	1631	1587	2222	1506
ENSG00000143811	2841	1377	6051	3885	2526	5247	2858	2837	4784	3357	4832
ENSG00000143815	3857	1595	2044	2373	1985	6121	5485	1503	4859	5264	1835
ENSG00000143816	168	131	110	1044	35	298	1545	536	460	752	1017
ENSG00000143819	5912	2071	26620	11444	2161	4514	2321	2876	7995	20079	111693
ENSG00000143839	4	54	2	6	2	183	4	289	31	17	32
ENSG00000143842	747	652	3494	1196	130	2718	8350	1424	1144	1587	1012
ENSG00000143845	313	776	523	600	24	1008	868	2146	762	101	1179
ENSG00000143847	68	13	344	249	34	355	313	55	1795	509	581
ENSG00000143850	3798	1055	2922	4785	840	1607	13700	2170	3157	2499	1628
ENSG00000143851	794	1570	180	166	158	933	376	869	1174	1862	943
ENSG00000143858	65	46	46	63	9	134	42	100	147	130	55
ENSG00000143862	2767	2153	3292	4096	1716	2244	3183	4614	3331	3965	4176
ENSG00000143867	312	208	162	77	1130	265	326	260	93	235	107
ENSG00000143869	116	87	64	10	4	96	14	79	27	42	20
ENSG00000143870	12198	6130	11480	16504	12780	15063	20949	6241	7236	15939	8176
ENSG00000143878	74256	8046	15722	34186	10783	5979	22612	42926	17375	20543	15800
ENSG00000143882	1822	63	281	1218	526	90	4187	91	214	132	116
ENSG00000143889	1478	1120	1301	1430	837	892	2409	1533	1232	2654	2776
ENSG00000143891	1615	1050	655	2042	320	742	3049	2167	1391	5021	3133
ENSG00000143919	218	154	249	181	281	802	172	248	342	364	81
ENSG00000143921	1	0	0	0	0	1	1	0	1	0	0
ENSG00000143924	4242	2527	8845	12206	2068	12680	5827	5397	8529	10201	7363
ENSG00000143933	26780	21148	33815	27984	12521	25787	20070	44346	21254	56064	27485
ENSG00000143942	84	118	103	223	48	150	300	73	148	319	154
ENSG00000143947	20853	21726	20521	44204	15555	29075	16842	20017	14444	23341	16481
ENSG00000143951	183	98	198	123	173	327	200	174	186	367	504
ENSG00000143952	2357	927	1666	3084	1121	2152	3226	1360	1650	3115	2503
ENSG00000143954	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143970	2174	902	1842	2115	3753	2642	3293	1729	1641	4881	2575
ENSG00000143971	1060	453	787	704	291	737	828	620	639	992	1312
ENSG00000143977	1772	1617	2102	2924	1334	1433	2888	2086	1640	2519	2122
ENSG00000143994	23	9	15	27	18	122	47	10	33	20	169
ENSG00000143995	714	503	440	430	401	382	260	466	611	597	20937
ENSG00000144010	0	0	0	1	0	0	0	0	0	0	0
ENSG00000144015	0	0	0	3	0	0	5	0	0	0	0
ENSG00000144021	3446	1932	4320	3066	2133	3541	4889	3241	3132	5803	6256
ENSG00000144026	1644	116	1063	845	498	1117	878	454	934	1018	1112
ENSG00000144028	14671	4804	11721	10391	7738	12032	24033	11340	12984	24154	19665
ENSG00000144029	2282	1055	2326	2943	1914	3967	3771	2647	2125	4558	1802
ENSG00000144031	68	52	20	102	58	24	114	105	59	81	120
ENSG00000144034	896	584	478	467	580	616	1433	910	813	1002	1066
ENSG00000144035	1	2	0	0	3	0	3	0	0	4	1
ENSG00000144036	1672	436	1029	653	577	1242	7098	1780	924	3506	2044
ENSG00000144040	1020	288	1065	549	131	581	1001	494	815	1079	1350
ENSG00000144043	5906	1845	3604	3948	1561	4996	3848	5735	4700	8425	6500
ENSG00000144045	333	4	5	19	63	19	48	1	15	39	37
ENSG00000144048	993	1000	752	910	632	1114	1754	1302	920	1368	1181
ENSG00000144057	14	77	3	247	6	59	3	101	70	20	30
ENSG00000144061	151	205	532	408	851	500	308	330	310	330	421
ENSG00000144063	1750	140	1781	1807	253	2005	59	2072	1286	2126	2320
ENSG00000144115	1635	642	3842	3507	1860	1130	1918	1665	2888	51	452
ENSG00000144118	2621	1891	2619	1169	1144	3693	6772	3549	2914	13138	3903
ENSG00000144119	3	75	1	1	0	0	1	33	318	1	498
ENSG00000144120	407	241	796	313	321	817	772	625	417	700	657
ENSG00000144130	10	9	0	2	7	5	28	4	7	13	19
ENSG00000144134	670	168	691	206	301	283	441	397	562	545	631
ENSG00000144136	2151	2385	3282	2263	1210	1466	10229	3033	3773	4710	4022
ENSG00000144152	179	266	13	382	223	59	1134	629	388	125	309
ENSG00000144158	1	0	2	1	4	5	9	1	3	4	8
ENSG00000144161	480	198	457	259	348	715	658	234	487	496	762
ENSG00000144182	207	179	158	230	74	356	259	197	334	303	276
ENSG00000144188	0	0	0	0	0	0	1	0	0	0	1
ENSG00000144191	101	7	57	4027	0	20	0	141	16	58	16
ENSG00000144199	285	192	463	401	112	379	480	404	407	468	591
ENSG00000144214	105	11	22	31	10	44	66	11	71	22	56
ENSG00000144218	199	416	402	2650	21	689	20	66	91	776	72
ENSG00000144224	7130	3664	6913	7063	7492	7301	16257	6505	6595	15927	7744
ENSG00000144227	1	0	1	0	0	1	0	0	1	0	0
ENSG00000144228	1347	797	1100	1554	2091	1776	3218	1233	1506	2337	2099
ENSG00000144229	56	86	91	29	3	21	9	31	19	10	45
ENSG00000144230	54	6	29	15	6	5	11	2	27	21	32
ENSG00000144231	1523	1097	2365	2078	1317	3105	3913	1848	2284	3845	2215
ENSG00000144233	1556	763	1860	1645	1035	1984	2909	1354	1804	2640	1684
ENSG00000144278	3	20	366	21	72	8	68	19	879	106	103
ENSG00000144283	4596	1514	5870	4281	2385	5697	3188	3523	4343	3041	2984
ENSG00000144285	27	55	84	0	12	87	0	16	145	196	31
ENSG00000144290	5	20	5	61	4	3	7	6	15	9	57
ENSG00000144306	776	431	1166	878	1445	993	780	1074	971	1643	1031
ENSG00000144320	1617	919	1656	1375	1536	1838	2876	1661	2779	5231	2602
ENSG00000144331	131	88	609	233	47	139	114	161	1161	1207	253
ENSG00000144339	4	5	11	0	0	6	5	12	3	8	3
ENSG00000144354	525	303	262	397	298	3862	2116	254	2827	1629	2089
ENSG00000144355	2	4	4	2	3	2	11	10	4	9	2
ENSG00000144357	1229	862	1891	1226	1256	1850	2726	1438	1886	4603	1730
ENSG00000144362	126	39	132	123	79	140	158	52	142	145	161
ENSG00000144366	870	918	293	792	544	169	669	534	938	1985	223
ENSG00000144369	253	659	113	71	46	457	513	210	367	241	101
ENSG00000144381	6453	5614	9855	19936	25239	16924	17890	9280	9886	20225	18070
ENSG00000144395	149	14	56	151	182	108	314	41	379	187	381
ENSG00000144401	761	562	607	663	933	1090	1235	774	711	889	1126
ENSG00000144406	5	3	6	2	0	16	4	5	4	9	9
ENSG00000144407	1	4	3	3	1	18	20	6	1	6	33
ENSG00000144410	12	3	14	0	0	5	1	2	15	4	12
ENSG00000144426	1082	106	777	437	342	912	890	444	467	2398	904
ENSG00000144445	1169	304	1062	699	534	1990	502	538	1148	864	1177
ENSG00000144451	712	599	864	578	723	78	983	785	627	1068	1104
ENSG00000144452	565	173	604	627	23	42	81	464	1431	2651	313
ENSG00000144455	2012	1812	1885	3004	928	1286	1390	2445	1342	3181	2339
ENSG00000144460	5	12	4	136	0	6	2	47	34	571	52
ENSG00000144468	1350	741	1371	853	653	2167	1243	1413	1208	2010	1740
ENSG00000144476	263	857	73	471	145	328	556	1179	1128	599	907
ENSG00000144481	34	126	183	7	1	25	2	119	253	15105	49
ENSG00000144485	388	228	393	4131	1996	1310	209	501	1654	787	290
ENSG00000144488	51	47	3	965	10	33	24	330	36	25	287
ENSG00000144504	1053	303	1643	788	601	824	336	602	850	1055	1272
ENSG00000144524	2338	749	2753	1935	1260	1617	2269	1891	2345	3551	3167
ENSG00000144535	1523	570	1921	1335	709	1212	1480	1357	1168	2076	1346
ENSG00000144550	7	6	2	9	2	3	2	13	3	44	103
ENSG00000144554	982	220	440	427	798	365	2075	405	1068	1389	1020
ENSG00000144559	380	186	384	230	236	223	292	214	474	603	436
ENSG00000144560	2011	793	1362	1125	970	1872	1983	1214	2168	4350	3364
ENSG00000144566	2874	1290	3148	2162	1782	2026	3730	2952	3333	6154	5498
ENSG00000144567	4981	3146	5853	5273	2270	6785	4257	7200	4919	7732	7046
ENSG00000144579	12327	4244	6893	8951	2485	6364	8172	8721	8606	9529	4769
ENSG00000144580	2451	1717	2074	2507	1698	2179	3027	2622	2499	3886	3633
ENSG00000144583	63	11	18	13	4	77	162	25	18	42	12
ENSG00000144589	1851	490	1669	1187	820	883	1246	1196	1068	1242	1728
ENSG00000144591	3261	1358	2723	2772	2302	1961	2443	2944	2696	3594	2612
ENSG00000144596	29	31	14	11	3	21	44	49	117	68	44
ENSG00000144597	1713	678	1299	1035	1192	959	1733	1098	1595	3196	2753
ENSG00000144619	48	130	88	62	8	91	6	34	435	181	74
ENSG00000144635	1670	1079	1390	1706	1610	1309	1544	1671	1494	4242	2481
ENSG00000144642	448	494	1465	159	54	871	113	1064	580	850	320
ENSG00000144644	4	14	1	2	0	1	0	2	1	7	1
ENSG00000144645	1089	714	1130	1361	276	748	1467	370	1068	5701	6203
ENSG00000144647	386	456	733	335	374	454	818	766	652	1457	1294
ENSG00000144648	98	257	49	960	8	22	3809	36	886	109	82
ENSG00000144649	97	178	27	26	5	18	192	79	103	160	64
ENSG00000144655	3491	1514	2793	1425	925	547	1817	6426	1521	4291	4144
ENSG00000144659	1781	995	1725	1565	866	1071	1149	1253	1378	2363	2895
ENSG00000144668	1470	994	2945	878	143	781	70	1458	1527	3152	989
ENSG00000144671	0	1	11	2	2	1	4	0	11	4	9
ENSG00000144674	4350	1180	3611	3651	3480	4171	5254	3353	3100	12232	6608
ENSG00000144677	2592	879	2942	1952	775	3197	1525	1612	2832	4888	1706
ENSG00000144681	77	118	231	138	2	107	18	422	471	1585	747
ENSG00000144711	2690	1854	2656	2166	772	1610	1601	2286	3004	3967	3564
ENSG00000144712	149	105	114	160	109	365	618	75	290	564	1990
ENSG00000144713	27602	39778	36763	32519	17544	18864	17367	40188	29968	42245	23565
ENSG00000144724	1232	1111	1716	360	234	1026	355	2923	2437	5729	1114
ENSG00000144730	186	82	103	249	35	42	329	365	336	935	234
ENSG00000144736	827	542	669	431	303	583	620	651	928	1556	978
ENSG00000144741	1127	510	876	434	349	713	661	847	674	1611	958
ENSG00000144744	2501	1644	2516	1664	1192	1765	2194	2223	1738	6113	3999
ENSG00000144746	8981	9394	8742	3756	2026	6117	6274	12597	6959	28297	14948
ENSG00000144747	2385	1343	2211	1983	1845	2262	2967	1839	2078	6805	5193
ENSG00000144749	4736	2654	3363	3503	1288	1401	455	3532	5160	4368	2304
ENSG00000144771	0	2	1	31	0	0	0	0	0	0	1
ENSG00000144785	1	1	2	2	2	3	0	0	3	2	5
ENSG00000144791	4062	881	2308	3059	959	4512	2052	2913	2121	9657	4608
ENSG00000144792	129	73	44	105	10	99	25	91	111	69	688
ENSG00000144802	2021	499	11125	1237	905	1457	515	2214	5277	5709	2037
ENSG00000144810	4553	3961	1640	2115	561	2805	866	7100	9866	7079	6536
ENSG00000144815	698	822	239	225	92	1505	1236	665	725	1580	1630
ENSG00000144820	0	1	0	6	0	0	1	0	2	1	2442
ENSG00000144821	7	13	6	4	5	35	1151	20	28	258	613
ENSG00000144824	964	572	407	303	486	243	5348	546	767	2878	445
ENSG00000144827	742	902	661	832	1123	1163	779	1114	860	1330	1066
ENSG00000144834	1	21	0	17	0	0	2	4	8	39	1
ENSG00000144837	366	2366	40	42	60	505	65	190	838	269	216
ENSG00000144840	539	889	773	622	1032	1099	759	899	984	1307	2453
ENSG00000144843	524	761	295	231	207	1057	783	623	594	1639	1867
ENSG00000144847	8	4	15	7	4	19	35	13	6	23	40
ENSG00000144848	1707	1325	1414	1134	1041	2461	1691	2062	1631	2927	3660
ENSG00000144852	8	11	6	9	8	63	3	26	9	13	45
ENSG00000144857	274	463	36	107	53	241	120	199	463	231	218
ENSG00000144867	1608	2433	2649	2797	3980	4434	2608	2164	3452	2689	3171
ENSG00000144868	169	207	1096	71	23	100	134	695	633	234	389
ENSG00000144891	47	37	21	386	6	20	24	31	131	56	23
ENSG00000144893	13	51	7	6	15	32	60	110	38	40	288
ENSG00000144895	2295	2318	3294	2674	3482	5089	3313	3290	2363	4485	6062
ENSG00000144908	352	226	55	83	9	9	121	26	102	76	279
ENSG00000144909	669	626	603	549	462	1068	1733	880	936	2227	1412
ENSG00000144935	94	170	60	418	42	72	230	187	579	215	878
ENSG00000144959	823	3169	1065	875	227	3337	3696	3114	1272	3467	1561
ENSG00000144962	0	0	0	0	0	0	0	0	1	0	0
ENSG00000145002	13	1	15	1	0	2	2	0	8	13	7
ENSG00000145012	5248	2309	11100	4082	1446	10072	6356	7983	10539	8586	7814
ENSG00000145014	745	307	790	941	346	1200	617	487	581	540	1133
ENSG00000145016	1214	809	1221	2026	765	2082	2832	1184	1854	2084	4399
ENSG00000145020	662	127	2501	714	120	217	183	90	598	488	689
ENSG00000145022	3169	900	2933	1485	1104	1211	805	1953	2132	3958	3106
ENSG00000145029	1759	379	1876	722	257	550	700	607	882	1296	1049
ENSG00000145040	24	4	16	6	1	4	24	3	17	27	34
ENSG00000145041	2180	689	1743	1278	863	1258	1904	1304	1252	3658	3866
ENSG00000145050	5304	3328	4405	7890	2461	2704	3549	2752	2738	3711	3054
ENSG00000145063	62	3	5	14	8	2	52	7	4	22	20
ENSG00000145075	145	138	181	42	95	153	124	82	172	371	318
ENSG00000145087	2	5	1	0	2	0	36	0	3	0	10
ENSG00000145088	85	389	59	28	93	351	151	198	200	293	282
ENSG00000145103	520	648	910	982	200	1080	652	782	844	737	813
ENSG00000145107	10	31	4	18	55	3	32	68	46	133	17
ENSG00000145113	584	478	25483	38765	13903	456	198	5384	469	25371	1525
ENSG00000145147	786	718	244	325	52	475	216	585	445	1354	761
ENSG00000145191	1912	1378	2774	1906	1464	3202	3328	2017	2313	2855	3732
ENSG00000145192	6	0	0	2	0	18	3	0	0	23	3
ENSG00000145194	230	282	319	396	494	713	895	323	287	584	633
ENSG00000145198	8	6	25	131	7	9	14	6	32	4	146
ENSG00000145214	1965	597	2745	1203	832	1031	1584	1237	1366	1663	2302
ENSG00000145216	1653	839	1467	1225	2089	2377	4658	1423	1293	2882	1882
ENSG00000145217	304	70	283	125	197	258	436	62	243	261	1097
ENSG00000145220	433	470	657	397	640	1099	1790	716	508	1458	803
ENSG00000145241	1181	547	1009	649	903	1248	1081	613	686	1186	1367
ENSG00000145242	0	2	5	0	0	4	1	3	2	7	1
ENSG00000145244	205	160	5	16	28	108	37	222	245	117	93
ENSG00000145246	830	672	520	135	342	1396	5157	492	610	2069	1031
ENSG00000145247	3713	4792	3565	6249	877	5222	1904	10593	3711	5554	4098
ENSG00000145248	34	9	2	135	17	10	204	1	36	9	0
ENSG00000145283	14	2	2	26	5	5	1	2	6	13	8
ENSG00000145284	478	697	606	297	50	567	1871	1552	2059	424	1027
ENSG00000145287	1110	1127	243	1690	58	991	4474	959	158	1144	116
ENSG00000145293	1445	1725	1837	2264	1928	3039	3025	1917	1939	3157	2750
ENSG00000145309	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145321	0	1	0	0	0	0	0	0	0	0	0
ENSG00000145331	201	178	153	271	361	321	287	266	266	487	406
ENSG00000145332	641	581	637	1035	815	1741	786	796	605	2452	1548
ENSG00000145335	44	134	19	27	23	41	191	103	62	131	463
ENSG00000145337	80	133	81	120	38	129	144	151	138	100	97
ENSG00000145348	1686	450	1618	1226	513	2074	1186	811	852	1216	1051
ENSG00000145349	1733	2017	5508	2803	1138	10707	1206	2403	2366	4280	4402
ENSG00000145354	1274	1169	1780	1951	1190	2796	2801	1615	1994	2530	1557
ENSG00000145358	1039	105	796	2037	23	24	87	116	118	81	169
ENSG00000145362	364	853	52	2857	153	195	426	185	498	428	423
ENSG00000145365	447	833	735	573	1228	2082	554	336	901	858	786
ENSG00000145375	549	177	411	302	506	706	714	305	298	793	494
ENSG00000145384	0	1	0	0	0	0	1	0	0	2	2
ENSG00000145386	453	378	162	661	885	690	3761	357	806	1787	757
ENSG00000145388	1065	499	979	780	474	1424	983	766	792	1402	1416
ENSG00000145390	2521	854	1729	1365	1161	3303	944	2332	1414	2025	785
ENSG00000145391	5112	1622	5600	5466	3640	6894	3501	2447	3650	6808	5629
ENSG00000145414	351	194	386	280	261	729	481	291	379	706	568
ENSG00000145416	702	1047	238	217	156	459	412	847	606	2583	577
ENSG00000145423	1395	8791	15	7668	1280	8077	791	5873	14955	3185	1649
ENSG00000145425	14683	28166	23399	17464	6551	27689	7242	15985	9910	17838	10118
ENSG00000145428	26	74	145	26	7	1156	12	283	82	124	78
ENSG00000145431	2443	1251	1889	371	1017	1587	266	1813	1694	1647	1825
ENSG00000145439	1310	564	1183	455	446	1405	518	846	1007	1588	836
ENSG00000145451	52	9	41	188	0	3	5	32	163	26	6
ENSG00000145476	2121	893	309	939	721	2113	400	1267	1057	3023	832
ENSG00000145491	21	254	27	12	562	10	36	28	38	337	67
ENSG00000145494	3519	1486	3466	4517	2081	1930	3618	2337	2490	4063	2965
ENSG00000145495	8240	2271	10712	14504	4303	6851	8439	4116	7471	16386	13141
ENSG00000145506	435	445	167	277	270	242	178	411	1136	736	1226
ENSG00000145526	1	0	0	1	0	0	104	0	1	2	4
ENSG00000145536	103	322	18	176	49	437	27	253	317	305	282
ENSG00000145545	1300	467	1543	599	352	1564	667	972	861	5998	492
ENSG00000145555	1886	1030	5951	6867	3152	2285	7922	3482	3236	7968	6131
ENSG00000145569	6298	922	1455	17457	219	510	276	824	802	1634	658
ENSG00000145592	25874	23737	60827	56821	11684	26115	23064	40290	32689	33912	23274
ENSG00000145604	520	273	442	1106	358	645	5015	367	1085	1211	911
ENSG00000145623	8267	2843	17985	8562	1100	6434	5239	8687	8206	23404	6874
ENSG00000145626	11	0	0	7569	0	0	1	0	4	0	0
ENSG00000145632	1154	983	2550	542	388	1184	835	1173	1309	1880	795
ENSG00000145642	1	0	0	3	0	1	0	0	3	1	0
ENSG00000145649	317	1027	89	55	154	437	363	431	436	1119	270
ENSG00000145675	1753	1643	3118	879	489	2357	1057	1296	2717	3718	2457
ENSG00000145681	2	30	9	171	0	2	0	32	170	55	39
ENSG00000145685	1176	1366	2122	1045	647	1403	3510	2446	2714	8301	6394
ENSG00000145687	453	729	1452	225	235	176	281	639	1529	826	290
ENSG00000145692	7	3	13	4	4	5	33	7	135	1	4
